,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,부영,동일인측,동일인,동일인,이중근,13131020,93.79%,-,-,13131020.0,93.79%,14000000.0,0.93793
1,비금융회사,부영,동일인측,친족,배우자/혈족1촌,이성훈,229777,1.64%,-,-,229777.0,1.64%,14000000.0,0.01641264285714286
2,비금융회사,부영,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,14000000.0,
3,비금융회사,부영,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,14000000.0,
4,비금융회사,부영,동일인측,친족,인척4촌이내,-,-,-,-,-,,-,14000000.0,
5,비금융회사,부영,동일인측,친족,친족합계,/,229777,1.64%,-,-,229777.0,1.64%,14000000.0,0.01641264285714286
6,비금융회사,부영,동일인측,비영리법인,비영리법인,학교법인 우정학원(화순),110000,0.79%,-,-,110000.0,0.79%,14000000.0,0.007857142857142858
7,비금융회사,부영,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,14000000.0,
8,비금융회사,부영,동일인측,자기주식,자기주식,부영,453334,3.24%,-,-,453334.0,3.24%,14000000.0,0.032381
9,비금융회사,부영,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,14000000.0,
10,비금융회사,부영,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,14000000.0,
11,비금융회사,부영,동일인측,동일인측 합계,동일인측 합계,/,13924131,99.46%,-,-,13924131.0,99.46%,14000000.0,0.9945807857142858
12,비금융회사,부영,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,14000000.0,
13,비금융회사,부영,기타주주,기타,기타,/,75869,0.54%,-,-,75869.0,0.54%,14000000.0,0.005419214285714286
14,비금융회사,부영,총계,총계,총계,/,14000000,100.00%,-,-,14000000.0,100.00%,14000000.0,1.0
15,비금융회사,부영주택,동 일 인 측,동일인,동일인,-,-,-,-,-,,-,10000000.0,
16,비금융회사,부영주택,동 일 인 측,친족,배우자/혈족1촌,-,-,-,-,-,,-,10000000.0,
17,비금융회사,부영주택,동 일 인 측,친족,혈족2~4촌,-,-,-,-,-,,-,10000000.0,
18,비금융회사,부영주택,동 일 인 측,친족,혈족5~6촌,-,-,-,-,-,,-,10000000.0,
19,비금융회사,부영주택,동 일 인 측,친족,인척4촌이내,-,-,-,-,-,,-,10000000.0,
20,비금융회사,부영주택,동 일 인 측,친족,친족합계,/,-,-,-,-,,-,10000000.0,
21,비금융회사,부영주택,동 일 인 측,비영리법인,비영리법인,-,-,-,-,-,,-,10000000.0,
22,비금융회사,부영주택,동 일 인 측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10000000.0,
23,비금융회사,부영주택,동 일 인 측,자기주식,자기주식,-,-,-,-,-,,-,10000000.0,
24,비금융회사,부영주택,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),부영,10000000,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0
25,비금융회사,부영주택,동 일 인 측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10000000.0,
26,비금융회사,부영주택,동 일 인 측,동일인측 합계,동일인측 합계,/,10000000,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0
27,비금융회사,부영주택,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,10000000.0,
28,비금융회사,부영주택,기타주주,기타,기타,/,-,-,-,-,,-,10000000.0,
29,비금융회사,부영주택,총계,총계,총계,/,10000000,100.00%,-,-,10000000.0,100.00%,10000000.0,1.0
30,비금융회사,동광주택산업,동 일 인 측,동일인,동일인,이중근,4210000,91.52%,-,-,4210000.0,91.52%,4600000.0,0.9152173913043479
31,비금융회사,동광주택산업,동 일 인 측,친족,배우자/혈족1촌,나길순,50000,1.09%,-,-,50000.0,1.09%,4600000.0,0.010869565217391304
32,비금융회사,동광주택산업,동 일 인 측,친족,배우자/혈족1촌,이성훈,40000,0.87%,-,-,40000.0,0.87%,4600000.0,0.008695652173913044
33,비금융회사,동광주택산업,동 일 인 측,친족,배우자/혈족1촌,이성욱,40000,0.87%,-,-,40000.0,0.87%,4600000.0,0.008695652173913044
34,비금융회사,동광주택산업,동 일 인 측,친족,배우자/혈족1촌,이성한,40000,0.87%,-,-,40000.0,0.87%,4600000.0,0.008695652173913044
35,비금융회사,동광주택산업,동 일 인 측,친족,배우자/혈족1촌,이서정,40000,0.87%,-,-,40000.0,0.87%,4600000.0,0.008695652173913044
36,비금융회사,동광주택산업,동 일 인 측,친족,혈족2~4촌,이성규,15000,0.33%,-,-,15000.0,0.33%,4600000.0,0.003260869565217391
