,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,삼천리,동일인측,동일인,동일인,이만득,338390,8.34,-,-,338390.0,8.34,4055025.0,0.08344954716678689
1,비금융회사,삼천리,동일인측,친족,배우자/혈족1촌,,,,,,,,4055025.0,
2,비금융회사,삼천리,동일인측,친족,혈족2~4촌,이은백,317981,7.84,-,-,317981.0,7.84,4055025.0,0.07841653257378191
3,비금융회사,삼천리,동일인측,친족,혈족5~6촌,,,,,,,,4055025.0,
4,비금융회사,삼천리,동일인측,친족,인척 4촌 이내,,,,,,,,4055025.0,
5,비금융회사,삼천리,동일인측,친족,친족 합계,/,317981,7.84,-,-,317981.0,7.84,4055025.0,0.07841653257378191
6,비금융회사,삼천리,동일인측,비영리법인,비영리법인,,,,,,,,4055025.0,
7,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,길형도,250,0.01,-,-,250.0,0.01,4055025.0,6.165190103636845e-05
8,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,김태석,53,0.00,-,-,53.0,0.00,4055025.0,1.3070203019710113e-05
9,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,권현명,100,0.00,-,-,100.0,0.00,4055025.0,2.4660760414547384e-05
10,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,박무철,740,0.02,-,-,740.0,0.02,4055025.0,0.00018248962706765063
11,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,손원현,1101,0.03,-,-,1101.0,0.03,4055025.0,0.0002715149721641667
12,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,안민호,274,0.01,-,-,274.0,0.01,4055025.0,6.757048353585982e-05
13,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,유상덕,180924,4.46,-,-,180924.0,4.46,4055025.0,0.044617234172415705
14,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,유재권,280,0.01,-,-,280.0,0.01,4055025.0,6.905012916073267e-05
15,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,유태봉,120,0.00,-,-,120.0,0.00,4055025.0,2.9592912497456858e-05
16,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,윤양노,20,0.00,-,-,20.0,0.00,4055025.0,4.932152082909477e-06
17,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,이성욱,340,0.01,-,-,340.0,0.01,4055025.0,8.38465854094611e-05
18,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,이찬의,1676,0.04,-,-,1676.0,0.04,4055025.0,0.00041331434454781413
19,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,정희돈,100,0.00,-,-,100.0,0.00,4055025.0,2.4660760414547384e-05
20,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,현운식,35,0.00,-,-,35.0,0.00,4055025.0,8.631266145091584e-06
21,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,홍창우,271,0.01,-,-,271.0,0.01,4055025.0,6.683066072342341e-05
22,비금융회사,삼천리,동일인측,등기된 임원,등기된 임원,Yoo Robert Yong Wook,317981,7.84,-,-,317981.0,7.84,4055025.0,0.07841653257378191
23,비금융회사,삼천리,동일인측,자기주식,자기주식,삼천리,630929,15.56,,,630929.0,15.56,4055025.0,0.15559188907589966
24,비금융회사,삼천리,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,,4055025.0,
25,비금융회사,삼천리,동일인측,기타 동일인관련자,기타 동일인관련자,유혜숙,157466,3.88,-,-,157466.0,3.88,4055025.0,0.03883231299437118
26,비금융회사,삼천리,동일인측,동일인측 합계,동일인측 합계,/,1949031,48.06,-,-,1949031.0,48.06,4055025.0,0.480645865315257
27,비금융회사,삼천리,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,4055025.0,
28,비금융회사,삼천리,기타주주,기타,기타,-,2105994,51.94,-,-,2105994.0,51.94,4055025.0,0.519354134684743
29,비금융회사,삼천리,총 계,총 계,총 계,/,4055025,100.00,,,4055025.0,100.00,4055025.0,1.0
30,비금융회사,삼천리이엔지,동일인측,동일인,동일인,,,,,,,,9000000.0,
31,비금융회사,삼천리이엔지,동일인측,친족,배우자/혈족1촌,,,,,,,,9000000.0,
32,비금융회사,삼천리이엔지,동일인측,친족,혈족2~4촌,,,,,,,,9000000.0,
33,비금융회사,삼천리이엔지,동일인측,친족,혈족5~6촌,,,,,,,,9000000.0,
34,비금융회사,삼천리이엔지,동일인측,친족,인척 4촌 이내,,,,,,,,9000000.0,
35,비금융회사,삼천리이엔지,동일인측,친족,친족 합계,,,,,,,,9000000.0,
36,비금융회사,삼천리이엔지,동일인측,비영리법인,비영리법인,,,,,,,,9000000.0,
37,비금융회사,삼천리이엔지,동일인측,등기된 임원,등기된 임원,,,,,,,,9000000.0,
