,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,신세계,동일인측,동일인,동일인,이명희,1794186,18.22,-,-,1794186.0,18.22,9845181.0,0.1822400217934033
1,비금융회사,신세계,동일인측,친족,배우자/혈족1촌,정유경,967853,9.83,-,-,967853.0,9.83,9845181.0,0.09830728353292845
2,비금융회사,신세계,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,9845181.0,
3,비금융회사,신세계,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,9845181.0,
4,비금융회사,신세계,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,9845181.0,
5,비금융회사,신세계,동일인측,친족,친족 합계,/,2762039,28.05,-,-,967853.0,28.05,9845181.0,0.09830728353292845
6,비금융회사,신세계,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,9845181.0,
7,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,장재영,281,0.00,-,-,281.0,0.00,9845181.0,2.8541882571788167e-05
8,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,박주형,345,0.00,-,,345.0,0.00,9845181.0,3.504252486571857e-05
9,비금융회사,신세계,동일인측,자기주식,자기주식,신세계,8774,0.09,-,-,8774.0,0.09,9845181.0,0.0008911974294835209
10,비금융회사,신세계,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,9845181.0,
11,비금융회사,신세계,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,9845181.0,
12,비금융회사,신세계,동일인측,⑨ 동일인측 합계,동일인측 합계,/,2771439,28.15,-,-,2771439.0,28.15,9845181.0,0.28150208716325276
13,비금융회사,신세계,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,,,-,,,,9845181.0,
14,비금융회사,신세계,기타주주,기타,기타,/,7073742,71.85,-,-,7073742.0,71.85,9845181.0,0.7184979128367472
15,비금융회사,신세계,총 계,총 계,총 계,/,9845181,100%,-,-,9845181.0,100%,9845181.0,1.0
16,비금융회사,신세계디에프,동일인측,동일인,동일인,이명희,-,-,-,-,,-,10100000.0,
17,비금융회사,신세계디에프,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,10100000.0,
18,비금융회사,신세계디에프,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,10100000.0,
19,비금융회사,신세계디에프,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10100000.0,
20,비금융회사,신세계디에프,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10100000.0,
21,비금융회사,신세계디에프,동일인측,친족,친족 합계,/,-,-,-,-,,-,10100000.0,
22,비금융회사,신세계디에프,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,10100000.0,
23,비금융회사,신세계디에프,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10100000.0,
24,비금융회사,신세계디에프,동일인측,자기주식,자기주식,-,-,-,-,-,,-,10100000.0,
25,비금융회사,신세계디에프,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,10100000,100.00,-,-,10100000.0,100.00,10100000.0,1.0
26,비금융회사,신세계디에프,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10100000.0,
27,비금융회사,신세계디에프,동일인측,⑨ 동일인측 합계,동일인측 합계,/,10100000,100.00,-,-,10100000.0,100.00,10100000.0,1.0
28,비금융회사,신세계디에프,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,10100000.0,
29,비금융회사,신세계디에프,기타주주,기타,기타,/,-,-,-,-,,-,10100000.0,
30,비금융회사,신세계디에프,총 계,총 계,총 계,/,10100000,100%,-,-,10100000.0,100%,10100000.0,1.0
31,비금융회사,신세계동대구복합환승센터,동일인측,동일인,동일인,이명희,-,-,-,-,,-,45784000.0,
32,비금융회사,신세계동대구복합환승센터,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,45784000.0,
33,비금융회사,신세계동대구복합환승센터,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,45784000.0,
34,비금융회사,신세계동대구복합환승센터,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,45784000.0,
35,비금융회사,신세계동대구복합환승센터,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,45784000.0,
36,비금융회사,신세계동대구복합환승센터,동일인측,친족,친족 합계,/,-,-,-,-,,-,45784000.0,
37,비금융회사,신세계동대구복합환승센터,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,45784000.0,
38,비금융회사,신세계동대구복합환승센터,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,45784000.0,
39,비금융회사,신세계동대구복합환승센터,동일인측,자기주식,자기주식,-,-,-,-,-,,-,45784000.0,
40,비금융회사,신세계동대구복합환승센터,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,27926240,99.99,-,-,27926240.0,61.00,45784000.0,0.6099563166171589
41,비금융회사,신세계동대구복합환승센터,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,45784000.0,
42,비금융회사,신세계동대구복합환승센터,동일인측,⑨ 동일인측 합계,동일인측 합계,/,27926240,99.99,-,-,27926240.0,61.00,45784000.0,0.6099563166171589
43,비금융회사,신세계동대구복합환승센터,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,45784000.0,
44,비금융회사,신세계동대구복합환승센터,기타주주,기타,기타,한국철도공사,2000,0.01,-,-,2000.0,0.00,45784000.0,4.368338284116722e-05
45,비금융회사,신세계동대구복합환승센터,기타주주,기타,기타,RECO SSG Private Limited,-,-,15566560,87.18,15566560.0,34.00,45784000.0,0.34
46,비금융회사,신세계동대구복합환승센터,기타주주,기타,기타,삼양사,-,-,2289200,12.82,2289200.0,5.00,45784000.0,0.05
47,비금융회사,신세계동대구복합환승센터,총 계,총 계,총 계,/,27928240,100%,17855760,100%,45784000.0,100%,45784000.0,1.0
48,비금융회사,광주신세계,동일인측,동일인,동일인,이명희,-,-,-,-,,-,1600000.0,
49,비금융회사,광주신세계,동일인측,친족,배우자/혈족1촌,정용진,833330,52.08,-,-,833330.0,52.08,1600000.0,0.52083125
50,비금융회사,광주신세계,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1600000.0,
51,비금융회사,광주신세계,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1600000.0,
52,비금융회사,광주신세계,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1600000.0,
53,비금융회사,광주신세계,동일인측,친족,친족 합계,/,833330,52.08,-,-,833330.0,52.08,1600000.0,0.52083125
54,비금융회사,광주신세계,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1600000.0,
55,비금융회사,광주신세계,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1600000.0,
56,비금융회사,광주신세계,동일인측,자기주식,자기주식,광주신세계,8562,0.54,-,-,8562.0,0.54,1600000.0,0.00535125
57,비금융회사,광주신세계,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,166670,10.42,-,-,166670.0,10.42,1600000.0,0.10416875
58,비금융회사,광주신세계,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,1600000.0,
59,비금융회사,광주신세계,동일인측,⑨ 동일인측 합계,동일인측 합계,/,1008562,63.04,-,-,1008562.0,63.04,1600000.0,0.63035125
60,비금융회사,광주신세계,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,1600000.0,
61,비금융회사,광주신세계,기타주주,기타,기타,/,591438,36.96,-,-,591438.0,36.96,1600000.0,0.36964875
62,비금융회사,광주신세계,총 계,총 계,총 계,/,1600000,100%,-,-,1600000.0,100%,1600000.0,1.0
63,비금융회사,서울고속버스터미널,동일인측,동일인,동일인,이명희,-,-,-,-,,-,3836574.0,
64,비금융회사,서울고속버스터미널,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,3836574.0,
65,비금융회사,서울고속버스터미널,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,3836574.0,
66,비금융회사,서울고속버스터미널,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,3836574.0,
67,비금융회사,서울고속버스터미널,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,3836574.0,
68,비금융회사,서울고속버스터미널,동일인측,친족,친족 합계,/,-,-,-,-,,-,3836574.0,
69,비금융회사,서울고속버스터미널,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,3836574.0,
70,비금융회사,서울고속버스터미널,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,3836574.0,
71,비금융회사,서울고속버스터미널,동일인측,자기주식,자기주식,-,-,-,-,-,,-,3836574.0,
72,비금융회사,서울고속버스터미널,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계센트럴시티,2491950,64.95,-,-,2491950.0,64.95,3836574.0,0.6495248104167938
73,비금융회사,서울고속버스터미널,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,3836574.0,
74,비금융회사,서울고속버스터미널,동일인측,⑨ 동일인측 합계,동일인측 합계,/,2491950,64.95,-,-,2491950.0,64.95,3836574.0,0.6495248104167938
75,비금융회사,서울고속버스터미널,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,3836574.0,
76,비금융회사,서울고속버스터미널,기타주주,기타,기타,/,1344624,35.05,,,1344624.0,35.05,3836574.0,0.3504751895832063
77,비금융회사,서울고속버스터미널,총 계,총 계,총 계,/,3836574,100%,-,-,3836574.0,100%,3836574.0,1.0
78,비금융회사,신세계센트럴시티,동일인측,동일인,동일인,이명희,-,-,-,-,,-,60000000.0,
79,비금융회사,신세계센트럴시티,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,60000000.0,
80,비금융회사,신세계센트럴시티,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,60000000.0,
81,비금융회사,신세계센트럴시티,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,60000000.0,
82,비금융회사,신세계센트럴시티,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,60000000.0,
83,비금융회사,신세계센트럴시티,동일인측,친족,친족 합계,/,-,-,-,-,,-,60000000.0,
84,비금융회사,신세계센트럴시티,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,60000000.0,
85,비금융회사,신세계센트럴시티,동일인측,등기된 임원,등기된 임원,신진수,1378,0.00,-,-,1378.0,0.00,60000000.0,2.2966666666666668e-05
86,비금융회사,신세계센트럴시티,동일인측,자기주식,자기주식,신세계센트럴시티,408752,0.68,-,-,408752.0,0.68,60000000.0,0.006812533333333333
87,비금융회사,신세계센트럴시티,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,36011739,60.02,-,-,36011739.0,60.02,60000000.0,0.60019565
88,비금융회사,신세계센트럴시티,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,60000000.0,
