,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,엔엑스씨,동일인측,동일인,동일인,김정주,1963000,67.49%,-,-,1963000,67.49%,2908500,0.6749183427883789
1,비금융회사,엔엑스씨,동일인측,친족,배우자/혈족1촌,유정현,856000,29.43%,-,-,856000,29.43%,2908500,0.29430978167440264
2,비금융회사,엔엑스씨,동일인측,친족,배우자/혈족1촌,김정민,19750,0.68%,-,-,19750,0.68%,2908500,0.00679044180849235
3,비금융회사,엔엑스씨,동일인측,친족,배우자/혈족1촌,김정윤,19750,0.68%,-,-,19750,0.68%,2908500,0.00679044180849235
4,비금융회사,엔엑스씨,동일인측,친족,친족 합계,/,2858500,98.28%,-,-,895500,98.28%,2908500,0.3078906652913873
5,비금융회사,엔엑스씨,동일인측,계열회사,계열회사,(유)와이즈키즈,50000,1.72%,-,-,50000,1.72%,2908500,0.017190991920233798
6,비금융회사,엔엑스씨,동일인측,동일인측 합계,동일인측 합계,/,2908500,100.00%,-,-,2908500,100.00%,2908500,1.0
7,비금융회사,엔엑스씨,총 계,총 계,총 계,/,2908500,100.00%,-,-,2908500,100.00%,2908500,1.0
8,비금융회사,엔엑스씨엘,동일인측,계열회사,계열회사,엔엑스씨,40000,100.00%,-,-,40000,100.00%,40000,1.0
9,비금융회사,엔엑스씨엘,동일인측,동일인측 합계,동일인측 합계,/,40000,100.00%,-,-,40000,100.00%,40000,1.0
10,비금융회사,엔엑스씨엘,총 계,총 계,총 계,/,40000,100.00%,-,-,40000,100.00%,40000,1.0
11,비금융회사,(유)소호브릭스,동일인측,계열회사,계열회사,엔엑스씨,21000,100.00%,-,-,21000,100.00%,21000,1.0
12,비금융회사,(유)소호브릭스,동일인측,동일인측 합계,동일인측 합계,/,21000,100.00%,-,-,21000,100.00%,21000,1.0
13,비금융회사,(유)소호브릭스,총 계,총 계,총 계,/,21000,100.00%,-,-,21000,100.00%,21000,1.0
14,비금융회사,스토케코리아(유),동일 인측,계열회사,계열회사,STOKKE AS,1250,100.00%,-,-,1250,100.00%,1250,1.0
15,비금융회사,스토케코리아(유),동일 인측,동일인측 합계,동일인측 합계,/,1250,100.00%,-,-,1250,100.00%,1250,1.0
16,비금융회사,스토케코리아(유),총 계,총 계,총 계,/,1250,100.00%,-,-,1250,100.00%,1250,1.0
17,비금융회사,(유)가승개발,동일인측,계열회사,계열회사,엔엑스씨,100000,50.00%,-,-,100000,50.00%,200000,0.5
18,비금융회사,(유)가승개발,동일인측,동일인측 합계,동일인측 합계,/,100000,50.00%,-,-,100000,50.00%,200000,0.5
19,비금융회사,(유)가승개발,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,승산,100000,50.00%,-,-,100000,50.00%,200000,0.5
20,비금융회사,(유)가승개발,총 계,총 계,총 계,/,200000,100.00%,-,-,200000,100.00%,200000,1.0
21,비금융회사,(유)와이즈키즈,동일인측,친족,배우자/혈족1촌,김정민,10750,50.00%,-,-,10750,50.00%,21500,0.5
22,비금융회사,(유)와이즈키즈,동일인측,친족,배우자/혈족1촌,김정윤,10750,50.00%,-,-,10750,50.00%,21500,0.5
23,비금융회사,(유)와이즈키즈,동일인측,친족,친족 합계,/,21500,100.00%,-,-,21500,100.00%,21500,1.0
24,비금융회사,(유)와이즈키즈,동일인측,동일인측 합계,동일인측 합계,/,21500,100.00%,-,-,21500,100.00%,21500,1.0
25,비금융회사,(유)와이즈키즈,총 계,총 계,총 계,/,21500,100.00%,-,-,21500,100.00%,21500,1.0
26,비금융회사,(유)엔엑스프로퍼티스,동일 인측,계열회사,계열회사,(유)와이즈키즈,74000,100.00%,-,-,74000,100.00%,74000,1.0
27,비금융회사,(유)엔엑스프로퍼티스,동일 인측,동일인측 합계,동일인측 합계,/,74000,100.00%,-,-,74000,100.00%,74000,1.0
28,비금융회사,(유)엔엑스프로퍼티스,총 계,총 계,총 계,/,74000,100.00%,-,-,74000,100.00%,74000,1.0
29,비금융회사,넥슨코리아,동일인측,계열회사,계열회사,"NEXON Co., Ltd.",6400000,100.00%,-,-,6400000,100.00%,6400000,1.0
30,비금융회사,넥슨코리아,동일인측,동일인측 합계,동일인측 합계,/,6400000,100.00%,-,-,6400000,100.00%,6400000,1.0
31,비금융회사,넥슨코리아,총 계,총 계,총 계,/,6400000,100.00%,-,-,6400000,100.00%,6400000,1.0
32,비금융회사,넥슨네트웍스,동일인측,계열회사,계열회사,넥슨코리아,100000,100.00%,-,-,100000,100.00%,100000,1.0
33,비금융회사,넥슨네트웍스,동일인측,동일인측 합계,동일인측 합계,/,100000,100.00%,-,-,100000,100.00%,100000,1.0
34,비금융회사,넥슨네트웍스,총 계,총 계,총 계,/,100000,100.00%,-,-,100000,100.00%,100000,1.0
35,비금융회사,넥슨스페이스,동일인측,계열회사,계열회사,넥슨코리아,320000,100.00%,-,-,320000,100.00%,320000,1.0
36,비금융회사,넥슨스페이스,동일인측,동일인측 합계,동일인측 합계,/,320000,100.00%,-,-,320000,100.00%,320000,1.0
37,비금융회사,넥슨스페이스,총 계,총 계,총 계,/,320000,100.00%,-,-,320000,100.00%,320000,1.0
38,비금융회사,네오플,동일인측,계열회사,계열회사,넥슨코리아,112132,100.00%,-,-,112132,100.00%,112132,1.0
39,비금융회사,네오플,동일인측,동일인측 합계,동일인측 합계,/,112132,100.00%,-,-,112132,100.00%,112132,1.0
40,비금융회사,네오플,총 계,총 계,총 계,/,112132,100.00%,-,-,112132,100.00%,112132,1.0
41,비금융회사,넥슨지티,동일인측,등기된 임원,등기된 임원,신성재,10000,0.03%,-,-,10000,0.03%,35373322,0.00028269892208597204
42,비금융회사,넥슨지티,동일인측,자기주식,자기주식,넥슨지티,1056923,2.99%,-,-,1056923,2.99%,35373322,0.029879099282787182
43,비금융회사,넥슨지티,동일인측,계열회사,계열회사,넥슨코리아,22340223,63.16%,-,-,22340223,63.16%,35373322,0.631555696126024
44,비금융회사,넥슨지티,동일인측,동일인측 합계,동일인측 합계,/,23407146,66.18%,-,-,23407146,66.18%,35373322,0.6617174943308972
45,비금융회사,넥슨지티,기타주주,기타,기타,/,11966176,33.82%,-,-,11966176,33.82%,35373322,0.33828250566910284
46,비금융회사,넥슨지티,총 계,총 계,총 계,/,35373322,100.00%,-,-,35373322,100.00%,35373322,1.0
47,비금융회사,띵소프트,동일인측,계열회사,계열회사,네오플,371230,100.00%,-,-,371230,100.00%,371230,1.0
48,비금융회사,띵소프트,동일인측,동일인측 합계,동일인측 합계,/,371230,100.00%,-,-,371230,100.00%,371230,1.0
49,비금융회사,띵소프트,총 계,총 계,총 계,/,371230,100.00%,-,-,371230,100.00%,371230,1.0
50,비금융회사,넥슨커뮤니케이션즈,동일인측,계열회사,계열회사,넥슨코리아,500000,100.00%,-,-,500000,100.00%,500000,1.0
51,비금융회사,넥슨커뮤니케이션즈,동일인측,동일인측 합계,동일인측 합계,/,500000,100.00%,-,-,500000,100.00%,500000,1.0
52,비금융회사,넥슨커뮤니케이션즈,총 계,총 계,총 계,/,500000,100.00%,-,-,500000,100.00%,500000,1.0
53,비금융회사,불리언게임즈,동일인측,계열회사,계열회사,넥슨코리아,20000,100.00%,-,-,20000,100.00%,20000,1.0
54,비금융회사,불리언게임즈,동일인측,동일인측 합계,동일인측 합계,/,20000,100.00%,-,-,20000,100.00%,20000,1.0
55,비금융회사,불리언게임즈,총 계,총 계,총 계,/,20000,100.00%,-,-,20000,100.00%,20000,1.0
56,비금융회사,넥슨레드,동일인측,계열회사,계열회사,넥슨지티,1069600,100.00%,-,-,1069600,100.00%,1069600,1.0
57,비금융회사,넥슨레드,동일인측,동일인측 합계,동일인측 합계,/,1069600,100.00%,-,-,1069600,100.00%,1069600,1.0
58,비금융회사,넥슨레드,총 계,총 계,총 계,/,1069600,100.00%,-,-,1069600,100.00%,1069600,1.0
59,비금융회사,블록체인엔터테인먼트랩,동일인측,계열회사,계열회사,넥슨코리아,145000,100.00%,-,-,145000,100.00%,145000,1.0
60,비금융회사,블록체인엔터테인먼트랩,동일인측,동일인측 합계,동일인측 합계,/,145000,100.00%,-,-,145000,100.00%,145000,1.0
61,비금융회사,블록체인엔터테인먼트랩,총 계,총 계,총 계,/,145000,100.00%,-,-,145000,100.00%,145000,1.0
62,비금융회사,엔미디어플랫폼,동일인측,계열회사,계열회사,넥슨코리아,30000,100.00%,-,-,30000,100.00%,30000,1.0
63,비금융회사,엔미디어플랫폼,동일인측,동일인측 합계,동일인측 합계,/,30000,100.00%,-,-,30000,100.00%,30000,1.0
64,비금융회사,엔미디어플랫폼,총 계,총 계,총 계,/,30000,100.00%,-,-,30000,100.00%,30000,1.0
65,비금융회사,슈퍼애시드,동일인측,등기된 임원,등기된 임원,강지원,12638,25.01%,-,-,12638,25.01%,50536,0.25007915149596327
66,비금융회사,슈퍼애시드,동일인측,등기된 임원,등기된 임원,이정훈,8647,17.11%,-,-,8647,17.11%,50536,0.17110574639860693
