,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,영풍,동일인측,동일인,동일인,장형진,20774,1.13,-,-,20774.0,1.13,1842040.0,0.011277713839004581
1,비금융회사,영풍,동일인측,친족,배우자/혈족1촌,장세준,311193,16.89,-,-,311193.0,16.89,1842040.0,0.16893932813619683
2,비금융회사,영풍,동일인측,친족,배우자/혈족1촌,장세환,205479,11.15,-,-,205479.0,11.15,1842040.0,0.11154969490347658
3,비금융회사,영풍,동일인측,친족,배우자/혈족1촌,장혜선,9520,0.52,-,-,9520.0,0.52,1842040.0,0.005168183101344162
4,비금융회사,영풍,동일인측,친족,배우자/혈족1촌,김혜경,858,0.05,-,-,858.0,0.05,1842040.0,0.0004657879307724045
5,비금융회사,영풍,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1842040.0,
6,비금융회사,영풍,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1842040.0,
7,비금융회사,영풍,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1842040.0,
8,비금융회사,영풍,동일인측,친족,친족 합계,/,527050,28.61,-,-,527050.0,28.61,1842040.0,0.28612299407179
9,비금융회사,영풍,동일인측,비영리법인,비영리법인,경원문화재단,13965,0.76,-,-,13965.0,0.76,1842040.0,0.007581268593515884
10,비금융회사,영풍,동일인측,등기된 임원,등기된 임원,최창걸,5000,0.27,-,-,5000.0,0.27,1842040.0,0.0027143818809580683
11,비금융회사,영풍,동일인측,등기된 임원,등기된 임원,최창규,52539,2.85,-,-,52539.0,2.85,1842040.0,0.02852218192873119
12,비금융회사,영풍,동일인측,등기된 임원,등기된 임원,최창근,66700,3.62,-,-,66700.0,3.62,1842040.0,0.03620985429198063
13,비금융회사,영풍,동일인측,등기된 임원,등기된 임원,최창영,76299,4.14,-,-,76299.0,4.14,1842040.0,0.04142092462704393
14,비금융회사,영풍,동일인측,등기된 임원,등기된 임원,최윤범,40235,2.18,-,-,40235.0,2.18,1842040.0,0.021842630996069576
15,비금융회사,영풍,동일인측,등기된 임원,등기된 임원,유중근,3960,0.21,-,-,3960.0,0.21,1842040.0,0.00214979044971879
16,비금융회사,영풍,동일인측,자기주식,자기주식,영풍,121906,6.62,-,-,121906.0,6.62,1842040.0,0.06617988751601485
17,비금융회사,영풍,동일인측,계열회사(국내+해외),계열회사(국내+해외),영풍정밀,80850,4.39,-,-,80850.0,4.39,1842040.0,0.04389155501509196
18,비금융회사,영풍,동일인측,계열회사(국내+해외),계열회사(국내+해외),영풍개발,285985,15.53,-,-,285985.0,15.53,1842040.0,0.15525450044515862
19,비금융회사,영풍,동일인측,계열회사(국내+해외),계열회사(국내+해외),서린상사,190820,10.36,-,-,190820.0,10.36,1842040.0,0.10359167010488371
20,비금융회사,영풍,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,1842040.0,
21,비금융회사,영풍,동일인측,동일인측 합계,동일인측 합계,/,1486083,80.68,-,-,1486083.0,80.68,1842040.0,0.8067593537599618
22,비금융회사,영풍,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,1842040.0,
23,비금융회사,영풍,기타주주,기타,기타,/,355957,19.32,-,-,355957.0,19.32,1842040.0,0.19324064624003823
24,비금융회사,영풍,총 계,총 계,총 계,/,1842040,100.00,-,-,1842040.0,100.00,1842040.0,1.0
25,비금융회사,영풍개발,동일인측,동일인,동일인,-,-,-,-,-,,-,10000.0,
26,비금융회사,영풍개발,동일인측,친족,배우자/혈족1촌,장세준,1100,11.00,-,-,1100.0,11.00,10000.0,0.11
27,비금융회사,영풍개발,동일인측,친족,배우자/혈족1촌,장세환,1100,11.00,-,-,1100.0,11.00,10000.0,0.11
28,비금융회사,영풍개발,동일인측,친족,배우자/혈족1촌,장혜선,1100,11.00,-,-,1100.0,11.00,10000.0,0.11
29,비금융회사,영풍개발,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,10000.0,
30,비금융회사,영풍개발,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10000.0,
31,비금융회사,영풍개발,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10000.0,
32,비금융회사,영풍개발,동일인측,친족,친족 합계,/,3300,33.00,-,-,3300.0,33.00,10000.0,0.33
33,비금융회사,영풍개발,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,10000.0,
34,비금융회사,영풍개발,동일인측,등기된 임원,등기된 임원,최창규,660,6.60,-,-,660.0,6.60,10000.0,0.066
35,비금융회사,영풍개발,동일인측,등기된 임원,등기된 임원,최창근,660,6.60,-,-,660.0,6.60,10000.0,0.066
36,비금융회사,영풍개발,동일인측,등기된 임원,등기된 임원,최창영,660,6.60,-,-,660.0,6.60,10000.0,0.066
37,비금융회사,영풍개발,동일인측,자기주식,자기주식,영풍개발,660,6.60,-,-,660.0,6.60,10000.0,0.066
38,비금융회사,영풍개발,동일인측,계열회사(국내+해외),계열회사(국내+해외),영풍문고,3400,34.00,-,-,3400.0,34.00,10000.0,0.34
39,비금융회사,영풍개발,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10000.0,
40,비금융회사,영풍개발,동일인측,동일인측 합계,동일인측 합계,/,9340,93.40,-,-,9340.0,93.40,10000.0,0.934
41,비금융회사,영풍개발,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,10000.0,
42,비금융회사,영풍개발,기타주주,기타,기타,/,660,6.60,-,-,660.0,6.60,10000.0,0.066
43,비금융회사,영풍개발,총 계,총 계,총 계,/,10000,100.00,-,-,10000.0,100.00,10000.0,1.0
44,비금융회사,영풍문고,동일인측,동일인,동일인,-,-,-,-,-,,-,200000.0,
45,비금융회사,영풍문고,동일인측,친족,배우자/혈족1촌,김혜경,2000,1.00,-,-,2000.0,1.00,200000.0,0.01
46,비금융회사,영풍문고,동일인측,친족,배우자/혈족1촌,장세준,22000,11.00,-,-,22000.0,11.00,200000.0,0.11
47,비금융회사,영풍문고,동일인측,친족,배우자/혈족1촌,장세환,3000,1.50,-,-,3000.0,1.50,200000.0,0.015
48,비금융회사,영풍문고,동일인측,친족,배우자/혈족1촌,장혜선,2000,1.00,-,-,2000.0,1.00,200000.0,0.01
49,비금융회사,영풍문고,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,200000.0,
50,비금융회사,영풍문고,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,200000.0,
51,비금융회사,영풍문고,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,200000.0,
52,비금융회사,영풍문고,동일인측,친족,친족 합계,/,29000,14.50,-,-,29000.0,14.50,200000.0,0.145
53,비금융회사,영풍문고,동일인측,비영리법인,비영리법인,영풍문화재단,20000,10.00,-,-,20000.0,10.00,200000.0,0.1
54,비금융회사,영풍문고,동일인측,등기된 임원,등기된 임원,유중근,13200,6.60,-,-,13200.0,6.60,200000.0,0.066
