,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,이랜드월드,동일인측,동일인,동일인,박성수,1919027,40.67%,-,-,1919027.0,40.67%,4718933.0,0.406665447464501
1,비금융회사,이랜드월드,동일인측,친족,배우자/혈족1촌,곽숙재,380405,8.06%,-,-,380405.0,8.06%,4718933.0,0.08061250286876291
2,비금융회사,이랜드월드,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,4718933.0,
3,비금융회사,이랜드월드,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,4718933.0,
4,비금융회사,이랜드월드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,4718933.0,
5,비금융회사,이랜드월드,동일인측,친족합계,친족합계,-,380405,8.06%,-,-,380405.0,8.06%,4718933.0,0.08061250286876291
6,비금융회사,이랜드월드,동일인측,비영리법인,비영리법인,이랜드복지재단,269134,5.70%,-,-,269134.0,5.70%,4718933.0,0.057032808052159246
7,비금융회사,이랜드월드,동일인측,비영리법인,비영리법인,이랜드재단,24835,0.53%,-,-,24835.0,0.53%,4718933.0,0.005262842256925453
8,비금융회사,이랜드월드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,4718933.0,
9,비금융회사,이랜드월드,동일인측,자기주식,자기주식,이랜드월드,2112103,44.76%,-,-,2112103.0,44.76%,4718933.0,0.4475806289260729
10,비금융회사,이랜드월드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,4718933.0,
11,비금융회사,이랜드월드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,4718933.0,
12,비금융회사,이랜드월드,동일인측,동일인측 합계,동일인측 합계,-,4705504,99.72%,-,-,4705504.0,99.72%,4718933.0,0.9971542295684215
13,비금융회사,이랜드월드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,4718933.0,
14,비금융회사,이랜드월드,기타주주,기타,기타,-,13429,0.28%,-,-,13429.0,0.28%,4718933.0,0.0028457704315784944
15,비금융회사,이랜드월드,총계,총계,총계,-,4718933,100.00%,-,-,4718933.0,100.00%,4718933.0,1.0
16,비금융회사,이랜드리테일,동일인측,동일인,동일인,박성수,961,0.00%,-,-,961.0,0.00%,20541070.0,4.6784320388373144e-05
17,비금융회사,이랜드리테일,동일인측,친족,배우자/혈족1촌,곽숙재,185,0.00%,-,-,185.0,0.00%,20541070.0,9.006346796929274e-06
18,비금융회사,이랜드리테일,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,20541070.0,
19,비금융회사,이랜드리테일,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,20541070.0,
20,비금융회사,이랜드리테일,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,20541070.0,
21,비금융회사,이랜드리테일,동일인측,친족합계,친족합계,-,185,0.00%,-,-,185.0,0.00%,20541070.0,9.006346796929274e-06
22,비금융회사,이랜드리테일,동일인측,비영리법인,비영리법인,이랜드복지재단,135,0.00%,-,-,135.0,0.00%,20541070.0,6.572199013975416e-06
23,비금융회사,이랜드리테일,동일인측,비영리법인,비영리법인,이랜드재단,14,0.00%,-,-,14.0,0.00%,20541070.0,6.815613792270802e-07
24,비금융회사,이랜드리테일,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,20541070.0,
25,비금융회사,이랜드리테일,동일인측,자기주식,자기주식,이랜드리테일,356578,1.74%,-,-,356578.0,1.74%,20541070.0,0.017359270963002413
26,비금융회사,이랜드리테일,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),이랜드월드,19959771,97.17%,-,-,19959771.0,97.17%,20541070.0,0.9717006465583341
27,비금융회사,이랜드리테일,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,20541070.0,
28,비금융회사,이랜드리테일,동일인측,동일인측 합계,동일인측 합계,-,20317644,98.91%,-,-,20317644.0,98.91%,20541070.0,0.989122961948915
29,비금융회사,이랜드리테일,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,20541070.0,
30,비금융회사,이랜드리테일,기타주주,기타,기타,-,223426,1.09%,-,-,223426.0,1.09%,20541070.0,0.010877038051084973
31,비금융회사,이랜드리테일,총계,총계,총계,-,20541070,100.00%,-,-,20541070.0,100.00%,20541070.0,1.0
32,비금융회사,이랜드파크,동일인측,동일인,동일인,-,-,-,-,-,,-,12974056.0,
33,비금융회사,이랜드파크,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,12974056.0,
34,비금융회사,이랜드파크,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,12974056.0,
35,비금융회사,이랜드파크,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,12974056.0,
36,비금융회사,이랜드파크,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,12974056.0,
37,비금융회사,이랜드파크,동일인측,친족합계,친족합계,-,-,-,-,-,,-,12974056.0,
38,비금융회사,이랜드파크,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,12974056.0,
39,비금융회사,이랜드파크,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,12974056.0,
40,비금융회사,이랜드파크,동일인측,자기주식,자기주식,이랜드파크,-,-,717,17.67%,717.0,0.01%,12974056.0,5.52641363656824e-05
41,비금융회사,이랜드파크,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),이랜드월드,6617000,51.02%,-,-,6617000.0,51.00%,12974056.0,0.5100178386774344
42,비금융회사,이랜드파크,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),이랜드리테일,6352998,48.98%,263,6.48%,6353261.0,48.97%,12974056.0,0.48968965449201085
43,비금융회사,이랜드파크,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,12974056.0,
44,비금융회사,이랜드파크,동일인측,동일인측 합계,동일인측 합계,-,12969998,100.00%,980,24.15%,12970978.0,99.98%,12974056.0,0.9997627573058109
45,비금융회사,이랜드파크,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,12974056.0,
46,비금융회사,이랜드파크,기타주주,기타,기타,-,-,-,3078,75.85%,3078.0,0.02%,12974056.0,0.0002372426941890801
47,비금융회사,이랜드파크,총계,총계,총계,-,12969998,100.00%,4058,100.00%,12974056.0,100.00%,12974056.0,1.0
48,비금융회사,이월드,동일인측,동일인,동일인,-,-,-,-,-,,-,141806193.0,
49,비금융회사,이월드,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,141806193.0,
50,비금융회사,이월드,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,141806193.0,
51,비금융회사,이월드,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,141806193.0,
52,비금융회사,이월드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,141806193.0,
53,비금융회사,이월드,동일인측,친족합계,친족합계,-,-,-,-,-,,-,141806193.0,
54,비금융회사,이월드,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,141806193.0,
55,비금융회사,이월드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,141806193.0,
56,비금융회사,이월드,동일인측,자기주식,자기주식,이월드,355773,0.31%,-,-,355773.0,0.25%,141806193.0,0.002508867860235131
57,비금융회사,이월드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),이랜드파크,54131261,47.46%,-,-,54131261.0,38.17%,141806193.0,0.38172705898676795
58,비금융회사,이월드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),이랜드월드,13202515,11.57%,-,-,13202515.0,9.31%,141806193.0,0.09310252761668879
59,비금융회사,이월드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,141806193.0,
60,비금융회사,이월드,동일인측,동일인측 합계,동일인측 합계,-,67689549,59.34%,-,-,67689549.0,47.73%,141806193.0,0.4773384544636919
61,비금융회사,이월드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,엠알아이제일차 주식회사,16921946,14.84%,27740370,100.00%,44662316.0,31.50%,141806193.0,0.3149532122338268
62,비금융회사,이월드,기타주주,기타,기타,소액주주,29454328,25.82%,-,-,29454328.0,20.77%,141806193.0,0.20770833330248137
63,비금융회사,이월드,총계,총계,총계,-,114065823,100.00%,27740370,100.00%,141806193.0,100.00%,141806193.0,1.0
64,비금융회사,이랜드건설,동일인측,동일인,동일인,-,-,-,-,-,,-,32541443.0,
65,비금융회사,이랜드건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,32541443.0,
66,비금융회사,이랜드건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,32541443.0,
67,비금융회사,이랜드건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,32541443.0,
68,비금융회사,이랜드건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,32541443.0,
69,비금융회사,이랜드건설,동일인측,친족합계,친족합계,-,-,-,-,-,,-,32541443.0,
70,비금융회사,이랜드건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,32541443.0,
71,비금융회사,이랜드건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,32541443.0,
72,비금융회사,이랜드건설,동일인측,자기주식,자기주식,-,-,-,-,-,,-,32541443.0,
73,비금융회사,이랜드건설,동일인측,계열회사,계열회사,이랜드월드,26880962,82.61%,-,-,26880962.0,82.61%,32541443.0,0.8260531654973013
74,비금융회사,이랜드건설,동일인측,계열회사,계열회사,이랜드리테일,5660481,17.39%,-,-,5660481.0,17.39%,32541443.0,0.1739468345026986
75,비금융회사,이랜드건설,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,32541443.0,
76,비금융회사,이랜드건설,동일인측,동일인측 합계,동일인측 합계,-,32541443,100.00%,-,-,32541443.0,100.00%,32541443.0,1.0
77,비금융회사,이랜드건설,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,32541443.0,
78,비금융회사,이랜드건설,기타주주,기타,기타,-,-,-,-,-,,-,32541443.0,
79,비금융회사,이랜드건설,총계,총계,총계,-,32541443,100.00%,-,-,32541443.0,100.00%,32541443.0,1.0
