,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,카카오,동일인측,동일인,동일인,김범수,12503461,14.36,-,-,12503461.0,14.36,74566181.0,0.16768273273912204
1,비금융회사,카카오,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,74566181.0,
2,비금융회사,카카오,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,74566181.0,
3,비금융회사,카카오,동일인측,친족,혈족5~6촌,김진원,634,0.00,-,-,634.0,0.00,74566181.0,8.502514028444075e-06
4,비금융회사,카카오,동일인측,친족,인척 4촌 이내,정영재,62220,0.07,-,-,62220.0,0.07,74566181.0,0.0008344265344633916
5,비금융회사,카카오,동일인측,친족,친족 합계,/,62854,0.07,-,-,-12440607.0,0.07,74566181.0,-0.1668398036906302
6,비금융회사,카카오,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,74566181.0,
7,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,강성,9644,0.01,-,-,9644.0,0.01,74566181.0,0.00012933477175128494
8,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,구기운,628,0.00,-,-,628.0,0.00,74566181.0,8.422048595998231e-06
9,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,권미진,1201,0.00,-,-,1201.0,0.00,74566181.0,1.6106497394576235e-05
10,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,김대홍,1000,0.00,-,-,1000.0,0.00,74566181.0,1.3410905407640495e-05
11,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,김민철,1560,0.00,-,-,1560.0,0.00,74566181.0,2.0921012435919175e-05
12,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,김창준,200,0.00,-,-,200.0,0.00,74566181.0,2.682181081528099e-06
13,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,김홍기,481,0.00,-,-,481.0,0.00,74566181.0,6.450645501075079e-06
14,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,남궁훈,5565,0.01,-,-,5565.0,0.01,74566181.0,7.463168859351936e-05
15,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,박승기,59990,0.07,-,-,59990.0,0.07,74566181.0,0.0008045202154043534
16,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,백상엽,11577,0.01,-,-,11577.0,0.01,74566181.0,0.00015525805190425403
17,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,성용제,62,0.00,-,-,62.0,0.00,74566181.0,8.314761352737108e-07
18,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,성진일,6500,0.01,-,-,6500.0,0.01,74566181.0,8.717088514966322e-05
19,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,여민수,5630,0.01,-,-,5630.0,0.01,74566181.0,7.5503397445016e-05
20,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,유강원,62,0.00,-,-,62.0,0.00,74566181.0,8.314761352737108e-07
21,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,홍은택,2665,0.00,-,-,2665.0,0.00,74566181.0,3.5740062911361925e-05
22,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,이제욱,2407,0.00,-,-,2407.0,0.00,74566181.0,3.2280049316190674e-05
23,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,원종석,62,0.00,-,-,62.0,0.00,74566181.0,8.314761352737108e-07
24,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,마현규,300,0.00,-,-,300.0,0.00,74566181.0,4.023271622292149e-06
25,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,공은주,62,0.00,-,-,62.0,0.00,74566181.0,8.314761352737108e-07
26,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,김윤진,349,0.00,-,-,349.0,0.00,74566181.0,4.680405987266533e-06
27,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,나희선,69,0.00,-,-,69.0,0.00,74566181.0,9.253524731271942e-07
28,비금융회사,카카오,동일인측,등기된 임원,등기된 임원,장영철,2,0.00,-,-,2.0,0.00,74566181.0,2.6821810815280993e-08
29,비금융회사,카카오,동일인측,자기주식,자기주식,카카오,2489934,2.86,-,-,2489934.0,2.86,74566181.0,0.03339226934526793
30,비금융회사,카카오,동일인측,계열회사(국내+해외),계열회사(국내+해외),케이큐브홀딩스,9939467,11.42,-,-,9939467.0,11.42,74566181.0,0.13329725173936427
31,비금융회사,카카오,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,74566181.0,
32,비금융회사,카카오,동일인측,동일인측 합계,동일인측 합계,/,25105732,28.83,-,-,12602271.0,28.83,74566181.0,0.169007864302451
33,비금융회사,카카오,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,74566181.0,
34,비금융회사,카카오,기타주주,기타,기타,/,61963910,71.17,-,-,61963910.0,71.17,74566181.0,0.830992135697549
35,비금융회사,카카오,총 계,총 계,총 계,/,87069642,100.00,-,-,74566181.0,100.00,74566181.0,1.0
36,비금융회사,(유)매디슨카운티의다리,동일인측,동일인,동일인,-,-,-,-,-,,-,1000.0,
37,비금융회사,(유)매디슨카운티의다리,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,1000.0,
38,비금융회사,(유)매디슨카운티의다리,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1000.0,
39,비금융회사,(유)매디슨카운티의다리,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1000.0,
40,비금융회사,(유)매디슨카운티의다리,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1000.0,
41,비금융회사,(유)매디슨카운티의다리,동일인측,친족,친족 합계,/,-,-,-,-,,-,1000.0,
42,비금융회사,(유)매디슨카운티의다리,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1000.0,
43,비금융회사,(유)매디슨카운티의다리,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1000.0,
44,비금융회사,(유)매디슨카운티의다리,동일인측,자기주식,자기주식,-,-,-,-,-,,-,1000.0,
45,비금융회사,(유)매디슨카운티의다리,동일인측,계열회사(국내+해외),계열회사(국내+해외),쇼노트,500,50.00,-,-,500.0,50.00,1000.0,0.5
46,비금융회사,(유)매디슨카운티의다리,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,1000.0,
47,비금융회사,(유)매디슨카운티의다리,동일인측,동일인측 합계,동일인측 합계,/,500,50.00,-,-,500.0,50.00,1000.0,0.5
48,비금융회사,(유)매디슨카운티의다리,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,1000.0,
49,비금융회사,(유)매디슨카운티의다리,기타주주,기타,기타,/,500,50.00,-,-,500.0,50.00,1000.0,0.5
50,비금융회사,(유)매디슨카운티의다리,총 계,총 계,총 계,/,1000,100.00,-,-,1000.0,100.00,1000.0,1.0
51,비금융회사,골프앤데이타시스템,동일인측,동일인,동일인,-,-,-,-,-,,-,22222.0,
52,비금융회사,골프앤데이타시스템,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,22222.0,
53,비금융회사,골프앤데이타시스템,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,22222.0,
54,비금융회사,골프앤데이타시스템,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,22222.0,
55,비금융회사,골프앤데이타시스템,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,22222.0,
56,비금융회사,골프앤데이타시스템,동일인측,친족,친족 합계,/,-,-,-,-,,-,22222.0,
57,비금융회사,골프앤데이타시스템,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,22222.0,
58,비금융회사,골프앤데이타시스템,동일인측,등기된 임원,등기된 임원,문태식,10000,45.00,-,-,10000.0,45.00,22222.0,0.4500045000450005
59,비금융회사,골프앤데이타시스템,동일인측,자기주식,자기주식,-,-,-,-,-,,-,22222.0,
60,비금융회사,골프앤데이타시스템,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,22222.0,
61,비금융회사,골프앤데이타시스템,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,22222.0,
62,비금융회사,골프앤데이타시스템,동일인측,동일인측 합계,동일인측 합계,/,10000,45.00,-,-,10000.0,45.00,22222.0,0.4500045000450005
63,비금융회사,골프앤데이타시스템,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,손상기,12222,55.00,-,-,12222.0,55.00,22222.0,0.5499954999549995
64,비금융회사,골프앤데이타시스템,기타주주,기타,기타,/,-,-,-,-,,-,22222.0,
65,비금융회사,골프앤데이타시스템,총 계,총 계,총 계,/,22222,100.00,-,-,22222.0,100.00,22222.0,1.0
66,비금융회사,골프와친구,동일인측,동일인,동일인,-,-,-,-,-,,-,60000.0,
67,비금융회사,골프와친구,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,60000.0,
68,비금융회사,골프와친구,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,60000.0,
69,비금융회사,골프와친구,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,60000.0,
70,비금융회사,골프와친구,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,60000.0,
71,비금융회사,골프와친구,동일인측,친족,친족 합계,/,-,-,-,-,,-,60000.0,
72,비금융회사,골프와친구,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,60000.0,
73,비금융회사,골프와친구,동일인측,등기된 임원,등기된 임원,문태식,60000,100.00,-,-,60000.0,100.00,60000.0,1.0
74,비금융회사,골프와친구,동일인측,자기주식,자기주식,-,-,-,-,-,,-,60000.0,
75,비금융회사,골프와친구,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,60000.0,
76,비금융회사,골프와친구,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,60000.0,
77,비금융회사,골프와친구,동일인측,동일인측 합계,동일인측 합계,/,60000,100.00,-,-,60000.0,100.00,60000.0,1.0
78,비금융회사,골프와친구,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,60000.0,
79,비금융회사,골프와친구,기타주주,기타,기타,/,-,-,-,-,,-,60000.0,
80,비금융회사,골프와친구,총 계,총 계,총 계,/,60000,100.00,-,-,60000.0,100.00,60000.0,1.0
81,비금융회사,그라운드원,동일인측,동일인,동일인,-,-,-,-,-,,-,10000000.0,
82,비금융회사,그라운드원,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,10000000.0,
83,비금융회사,그라운드원,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,10000000.0,
84,비금융회사,그라운드원,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10000000.0,
85,비금융회사,그라운드원,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10000000.0,
86,비금융회사,그라운드원,동일인측,친족,친족 합계,/,-,-,-,-,,-,10000000.0,
87,비금융회사,그라운드원,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,10000000.0,
88,비금융회사,그라운드원,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10000000.0,
89,비금융회사,그라운드원,동일인측,자기주식,자기주식,-,-,-,-,-,,-,10000000.0,
90,비금융회사,그라운드원,동일인측,계열회사(국내+해외),계열회사(국내+해외),Ground X Corp.,10000000,100.00,-,-,10000000.0,100.00,10000000.0,1.0
91,비금융회사,그라운드원,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10000000.0,
92,비금융회사,그라운드원,동일인측,동일인측 합계,동일인측 합계,/,10000000,100.00,-,-,10000000.0,100.00,10000000.0,1.0
93,비금융회사,그라운드원,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,10000000.0,
94,비금융회사,그라운드원,기타주주,기타,기타,/,-,-,-,-,,-,10000000.0,
95,비금융회사,그라운드원,총 계,총 계,총 계,/,10000000,100.00,-,-,10000000.0,100.00,10000000.0,1.0
96,비금융회사,그레이고,동일인측,동일인,동일인,-,-,-,-,-,,-,850000.0,
97,비금융회사,그레이고,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,850000.0,
98,비금융회사,그레이고,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,850000.0,
99,비금융회사,그레이고,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,850000.0,
100,비금융회사,그레이고,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,850000.0,
101,비금융회사,그레이고,동일인측,친족,친족 합계,/,-,-,-,-,,-,850000.0,
102,비금융회사,그레이고,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,850000.0,
103,비금융회사,그레이고,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,850000.0,
104,비금융회사,그레이고,동일인측,자기주식,자기주식,-,-,-,-,-,,-,850000.0,
105,비금융회사,그레이고,동일인측,계열회사(국내+해외),계열회사(국내+해외),카카오엠,850000,100.00,-,-,850000.0,100.00,850000.0,1.0
106,비금융회사,그레이고,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,850000.0,
107,비금융회사,그레이고,동일인측,동일인측 합계,동일인측 합계,/,850000,100.00,-,-,850000.0,100.00,850000.0,1.0
108,비금융회사,그레이고,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,850000.0,
109,비금융회사,그레이고,기타주주,기타,기타,/,-,-,-,-,,-,850000.0,
110,비금융회사,그레이고,총 계,총 계,총 계,/,850000,100.00,-,-,850000.0,100.00,850000.0,1.0
111,비금융회사,네오바자르,동일인측,동일인,동일인,-,-,-,-,-,,-,182905.0,
112,비금융회사,네오바자르,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,182905.0,
113,비금융회사,네오바자르,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,182905.0,
