,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,케이씨씨,동일인측,동일인,동일인,정몽진,1933740,18.32,-,-,1933740.0,18.32,10556513.0,0.18317980568015216
1,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,정상영,532977,5.05,-,-,532977.0,5.05,10556513.0,0.050487978369372535
2,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,홍은진,597,0.01,-,-,597.0,0.01,10556513.0,5.6552765103401096e-05
3,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,정재림,25162,0.24,-,-,25162.0,0.24,10556513.0,0.0023835522203212367
4,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,정명선,58749,0.56,-,-,58749.0,0.56,10556513.0,0.005565189944823637
5,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정몽익,928851,8.80,-,-,928851.0,8.80,10556513.0,0.08798842951266199
6,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정몽열,557713,5.28,-,-,557713.0,5.28,10556513.0,0.05283117635529838
7,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정제선,27781,0.26,-,-,27781.0,0.26,10556513.0,0.002631645506428117
8,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정도선,18197,0.17,-,-,18197.0,0.17,10556513.0,0.0017237699607815574
9,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정한선,2600,0.02,-,-,2600.0,0.02,10556513.0,0.0002462934493615458
10,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정연선,2600,0.02,-,-,2600.0,0.02,10556513.0,0.0002462934493615458
11,비금융회사,케이씨씨,동일인측,친족,혈족5~6촌,정은희,22000,0.21,-,-,22000.0,0.21,10556513.0,0.0020840214945976954
