,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,코오롱,동일인측,동일인,동일인,이웅열,6279798,49.74,-,-,6279798,45.83,13702816,0.4582852167029025
1,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이경숙,122562,0.97,-,-,122562,0.89,13702816,0.008944292910303984
2,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이상희,60000,0.48,,,60000,0.44,13702816,0.004378662021003566
3,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이혜숙,91562,0.73,-,-,91562,0.67,13702816,0.006681984199452142
4,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이경주,91362,0.72,-,-,91362,0.67,13702816,0.00666738865938213
5,비금융회사,코오롱,동일인측,친족,친족 합계,-,365486,2.90,-,-,365486,2.67,13702816,0.026672327790141823
6,비금융회사,코오롱,동일인측,등기된 임원,등기된 임원,김철수,8,0.00,-,-,8,0.0,13702816,5.838216028004755e-07
7,비금융회사,코오롱,동일인측,등기된 임원,등기된 임원,문명한,175,0.00,-,-,175,0.0,13702816,1.2771097561260401e-05
8,비금융회사,코오롱,동일인측,동일인측 합계,동일인측 합계,-,6645467,52.63,-,-,6645467,48.5,13702816,0.4849708994122084
9,비금융회사,코오롱,기타주주,기타,기타,-,5980959,47.37,1076390,100.00,7057349,51.5,13702816,0.5150291005877916
10,비금융회사,코오롱,총 계,총 계,총 계,-,12626426,100.00,1076390,100.00,13702816,100.0,13702816,1.0
11,비금융회사,코오롱인더스트리,동일인측,동일인,동일인,이웅열,326177,1.21,-,-,326177,1.1,29746700,0.01096514907535962
12,비금융회사,코오롱인더스트리,동일인측,친족,혈족2~4촌,이경숙,3928,0.01,-,-,3928,0.01,29746700,0.00013204826081548543
13,비금융회사,코오롱인더스트리,동일인측,친족,혈족2~4촌,이상희,10428,0.04,-,-,10428,0.04,29746700,0.00035055989403866647
14,비금융회사,코오롱인더스트리,동일인측,친족,혈족2~4촌,이경주,10428,0.04,-,-,10428,0.04,29746700,0.00035055989403866647
15,비금융회사,코오롱인더스트리,동일인측,친족,친족 합계,-,24784,0.09,-,-,24784,0.08,29746700,0.0008331680488928184
