,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,금융회사,키움증권,동일인측,동일인,동일인,-,-,-,-,-,,-,25392913.0,
1,금융회사,키움증권,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,25392913.0,
2,금융회사,키움증권,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,25392913.0,
3,금융회사,키움증권,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,25392913.0,
4,금융회사,키움증권,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,25392913.0,
5,금융회사,키움증권,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,25392913.0,
6,금융회사,키움증권,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,25392913.0,
7,금융회사,키움증권,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,25392913.0,
8,금융회사,키움증권,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,25392913.0,
9,금융회사,키움증권,동일인측,친족,친족 합계,/,-,-,-,-,,-,25392913.0,
10,금융회사,키움증권,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,25392913.0,
11,금융회사,키움증권,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,25392913.0,
12,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,윤수영,6048,0.03%,-,-,6048.0,0.02%,25392913.0,0.0002381766912681503
13,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,임경호,400,0.00%,-,-,400.0,0.00%,25392913.0,1.5752426671173962e-05
14,금융회사,키움증권,동일인측,등기된 임원,등기된 임원,최창민,875,0.00%,-,-,875.0,0.00%,25392913.0,3.445843334319304e-05
15,금융회사,키움증권,동일인측,자기주식,자기주식,-,-,-,-,-,,-,25392913.0,
16,금융회사,키움증권,동일인측,계열회사(국내+해외),계열회사(국내+해외),다우기술,10542003,47.70%,-,-,10542003.0,41.52%,25392913.0,0.41515532306198977
17,금융회사,키움증권,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,25392913.0,
18,금융회사,키움증권,동일인측,동일인측 합계,동일인측 합계,/,10549326,47.74%,-,-,10549326.0,41.54%,25392913.0,0.4154437106132723
