,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,태광산업,동일인측,동일인,동일인,이호진,328189.0,29.48,,,328189.0,29.48,1113400.0,0.2947628884497934
1,비금융회사,태광산업,동일인측,친족,배우자/ 혈족1촌,,,,,,,,1113400.0,
2,비금융회사,태광산업,동일인측,친족,배우자/ 혈족1촌,,,,,,,,1113400.0,
3,비금융회사,태광산업,동일인측,친족,혈족2~4촌,이동준,8918.0,0.80,,,8918.0,0.80,1113400.0,0.008009700017962995
4,비금융회사,태광산업,동일인측,친족,혈족2~4촌,이원준,83370.0,7.49,,,83370.0,7.49,1113400.0,0.07487874977546255
5,비금융회사,태광산업,동일인측,친족,혈족2~4촌,이태준,8982.0,0.81,,,8982.0,0.81,1113400.0,0.008067181605891862
6,비금융회사,태광산업,동일인측,친족,혈족5~6촌,,,,,,,,1113400.0,
7,비금융회사,태광산업,동일인측,친족,혈족5~6촌,,,,,,,,1113400.0,
8,비금융회사,태광산업,동일인측,친족,인척 4촌 이내,신선호,2398.0,0.22,,,2398.0,0.22,1113400.0,0.002153763247709718
9,비금융회사,태광산업,동일인측,친족,인척 4촌 이내,,,,,,,,1113400.0,
10,비금융회사,태광산업,동일인측,친족,친족 합계,/,103668.0,9.31,,,103668.0,9.31,1113400.0,0.09310939464702712
11,비금융회사,태광산업,동일인측,비영리법인,비영리법인,학교법인 일주세화학원,55669.0,5.00,,,55669.0,5.00,1113400.0,0.04999910185018861
12,비금융회사,태광산업,동일인측,비영리법인,비영리법인,태광산업,271769.0,24.41,,,271769.0,24.41,1113400.0,0.24408927609125203
13,비금융회사,태광산업,동일인측,등기된 임원,등기된 임원,,,,,,,,1113400.0,
14,비금융회사,태광산업,동일인측,등기된 임원,등기된 임원,,,,,,,,1113400.0,
15,비금융회사,태광산업,동일인측,자기주식,자기주식,,,,,,,,1113400.0,
16,비금융회사,태광산업,동일인측,계열회사,계열회사,티알엔,124908.0,11.22,,,124908.0,11.22,1113400.0,0.1121860966409197
17,비금융회사,태광산업,동일인측,(국내+해외),(국내+해외),,,,,,,,1113400.0,
18,비금융회사,태광산업,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,1113400.0,
