,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,태영건설,동일인측,동일인,동일인,윤세영,500000,0.65,,,500000.0,0.63,78957480.0,0.006332522263881775
1,비금융회사,태영건설,동일인측,친족,배우자/ 혈족1촌,윤석민,20707620,27.10,,,20707620.0,26.23,78957480.0,0.2622629293640071
2,비금융회사,태영건설,동일인측,친족,인척 4촌 이내,변탁,20000,0.03,,,20000.0,0.03,78957480.0,0.000253300890555271
3,비금융회사,태영건설,동일인측,친족,인척 4촌 이내,이상희,2300000,3.01,,,2300000.0,2.91,78957480.0,0.029129602413856166
4,비금융회사,태영건설,동일인측,친족,친족 합계,/,23527620,30.80,,,23047620.0,29.80,78957480.0,0.2918991335589738
5,비금융회사,태영건설,동일인측,비영리법인,비영리법인,서암학술장학재단,5766150,7.55,,,5766150.0,7.30,78957480.0,0.0730285465037638
6,비금융회사,태영건설,동일인측,자기주식,자기주식,태영건설,8120000,10.63,,,8120000.0,10.28,78957480.0,0.10284016156544003
7,비금융회사,태영건설,동일인측,동일인측 합계,동일인측 합계,/,37413770,48.97,,,37433770.0,47.38,78957480.0,0.4741003638920594
8,비금융회사,태영건설,기타주주,기타,기타,/,38986230,51.03,2557480,100.00,41523710.0,52.62,78957480.0,0.5258996361079407
9,비금융회사,태영건설,총 계,총 계,총 계,/,76400000,100.00,2557480,100.00,78957480.0,100.00,78957480.0,1.0
10,비금융회사,군포복합개발피에프브이(주1),동일인측,계열회사 (국내+해외),계열회사 (국내+해외),태영건설,1770000,50.6%,-,-,1770000.0,,5000000.0,0.354
11,비금융회사,군포복합개발피에프브이(주1),동일인측,동일인측 합계,동일인측 합계,/,1770000,50.6%,-,-,1770000.0,,5000000.0,0.354
12,비금융회사,군포복합개발피에프브이(주1),기타주주,기타,기타,기타,1730000,49.4%,1500000,100.0%,3230000.0,64.6%,5000000.0,0.646
13,비금융회사,군포복합개발피에프브이(주1),총 계,총 계,총 계,/,3500000,100.0%,1500000,100.0%,5000000.0,100.0%,5000000.0,1.0
14,비금융회사,디엠씨미디어,동일인측,등기된 임원,등기된 임원,이준희,174080,37.36%,-,-,174080.0,37.36%,465920.0,0.37362637362637363
15,비금융회사,디엠씨미디어,동일인측,계열회사(국내+해외),계열회사(국내+해외),에스비에스,251840,54.05%,-,-,251840.0,54.05%,465920.0,0.540521978021978
16,비금융회사,디엠씨미디어,동일인측,동일인측 합계,동일인측 합계,/,425920,91.41%,-,-,425920.0,91.41%,465920.0,0.9141483516483516
17,비금융회사,디엠씨미디어,기타주주,기타,기타,,40000,8.59%,-,-,40000.0,8.59%,465920.0,0.08585164835164835
18,비금융회사,디엠씨미디어,총 계,총 계,총 계,/,465920,100%,-,-,465920.0,100%,465920.0,1.0
19,비금융회사,리앤에스스포츠,동일인측,등기된 임원,등기된 임원,이재명,150000,30.0,,,150000.0,,500000.0,0.3
20,비금융회사,리앤에스스포츠,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),SBS미디어넷,350000,70.0,,,350000.0,,500000.0,0.7
21,비금융회사,리앤에스스포츠,동일인측,동일인측 합계,동일인측 합계,/,500000,100%,,,500000.0,,500000.0,1.0
22,비금융회사,리앤에스스포츠,기타주주,기타,기타,/,,,,,,,500000.0,
23,비금융회사,리앤에스스포츠,총 계,총 계,총 계,/,500000,100%,,,500000.0,,500000.0,1.0
24,비금융회사,문고리닷컴,동일인측,등기된 임원,등기된 임원,홍태성,7425,19.8%,-,-,7425.0,19.8%,37500.0,0.198
25,비금융회사,문고리닷컴,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),에스비에스네오파트너스,22500,60%,-,-,22500.0,60%,37500.0,0.6
26,비금융회사,문고리닷컴,동일인측,동일인측 합계,동일인측 합계,,29925,79.8%,-,-,29925.0,79.8%,37500.0,0.798
27,비금융회사,문고리닷컴,기타주주,기타,기타,홍태중,7575,20.2%,-,-,7575.0,20.2%,37500.0,0.202
28,비금융회사,문고리닷컴,총 계,총 계,총 계,-,37500,100%,-,-,37500.0,100%,37500.0,1.0
29,비금융회사,부산바이오에너지,동일인측,계열회사,계열회사,티에스케이워터,94680,60,-,-,94680.0,60.00,157800.0,0.6
30,비금융회사,부산바이오에너지,동일인측,동일인측 합계,동일인측 합계,/,94680,60,-,-,94680.0,60.00,157800.0,0.6
31,비금융회사,부산바이오에너지,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,에코바이오홀딩스,47430,30,-,-,47430.0,40.00,157800.0,0.3005703422053232
32,비금융회사,부산바이오에너지,기타주주,기타,기타,동아지질,15780,10,-,-,15780.0,,157800.0,0.1
33,비금융회사,부산바이오에너지,총 계,총 계,총 계,-,157800,100.00,-,-,157800.0,100.00,157800.0,1.0
34,비금융회사,블렌딩,동일인측,계열회사,계열회사,에스비에스콘텐츠허브,200000,50%,,,200000.0,50%,400000.0,0.5
35,비금융회사,블렌딩,동일인측,동일인측 합계,동일인측 합계,/,200000,50%,,,200000.0,50%,400000.0,0.5
36,비금융회사,블렌딩,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,문화방송,200000,50%,,,200000.0,50%,400000.0,0.5
37,비금융회사,블렌딩,총 계,총 계,총 계,-,400000,100%,,,400000.0,100%,400000.0,1.0
38,비금융회사,블루원,동일인측,친족,배우자/ 혈족1촌,윤재연,600016,10.38%,,,600016.0,10.38%,5782022.0,0.10377269405062796
39,비금융회사,블루원,동일인측,친족,배우자/ 혈족1촌,윤석민,109094,1.89%,,,109094.0,1.89%,5782022.0,0.01886779400009201
40,비금융회사,블루원,동일인측,친족,친족 합계,/,709110,12.27%,,,709110.0,12.27%,5782022.0,0.12264048805071998
41,비금융회사,블루원,동일인측,계열회사,계열회사,태영건설,5072912,87.73%,,,5072912.0,87.73%,5782022.0,0.8773595119492801
42,비금융회사,블루원,동일인측,동일인측 합계,동일인측 합계,/,5782022,100%,,,5782022.0,100%,5782022.0,1.0
43,비금융회사,블루원,총 계,총 계,총 계,/,5782022,100%,-,-,5782022.0,100%,5782022.0,1.0
44,비금융회사,센트로,동일인측,계열회사,계열회사,티에스게이워터,140000,70,-,-,140000.0,70%,200000.0,0.7
45,비금융회사,센트로,동일인측,동일인측 합계,동일인측 합계,-,140000,70,-,-,140000.0,70%,200000.0,0.7
46,비금융회사,센트로,기타주주,기타,기타,토우건설,60000,30,-,-,60000.0,30%,200000.0,0.3
47,비금융회사,센트로,총 계,총 계,총 계,/,200000,100,-,-,200000.0,100%,200000.0,1.0
48,비금융회사,에스비에스,동일인측,자기주식,자기주식,-,562514,3.08%,-,-,562514.0,3.08%,18252582.0,0.03081832477180489
49,비금융회사,에스비에스,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),SBS미디어홀딩스,6738017,36.92%,-,-,6738017.0,36.92%,18252582.0,0.3691541832273374
50,비금융회사,에스비에스,동일인측,동일인측 합계,동일인측 합계,-,7300531,40.00%,-,-,7300531.0,40.00%,18252582.0,0.39997250799914225
51,비금융회사,에스비에스,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,18252582.0,
52,비금융회사,에스비에스,기타주주,기타,기타,-,10952051,60.00%,-,-,10952051.0,60.00%,18252582.0,0.6000274920008577
53,비금융회사,에스비에스,총 계,총 계,총 계,-,18252582,100.00%,-,-,18252582.0,100.00%,18252582.0,1.0
54,비금융회사,에스비에스네오파트너스,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),SBS미디어홀딩스,6000000,100.0,-,-,6000000.0,100.0,6000000.0,1.0
55,비금융회사,에스비에스네오파트너스,동일인측,동일인측 합계,동일인측 합계,,6000000,100.0,,,6000000.0,100.0,6000000.0,1.0
