,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,포스코,동일인측,동일인,동일인,-,-,-,-,-,,-,87186835.0,
1,비금융회사,포스코,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,87186835.0,
2,비금융회사,포스코,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,87186835.0,
3,비금융회사,포스코,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,87186835.0,
4,비금융회사,포스코,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,87186835.0,
5,비금융회사,포스코,동일인측,친족,친족 합계,,-,-,-,-,,-,87186835.0,
6,비금융회사,포스코,동일인측,비영리법인,비영리법인,(학)포항공과대학교,1981047,2.27%,-,-,1981047.0,2.27%,87186835.0,0.022721859326582963
7,비금융회사,포스코,동일인측,비영리법인,비영리법인,(학)포스코교육재단,403000,0.46%,-,-,403000.0,0.46%,87186835.0,0.004622257477290006
8,비금융회사,포스코,동일인측,비영리법인,비영리법인,(재)포스코청암재단,30000,0.03%,-,-,30000.0,0.03%,87186835.0,0.0003440886459521096
9,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,최정우,1526,0.00%,-,-,1526.0,0.00%,87186835.0,1.7502642457430642e-05
10,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김학동,1460,0.00%,-,-,1460.0,0.00%,87186835.0,1.6745647436336002e-05
11,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,장인화,1389,0.00%,-,-,1389.0,0.00%,87186835.0,1.5931304307582676e-05
12,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,정탁,1299,0.00%,-,-,1299.0,0.00%,87186835.0,1.4899038369726347e-05
13,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,전중선,1262,0.00%,-,-,1262.0,0.00%,87186835.0,1.4474662373052078e-05
14,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,유병옥,1149,0.00%,-,-,1149.0,0.00%,87186835.0,1.3178595139965799e-05
15,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,노민용,1000,0.00%,-,-,1000.0,0.00%,87186835.0,1.1469621531736988e-05
16,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,서수일,1000,0.00%,-,-,1000.0,0.00%,87186835.0,1.1469621531736988e-05
17,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이덕락,774,0.00%,-,-,774.0,0.00%,87186835.0,8.877487065564428e-06
18,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,임승규,692,0.00%,-,-,692.0,0.00%,87186835.0,7.936978099961995e-06
19,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김학용,659,0.00%,-,-,659.0,0.00%,87186835.0,7.558480589414675e-06
20,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,정창화,650,0.00%,-,-,650.0,0.00%,87186835.0,7.455253995629042e-06
21,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이주태,623,0.00%,-,-,623.0,0.00%,87186835.0,7.145574214272143e-06
22,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이은석,621,0.00%,-,-,621.0,0.00%,87186835.0,7.122634971208669e-06
23,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,민경준,463,0.00%,-,-,463.0,0.00%,87186835.0,5.310434769194225e-06
24,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김희,433,0.00%,-,-,433.0,0.00%,87186835.0,4.966346123242116e-06
25,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이보형,406,0.00%,-,-,406.0,0.00%,87186835.0,4.656666341885217e-06
26,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,강득상,401,0.00%,-,-,401.0,0.00%,87186835.0,4.599318234226532e-06
27,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,배철민,399,0.00%,-,-,399.0,0.00%,87186835.0,4.576378991163058e-06
28,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이종관,392,0.00%,-,-,392.0,0.00%,87186835.0,4.4960916404408995e-06
29,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,손건재,386,0.00%,-,-,386.0,0.00%,87186835.0,4.427273911250477e-06
30,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이성록,381,0.00%,-,-,381.0,0.00%,87186835.0,4.369925803591792e-06
31,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,유성,358,0.00%,-,-,358.0,0.00%,87186835.0,4.106124508361841e-06
32,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,한성희,354,0.00%,-,-,354.0,0.00%,87186835.0,4.060246022234893e-06
33,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,이희근,335,0.00%,-,-,335.0,0.00%,87186835.0,3.8423232131318905e-06
34,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,박윤필,334,0.00%,-,-,334.0,0.00%,87186835.0,3.830853591600154e-06
35,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,고찬주,330,0.00%,-,-,330.0,0.00%,87186835.0,3.784975105473206e-06
36,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김봉조,316,0.00%,-,-,316.0,0.00%,87186835.0,3.6244004040288882e-06
37,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김태억,313,0.00%,-,-,313.0,0.00%,87186835.0,3.5899915394336773e-06
38,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,민중기,303,0.00%,-,-,303.0,0.00%,87186835.0,3.4752953241163073e-06
39,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,정경진,294,0.00%,-,-,294.0,0.00%,87186835.0,3.372068730330674e-06
40,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김진영,270,0.00%,-,-,270.0,0.00%,87186835.0,3.0967978135689865e-06
