,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,하림지주,동일인측,동일인,동일인,김홍국,21189308,22.64,-,-,21189308.0,22.64,93584198.0,0.22641972098751115
1,비금융회사,하림지주,동일인측,친족,배우자/ 혈족1촌,오수정,2806300,3.00,-,-,2806300.0,3.00,93584198.0,0.02998690013884609
2,비금융회사,하림지주,동일인측,친족,배우자/ 혈족1촌,-,-,-,-,-,,-,93584198.0,
3,비금융회사,하림지주,동일인측,친족,혈족2~4촌,김기준,15950,0.02,-,-,15950.0,0.02,93584198.0,0.00017043475651733425
4,비금융회사,하림지주,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,93584198.0,
5,비금융회사,하림지주,동일인측,친족,혈족5~6촌,장시환,1600,-,-,-,1600.0,-,93584198.0,1.7096903475093093e-05
6,비금융회사,하림지주,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,93584198.0,
7,비금융회사,하림지주,동일인측,친족,인척 4촌 이내,송진욱,5000,0.01,-,-,5000.0,0.01,93584198.0,5.342782335966591e-05
8,비금융회사,하림지주,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,93584198.0,
9,비금융회사,하림지주,동일인측,친족,친족 합계,/,2828850,3.03,-,-,2828850.0,3.03,93584198.0,0.030227859622198185
10,비금융회사,하림지주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,93584198.0,
11,비금융회사,하림지주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,93584198.0,
12,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,권정택,158,-,-,-,158.0,-,93584198.0,1.688319218165443e-06
13,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,권지은,740,-,-,-,740.0,-,93584198.0,7.907317857230554e-06
14,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,김기영,880,-,-,-,880.0,-,93584198.0,9.4032969113012e-06
15,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,문경필,20604,0.02,-,-,20604.0,0.02,93584198.0,0.00022016537450051128
16,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,박재호,513,-,-,-,513.0,-,93584198.0,5.481694676701723e-06
17,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,서형규,1223,-,-,-,1223.0,-,93584198.0,1.3068445593774282e-05
18,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,오수종,2173,-,-,-,2173.0,-,93584198.0,2.3219732032110807e-05
19,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,윤석춘,3000,-,-,-,3000.0,-,93584198.0,3.205669401579955e-05
20,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,이우진,64892,0.07,-,-,64892.0,0.07,93584198.0,0.000693407662691088
21,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,장경수,302,-,-,-,302.0,-,93584198.0,3.227040530923821e-06
22,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,조항준,3050,-,-,-,3050.0,-,93584198.0,3.2590972249396204e-05
23,비금융회사,하림지주,동일인측,등기된 임원,등기된 임원,천세기,721,-,-,-,721.0,-,93584198.0,7.704292128463825e-06
24,비금융회사,하림지주,동일인측,자기주식,자기주식,하림지주,18074495,19.31,-,-,18074495.0,19.31,93584198.0,0.19313618523503295
