,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,한국조선해양,동일인측,동일인,동일인,-,-,-,-,-,,-,70773116.0,
1,비금융회사,한국조선해양,동일인측,친족,배우자/혈족1촌,정기선,544,0.00,-,-,544.0,0.00,70773116.0,7.686534530993379e-06
2,비금융회사,한국조선해양,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,70773116.0,
3,비금융회사,한국조선해양,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,70773116.0,
4,비금융회사,한국조선해양,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,70773116.0,
5,비금융회사,한국조선해양,동일인측,친족,친족 합계,-,544,0.00,-,-,544.0,0.00,70773116.0,7.686534530993379e-06
6,비금융회사,한국조선해양,동일인측,비영리법인,비영리법인,(재)아산사회복지재단,1684436,2.38,-,-,1684436.0,2.38,70773116.0,0.02380050639567714
7,비금융회사,한국조선해양,동일인측,비영리법인,비영리법인,(재)아산나눔재단,431844,0.61,-,-,431844.0,0.61,70773116.0,0.006101808488974825
8,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,가삼현,2255,0.00,-,-,2255.0,0.00,70773116.0,3.186238119005528e-05
9,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,공기영,1037,0.00,-,-,1037.0,0.00,70773116.0,1.4652456449706128e-05
10,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,구진회,890,0.00,-,-,890.0,0.00,70773116.0,1.2575396567250196e-05
11,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,권기형,29,0.00,-,-,29.0,0.00,70773116.0,4.097601128654559e-07
12,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,권오갑,101,0.00,-,-,101.0,0.00,70773116.0,1.4270955654969324e-06
13,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,금석호,25,0.00,-,-,25.0,0.00,70773116.0,3.532414766081516e-07
14,비금융회사,한국조선해양,동일인측,등기된 임원,등기된 임원,김광국,96,0.00,-,-,96.0,0.00,70773116.0,1.3564472701753021e-06
