,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,한국지엠주식회사,동일인측,동일인,동일인,①,②,③,④,⑤,,⑦,553618003.0,
1,비금융회사,한국지엠주식회사,동일인측,친족,배우자/혈족1촌,,,,,,,,553618003.0,
2,비금융회사,한국지엠주식회사,동일인측,친족,배우자/혈족1촌,,,,,,,,553618003.0,
3,비금융회사,한국지엠주식회사,동일인측,친족,혈족2~4촌,,,,,,,,553618003.0,
4,비금융회사,한국지엠주식회사,동일인측,친족,혈족2~4촌,,,,,,,,553618003.0,
5,비금융회사,한국지엠주식회사,동일인측,친족,혈족5~6촌,,,,,,,,553618003.0,
6,비금융회사,한국지엠주식회사,동일인측,친족,혈족5~6촌,,,,,,,,553618003.0,
7,비금융회사,한국지엠주식회사,동일인측,친족,인척 4촌 이내,,,,,,,,553618003.0,
8,비금융회사,한국지엠주식회사,동일인측,친족,인척 4촌 이내,,,,,,,,553618003.0,
9,비금융회사,한국지엠주식회사,동일인측,친족,친족 합계,/,,,,,,,553618003.0,
10,비금융회사,한국지엠주식회사,동일인측,비영리법인,비영리법인,,,,,,,,553618003.0,
11,비금융회사,한국지엠주식회사,동일인측,비영리법인,비영리법인,,,,,,,,553618003.0,
12,비금융회사,한국지엠주식회사,동일인측,등기된 임원,등기된 임원,,,,,,,,553618003.0,
13,비금융회사,한국지엠주식회사,동일인측,등기된 임원,등기된 임원,,,,,,,,553618003.0,
14,비금융회사,한국지엠주식회사,동일인측,자기주식,자기주식,,,,,,,,553618003.0,
15,비금융회사,한국지엠주식회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,,553618003.0,
16,비금융회사,한국지엠주식회사,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,,553618003.0,
17,비금융회사,한국지엠주식회사,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,553618003.0,
18,비금융회사,한국지엠주식회사,동일인측,⑨ 동일인측 합계,동일인측 합계,/,,,,,,,553618003.0,
19,비금융회사,한국지엠주식회사,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,General Motors Investment Pty Ltd.,200221323,48.19%,55240983,39.99%,255462306.0,46.14%,553618003.0,0.4614414715845142
20,비금융회사,한국지엠주식회사,기타주주,기타,기타,"GM Asia Pacific Holdings, LLC",39673859,9.55%,15011128,10.87%,54684987.0,9.88%,553618003.0,0.09877747237927159
21,비금융회사,한국지엠주식회사,기타주주,기타,기타,GM Automotive Holdings S.L.,79880467,19.22%,44070331,31.90%,123950798.0,22.39%,553618003.0,0.22389228191338278
22,비금융회사,한국지엠주식회사,기타주주,기타,기타,SAIC Motor Corporation Ltd.,25000000,6.02%,-,-,25000000.0,4.52%,553618003.0,0.04515749102183731
23,비금융회사,한국지엠주식회사,기타주주,기타,기타,한국산업은행,70706150,17.02%,23813762,17.24%,94519912.0,17.07%,553618003.0,0.17073128310099409
24,비금융회사,한국지엠주식회사,총 계,총 계,총 계,,415481799,100.00%,138136204,100.00%,553618003.0,100.00%,553618003.0,1.0
