,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비 금 융 회 사,한화,동일인측,동일인,동일인,김승연,16977949,22.65,1470000,6.40,18447949.0,18.84,97910029.0,0.18841735814417948
1,비 금 융 회 사,한화,동일인측,친족,배우자/혈족1촌,김동관,3330000,4.44,860654,3.75,4190654.0,4.28,97910029.0,0.04280106994963713
2,비 금 융 회 사,한화,동일인측,친족,배우자/혈족1촌,김동원,1250000,1.67,,-,1250000.0,1.28,97910029.0,0.012766822896150914
3,비 금 융 회 사,한화,동일인측,친족,배우자/혈족1촌,김동선,1250000,1.67,,-,1250000.0,1.28,97910029.0,0.012766822896150914
4,비 금 융 회 사,한화,동일인측,친족,배우자/혈족1촌,서영민,1061676,1.42,,-,1061676.0,1.08,97910029.0,0.010843383572075134
5,비 금 융 회 사,한화,동일인측,친족,혈족2~4촌,,,-,,-,,-,97910029.0,
6,비 금 융 회 사,한화,동일인측,친족,혈족5~6촌,,,-,,-,,-,97910029.0,
7,비 금 융 회 사,한화,동일인측,친족,인척 4촌 이내,,,-,,-,,-,97910029.0,
8,비 금 융 회 사,한화,동일인측,친족,친족 합계,,6891676,9.19,860654,3.75,7752330.0,7.92,97910029.0,0.0791780993140141
9,비 금 융 회 사,한화,동일인측,비영리법인,비영리법인,북일학원,1371105,1.83,,-,1371105.0,1.40,97910029.0,0.0140037237656216
10,비 금 융 회 사,한화,동일인측,등기된 임원,등기된 임원,금춘수,21000,0.03,10000,0.04,31000.0,0.03,97910029.0,0.00031661720782454267
11,비 금 융 회 사,한화,동일인측,등기된 임원,등기된 임원,김연철,8347,0.01,5324,0.02,13671.0,0.01,97910029.0,0.00013962818865062332
12,비 금 융 회 사,한화,동일인측,등기된 임원,등기된 임원,이민석,7010,0.01,402,0.00,7412.0,0.01,97910029.0,7.570215304501647e-05
13,비 금 융 회 사,한화,동일인측,등기된 임원,등기된 임원,옥경석,6050,0.01,-,-,6050.0,0.01,97910029.0,6.179142281737042e-05
14,비 금 융 회 사,한화,동일인측,자기주식,자기주식,한화,5880000,7.84,,-,5880000.0,6.01,97910029.0,0.0600551349034939
15,비 금 융 회 사,한화,동일인측,계열회사(국내+해외),계열회사(국내+해외),에이치솔루션,1650000,2.20,426450,1.86,2076450.0,2.12,97910029.0,0.021207735522170052
16,비 금 융 회 사,한화,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,-,,-,97910029.0,
17,비 금 융 회 사,한화,동일인측,동일인측 합계,동일인측 합계,,32813137,43.77,2772830,12.08,35585967.0,36.35,97910029.0,0.3634557906218167
18,비 금 융 회 사,한화,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,-,,-,97910029.0,
19,비 금 융 회 사,한화,기타주주,기타,기타,,42145598,56.23,20178464,87.92,62324062.0,63.65,97910029.0,0.6365442093781833
20,비 금 융 회 사,한화,총계,총계,총계,,74958735,100.00,22951294,100.00,97910029.0,100.00,97910029.0,1.0
21,비 금 융 회 사,한화케미칼,동일인측,동일인,동일인,,,-,,-,,-,162603027.0,
22,비 금 융 회 사,한화케미칼,동일인측,친족,배우자/혈족1촌,,,-,,-,,-,162603027.0,
23,비 금 융 회 사,한화케미칼,동일인측,친족,혈족2~4촌,,,-,,-,,-,162603027.0,
24,비 금 융 회 사,한화케미칼,동일인측,친족,혈족5~6촌,,,-,,-,,-,162603027.0,
25,비 금 융 회 사,한화케미칼,동일인측,친족,인척 4촌 이내,,,-,,-,,-,162603027.0,
26,비 금 융 회 사,한화케미칼,동일인측,친족,친족 합계,,-,-,-,-,,-,162603027.0,
27,비 금 융 회 사,한화케미칼,동일인측,비영리법인,비영리법인,북일학원,250521,0.16,,-,250521.0,0.15,162603027.0,0.0015406908753303836
28,비 금 융 회 사,한화케미칼,동일인측,등기된 임원,등기된 임원,김창범,15000,0.01,,-,15000.0,0.01,162603027.0,9.224920517623575e-05
29,비 금 융 회 사,한화케미칼,동일인측,등기된 임원,등기된 임원,이구영,9010,0.01,,-,9010.0,0.01,162603027.0,5.5411022575858936e-05
30,비 금 융 회 사,한화케미칼,동일인측,등기된 임원,등기된 임원,윤안식,2000,0.00,,-,2000.0,0.00,162603027.0,1.22998940234981e-05
31,비 금 융 회 사,한화케미칼,동일인측,등기된 임원,등기된 임원,박승덕,9145,0.01,137,0.01,9282.0,0.01,162603027.0,5.7083808163054675e-05
32,비 금 융 회 사,한화케미칼,동일인측,자기주식,자기주식,,,-,,-,,-,162603027.0,
33,비 금 융 회 사,한화케미칼,동일인측,계열회사,계열회사,한화,59545978,36.88,,-,59545978.0,36.62,162603027.0,0.3662046094627746
34,비 금 융 회 사,한화케미칼,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,-,,-,162603027.0,
35,비 금 융 회 사,한화케미칼,동일인측,동일인측 합계,동일인측 합계,,59831654,37.05,137,0.01,59831791.0,36.80,162603027.0,0.3679623442680437
36,비 금 융 회 사,한화케미칼,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,-,,-,162603027.0,
37,비 금 융 회 사,한화케미칼,기타주주,기타,기타,,101647636,62.95,1123600,99.99,102771236.0,63.20,162603027.0,0.6320376557319564
38,비 금 융 회 사,한화케미칼,총계,총계,총계,,161479290,100.00,1123737,100.00,162603027.0,100.00,162603027.0,1.0
39,비 금 융 회 사,한화갤러리아,동일인측,동일인,동일인,,,-,,,,-,22000000.0,
40,비 금 융 회 사,한화갤러리아,동일인측,친족,배우자/혈족1촌,,,-,,,,-,22000000.0,
41,비 금 융 회 사,한화갤러리아,동일인측,친족,혈족2~4촌,,,-,,,,-,22000000.0,
42,비 금 융 회 사,한화갤러리아,동일인측,친족,혈족5~6촌,,,-,,,,-,22000000.0,
43,비 금 융 회 사,한화갤러리아,동일인측,친족,인척 4촌 이내,,,-,,,,-,22000000.0,
44,비 금 융 회 사,한화갤러리아,동일인측,친족,친족 합계,,-,-,-,,,-,22000000.0,
45,비 금 융 회 사,한화갤러리아,동일인측,비영리법인,비영리법인,,,-,,,,-,22000000.0,
46,비 금 융 회 사,한화갤러리아,동일인측,등기된 임원,등기된 임원,,,-,,,,-,22000000.0,
47,비 금 융 회 사,한화갤러리아,동일인측,자기주식,자기주식,,,-,,,,-,22000000.0,
48,비 금 융 회 사,한화갤러리아,동일인측,계열회사,계열회사,한화케미칼,22000000,100.00,,,22000000.0,100.00,22000000.0,1.0
49,비 금 융 회 사,한화갤러리아,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,,,-,22000000.0,
50,비 금 융 회 사,한화갤러리아,동일인측,동일인측 합계,동일인측 합계,,22000000,100.00,-,,22000000.0,100.00,22000000.0,1.0
51,비 금 융 회 사,한화갤러리아,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,,,-,22000000.0,
52,비 금 융 회 사,한화갤러리아,기타주주,기타,기타,,,-,,,,-,22000000.0,
53,비 금 융 회 사,한화갤러리아,총계,총계,총계,,22000000,100.00,-,,22000000.0,100.00,22000000.0,1.0
54,비 금 융 회 사,한화갤러리아타임월드,동일인측,동일인,동일인,,,-,,,,-,6000131.0,
55,비 금 융 회 사,한화갤러리아타임월드,동일인측,친족,배우자/혈족1촌,,,-,,,,-,6000131.0,
56,비 금 융 회 사,한화갤러리아타임월드,동일인측,친족,혈족2~4촌,,,-,,,,-,6000131.0,
57,비 금 융 회 사,한화갤러리아타임월드,동일인측,친족,혈족5~6촌,,,-,,,,-,6000131.0,
58,비 금 융 회 사,한화갤러리아타임월드,동일인측,친족,인척 4촌 이내,,,-,,,,-,6000131.0,
59,비 금 융 회 사,한화갤러리아타임월드,동일인측,친족,친족 합계,,-,-,-,,,-,6000131.0,
60,비 금 융 회 사,한화갤러리아타임월드,동일인측,비영리법인,비영리법인,,,-,,,,-,6000131.0,
61,비 금 융 회 사,한화갤러리아타임월드,동일인측,등기된 임원,등기된 임원,김은수,3000,0.05,,,3000.0,0.05,6000131.0,0.0004999890835716754
62,비 금 융 회 사,한화갤러리아타임월드,동일인측,등기된 임원,등기된 임원,이현진,1000,0.02,,,1000.0,0.02,6000131.0,0.00016666302785722513
63,비 금 융 회 사,한화갤러리아타임월드,동일인측,자기주식,자기주식,한화갤러리아타임월드,101900,1.70,,,101900.0,1.70,6000131.0,0.01698296253865124
64,비 금 융 회 사,한화갤러리아타임월드,동일인측,계열회사,계열회사,한화갤러리아,4167000,69.45,,,4167000.0,69.45,6000131.0,0.694484837081057
65,비 금 융 회 사,한화갤러리아타임월드,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,,,-,6000131.0,
66,비 금 융 회 사,한화갤러리아타임월드,동일인측,동일인측 합계,동일인측 합계,,4272900,71.21,-,,4272900.0,71.21,6000131.0,0.7121344517311372
67,비 금 융 회 사,한화갤러리아타임월드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,,,-,6000131.0,
68,비 금 융 회 사,한화갤러리아타임월드,기타주주,기타,기타,,1727231,28.79,,,1727231.0,28.79,6000131.0,0.2878655482688628
69,비 금 융 회 사,한화갤러리아타임월드,총계,총계,총계,,6000131,100.00,-,,6000131.0,100.00,6000131.0,1.0
70,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,동일인,동일인,,,-,,,,-,190203.0,
71,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,친족,배우자/혈족1촌,,,-,,,,-,190203.0,
72,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,친족,혈족2~4촌,,,-,,,,-,190203.0,
73,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,친족,혈족5~6촌,,,-,,,,-,190203.0,
74,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,친족,인척 4촌 이내,,,-,,,,-,190203.0,
75,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,친족,친족 합계,,-,-,-,,,-,190203.0,
76,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,비영리법인,비영리법인,,,-,,,,-,190203.0,
77,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,등기된 임원,등기된 임원,,,-,,,,-,190203.0,
78,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,자기주식,자기주식,,,-,,,,-,190203.0,
79,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,계열회사,계열회사,한화케미칼,190203,100.00,,,190203.0,100.00,190203.0,1.0
80,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,,,-,190203.0,
81,비 금 융 회 사,한화케미칼 오버시즈홀딩스,동일인측,동일인측 합계,동일인측 합계,,190203,100.00,-,,190203.0,100.00,190203.0,1.0
82,비 금 융 회 사,한화케미칼 오버시즈홀딩스,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,,,-,190203.0,
83,비 금 융 회 사,한화케미칼 오버시즈홀딩스,기타주주,기타,기타,,,-,,,,-,190203.0,
84,비 금 융 회 사,한화케미칼 오버시즈홀딩스,총계,총계,총계,,190203,100.00,-,,190203.0,100.00,190203.0,1.0
85,비 금 융 회 사,한화컴파운드,동일인측,동일인,동일인,,,-,,,,-,121358.0,
86,비 금 융 회 사,한화컴파운드,동일인측,친족,배우자/혈족1촌,,,-,,,,-,121358.0,
87,비 금 융 회 사,한화컴파운드,동일인측,친족,혈족2~4촌,,,-,,,,-,121358.0,
88,비 금 융 회 사,한화컴파운드,동일인측,친족,혈족5~6촌,,,-,,,,-,121358.0,
89,비 금 융 회 사,한화컴파운드,동일인측,친족,인척 4촌 이내,,,-,,,,-,121358.0,
90,비 금 융 회 사,한화컴파운드,동일인측,친족,친족 합계,,-,-,-,,,-,121358.0,
91,비 금 융 회 사,한화컴파운드,동일인측,비영리법인,비영리법인,,,-,,,,-,121358.0,
92,비 금 융 회 사,한화컴파운드,동일인측,등기된 임원,등기된 임원,,,-,,,,-,121358.0,
93,비 금 융 회 사,한화컴파운드,동일인측,자기주식,자기주식,,,-,,,,-,121358.0,
94,비 금 융 회 사,한화컴파운드,동일인측,계열회사,계열회사,한화케미칼,121358,100.00,,,121358.0,100.00,121358.0,1.0
95,비 금 융 회 사,한화컴파운드,동일인측,기타 동일인관련자,기타 동일인관련자,,,-,,,,-,121358.0,
96,비 금 융 회 사,한화컴파운드,동일인측,동일인측 합계,동일인측 합계,,121358,100.00,-,,121358.0,100.00,121358.0,1.0
97,비 금 융 회 사,한화컴파운드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,-,,,,-,121358.0,
98,비 금 융 회 사,한화컴파운드,기타주주,기타,기타,,,-,,,,-,121358.0,
99,비 금 융 회 사,한화컴파운드,총계,총계,총계,,121358,100.00,-,,121358.0,100.00,121358.0,1.0
