,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,한화건설,동일인측,동일인,동일인,-,-,-,-,-,,-,30137206.0,
1,비금융회사,한화건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,30137206.0,
2,비금융회사,한화건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,30137206.0,
3,비금융회사,한화건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,30137206.0,
4,비금융회사,한화건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,30137206.0,
5,비금융회사,한화건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,30137206.0,
6,비금융회사,한화건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,30137206.0,
7,비금융회사,한화건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,30137206.0,
8,비금융회사,한화건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,30137206.0,
9,비금융회사,한화건설,동일인측,친족,친족 합계,-,-,-,-,-,,-,30137206.0,
10,비금융회사,한화건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,30137206.0,
11,비금융회사,한화건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,30137206.0,
12,비금융회사,한화건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,30137206.0,
13,비금융회사,한화건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,30137206.0,
14,비금융회사,한화건설,동일인측,자기주식,자기주식,-,-,-,-,-,,-,30137206.0,
15,비금융회사,한화건설,동일인측,계열회사(국내+해외),계열회사(국내+해외),한화,28000000,100.00,701800,32.84,28701800.0,95.24,30137206.0,0.9523709663065647
16,비금융회사,한화건설,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,30137206.0,
17,비금융회사,한화건설,동일인측,⑨ 동일인측 합계,동일인측 합계,/,28000000,100.00,701800,32.84,28701800.0,95.24,30137206.0,0.9523709663065647
18,비금융회사,한화건설,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,30137206.0,
19,비금융회사,한화건설,기타주주,기타,기타,/,-,-,1435406,67.16,1435406.0,4.76,30137206.0,0.04762903369343528
20,비금융회사,한화건설,총 계,총 계,총 계,/,28000000,100%,2137206,100%,30137206.0,100%,30137206.0,1.0
