,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,현대백화점,동일인측,동일인,동일인,정지선,3998419,17.09,-,-,3998419.0,17.09,23402441.0,0.17085478390908027
1,비금융회사,현대백화점,동일인측,친족,배우자/혈족1촌,정몽근,616644,2.63,-,-,616644.0,2.63,23402441.0,0.02634955900540461
2,비금융회사,현대백화점,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,23402441.0,
3,비금융회사,현대백화점,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,23402441.0,
4,비금융회사,현대백화점,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,23402441.0,
5,비금융회사,현대백화점,동일인측,친족,친족 합계,-,616644,2.63,-,-,616644.0,2.63,23402441.0,0.02634955900540461
6,비금융회사,현대백화점,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,23402441.0,
7,비금융회사,현대백화점,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,23402441.0,
8,비금융회사,현대백화점,동일인측,자기주식,자기주식,현대백화점,1115255,4.77,-,-,1115255.0,4.77,23402441.0,0.04765549884304804
9,비금융회사,현대백화점,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대그린푸드,2819226,12.05,-,-,2819226.0,12.05,23402441.0,0.12046717690688762
10,비금융회사,현대백화점,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대A&I,1008900,4.31,-,-,1008900.0,4.31,23402441.0,0.04311088744973227
11,비금융회사,현대백화점,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,23402441.0,
12,비금융회사,현대백화점,동일인측,동일인측 합계,동일인측 합계,-,9558444,40.84,-,-,9558444.0,40.84,23402441.0,0.4084379061141528
13,비금융회사,현대백화점,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,23402441.0,
14,비금융회사,현대백화점,기타주주,기타,기타,-,13843997,59.16,-,-,13843997.0,59.16,23402441.0,0.5915620938858472
15,비금융회사,현대백화점,총 계,총 계,총 계,-,23402441,100%,-,-,23402441.0,100%,23402441.0,1.0
16,비금융회사,한무쇼핑,동일인측,동일인,동일인,-,-,-,-,-,,-,6090962.0,
17,비금융회사,한무쇼핑,동일인측,친족,배우자/혈족1촌,정몽근,632000,10.38,-,-,632000.0,10.38,6090962.0,0.10376029270909916
18,비금융회사,한무쇼핑,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,6090962.0,
19,비금융회사,한무쇼핑,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,6090962.0,
20,비금융회사,한무쇼핑,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,6090962.0,
21,비금융회사,한무쇼핑,동일인측,친족,친족 합계,-,632000,10.38,-,-,632000.0,10.38,6090962.0,0.10376029270909916
22,비금융회사,한무쇼핑,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,6090962.0,
23,비금융회사,한무쇼핑,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,6090962.0,
24,비금융회사,한무쇼핑,동일인측,자기주식,자기주식,-,-,-,-,-,,-,6090962.0,
25,비금융회사,한무쇼핑,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대백화점,2822250,46.34,-,-,2822250.0,46.34,6090962.0,0.4633504526871125
26,비금융회사,한무쇼핑,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대쇼핑,520000,8.54,-,-,520000.0,8.54,6090962.0,0.08537239273533474
27,비금융회사,한무쇼핑,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대그린푸드,22000,0.36,-,-,22000.0,0.36,6090962.0,0.0036119089234180083
28,비금융회사,한무쇼핑,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,6090962.0,
29,비금융회사,한무쇼핑,동일인측,동일인측 합계,동일인측 합계,-,3996250,65.61,-,-,3996250.0,65.61,6090962.0,0.6560950470549644
30,비금융회사,한무쇼핑,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,6090962.0,
31,비금융회사,한무쇼핑,기타주주,기타,기타,-,2094712,34.39,-,-,2094712.0,34.39,6090962.0,0.3439049529450356
32,비금융회사,한무쇼핑,총 계,총 계,총 계,-,6090962,100%,-,-,6090962.0,100%,6090962.0,1.0
33,비금융회사,현대쇼핑,동일인측,동일인,동일인,-,-,-,-,-,,-,7602965.0,
34,비금융회사,현대쇼핑,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,7602965.0,
35,비금융회사,현대쇼핑,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,7602965.0,
36,비금융회사,현대쇼핑,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,7602965.0,
37,비금융회사,현대쇼핑,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,7602965.0,
38,비금융회사,현대쇼핑,동일인측,친족,친족 합계,-,-,-,-,-,,-,7602965.0,
39,비금융회사,현대쇼핑,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,7602965.0,
40,비금융회사,현대쇼핑,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,7602965.0,
41,비금융회사,현대쇼핑,동일인측,자기주식,자기주식,-,-,-,-,-,,-,7602965.0,
42,비금융회사,현대쇼핑,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대백화점,7602965,100%,-,-,7602965.0,100%,7602965.0,1.0
43,비금융회사,현대쇼핑,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,7602965.0,
44,비금융회사,현대쇼핑,동일인측,동일인측 합계,동일인측 합계,-,7602965,100%,-,-,7602965.0,100%,7602965.0,1.0
45,비금융회사,현대쇼핑,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,7602965.0,
46,비금융회사,현대쇼핑,기타주주,기타,기타,-,-,-,-,-,,-,7602965.0,
47,비금융회사,현대쇼핑,총 계,총 계,총 계,-,7602965,100%,-,-,7602965.0,100%,7602965.0,1.0
48,비금융회사,현대백화점면세점,동일인측,동일인,동일인,-,-,-,-,-,,-,10800000.0,
49,비금융회사,현대백화점면세점,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,10800000.0,
50,비금융회사,현대백화점면세점,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,10800000.0,
51,비금융회사,현대백화점면세점,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10800000.0,
52,비금융회사,현대백화점면세점,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10800000.0,
53,비금융회사,현대백화점면세점,동일인측,친족,친족 합계,-,-,-,-,-,,-,10800000.0,
54,비금융회사,현대백화점면세점,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,10800000.0,
55,비금융회사,현대백화점면세점,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10800000.0,
56,비금융회사,현대백화점면세점,동일인측,자기주식,자기주식,-,-,-,-,-,,-,10800000.0,
57,비금융회사,현대백화점면세점,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대백화점,10800000,100.00,-,-,10800000.0,100.00,10800000.0,1.0
58,비금융회사,현대백화점면세점,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10800000.0,
59,비금융회사,현대백화점면세점,동일인측,동일인측 합계,동일인측 합계,-,10800000,100.00,-,-,10800000.0,100.00,10800000.0,1.0
60,비금융회사,현대백화점면세점,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,10800000.0,
61,비금융회사,현대백화점면세점,기타주주,기타,기타,-,-,-,-,-,,-,10800000.0,
62,비금융회사,현대백화점면세점,총 계,총 계,총 계,-,10800000,100.00,-,-,10800000.0,100.00,10800000.0,1.0
63,비금융회사,현대그린푸드,동일인측,동일인,동일인,정지선,12380270,12.67,-,-,12380270.0,12.67,97704482.0,0.12671138259552925
64,비금융회사,현대그린푸드,동일인측,친족,배우자/혈족1촌,정몽근,1927527,1.97,-,-,1927527.0,1.97,97704482.0,0.019728132840415653
65,비금융회사,현대그린푸드,동일인측,친족,혈족2~4촌,정교선,23250300,23.80,-,-,23250300.0,23.80,97704482.0,0.23796554184689295
66,비금융회사,현대그린푸드,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,97704482.0,
67,비금융회사,현대그린푸드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,97704482.0,
68,비금융회사,현대그린푸드,동일인측,친족,친족 합계,-,25177827,25.77,-,-,25177827.0,25.77,97704482.0,0.25769367468730864
69,비금융회사,현대그린푸드,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,97704482.0,
70,비금융회사,현대그린푸드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,97704482.0,
71,비금융회사,현대그린푸드,동일인측,자기주식,자기주식,현대그린푸드,9881689,10.11,-,-,9881689.0,10.11,97704482.0,0.10113854347029853
72,비금융회사,현대그린푸드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,97704482.0,
73,비금융회사,현대그린푸드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,97704482.0,
74,비금융회사,현대그린푸드,동일인측,동일인측 합계,동일인측 합계,-,47439786,48.55,-,-,47439786.0,48.55,97704482.0,0.4855436007531364
75,비금융회사,현대그린푸드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,97704482.0,
76,비금융회사,현대그린푸드,기타주주,기타,기타,-,50264696,51.45,-,-,50264696.0,51.45,97704482.0,0.5144563992468636
77,비금융회사,현대그린푸드,총 계,총 계,총 계,-,97704482,100%,-,-,97704482.0,100%,97704482.0,1.0
78,비금융회사,현대캐터링시스템,동일인측,동일인,동일인,-,-,-,-,-,,-,127180.0,
79,비금융회사,현대캐터링시스템,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,127180.0,
80,비금융회사,현대캐터링시스템,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,127180.0,
81,비금융회사,현대캐터링시스템,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,127180.0,
82,비금융회사,현대캐터링시스템,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,127180.0,
83,비금융회사,현대캐터링시스템,동일인측,친족,친족 합계,-,-,-,-,-,,-,127180.0,
84,비금융회사,현대캐터링시스템,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,127180.0,
85,비금융회사,현대캐터링시스템,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,127180.0,
86,비금융회사,현대캐터링시스템,동일인측,자기주식,자기주식,-,-,-,-,-,,-,127180.0,
87,비금융회사,현대캐터링시스템,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),현대그린푸드,102000,80.20,-,-,102000.0,80.20,127180.0,0.802012895109294
88,비금융회사,현대캐터링시스템,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,127180.0,
89,비금융회사,현대캐터링시스템,동일인측,동일인측 합계,동일인측 합계,-,102000,80.20,-,-,102000.0,80.20,127180.0,0.802012895109294
90,비금융회사,현대캐터링시스템,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,127180.0,
91,비금융회사,현대캐터링시스템,기타주주,기타,기타,-,25180,19.80,-,-,25180.0,19.80,127180.0,0.1979871048907061
92,비금융회사,현대캐터링시스템,총 계,총 계,총 계,-,127180,100.00,-,-,127180.0,100.00,127180.0,1.0
93,비금융회사,씨엔에스푸드시스템,동일인측,동일인,동일인,-,-,-,-,-,,-,1480000.0,
94,비금융회사,씨엔에스푸드시스템,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,1480000.0,
95,비금융회사,씨엔에스푸드시스템,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1480000.0,
96,비금융회사,씨엔에스푸드시스템,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1480000.0,
