firmname,own,own2
마포애경타운,1.0,1.0
모두락,1.0,1.0
모두락애경산업,1.0,1.0
비컨로지스틱스,1.0,1.0
수원애경역사,1.0,1.0
애경개발,1.0,1.0
애경산업,0.9928248592811757,1.0017039042314946
애경에스티,1.0,1.0
애경유화,0.9849921972534332,1.0
애경피앤티,1.0,1.0
애경화학,1.0,1.0
애드미션,0.9625,1.0
에이엘오,1.0,1.0
에이엠플러스자산개발,1.0,1.0
에이엠플러스피에프브이강남,1.0,1.0
에이엠플러스피에프브이기흥,1.0,1.0
에이엠플러스피에프브이산곡,1.0,1.0
에이엠플러스피에프브이위례,1.0,1.0
에이엠플러스피에프브이정자,1.0,1.0
에이제이피,1.0,1.0
에이케이네트워크,1.0,1.0
에이케이레저,1.0,1.0
에이케이아이에스,1.0,1.0
에이케이앤엠엔바이오팜,0.9992273739212209,1.0
에이케이에셋,1.0,1.0
에이케이에스앤디,0.9999518122455169,0.9999518122455169
에이케이켐텍,1.0,1.0
에이케이홀딩스,0.9842215484042685,0.9999999999999999
에이텍,0.5,1.0
우영운수,1.0,1.0
인셋,1.0,1.0
제이에이에스,1.0,1.0
제주항공,0.9955847376980129,1.0
코스파,1.0,1.0
퍼시픽제3호전문사모부동산투자유한회사,1.0,1.0
평택역사,1.0,1.0
