firmname,own,own2
(유)가승개발,1.0,1.0
경기평택글로벌,1.0,1.0
경원건설,1.0,1.0
구미그린에너지,1.0,1.0
구미맑은물,1.0,1.0
동해국제자원터미널,1.0,1.0
동해그린에너지,1.0,1.0
보령엘엔지터미널,1.0,1.0
보헌개발,1.0,1.0
부산동서고속화도로,1.0,1.0
비에스엠,1.0,1.0
살데비다코리아,1.0,1.0
삼양인터내셔날,1.0,1.0
삼양통상,0.9498083333333334,1.0
삼정건업,1.0,1.0
삼척그린에너지파크,1.0,1.0
상지해운,1.0,1.0
센트럴모터스,1.0,1.0
승산,1.0,1.0
씨브이에스넷,1.0,1.0
에피스,1.0,1.0
영덕제1풍력발전,1.0,1.0
영양제2풍력발전,1.0,1.0
옥산오창고속도로,1.0,1.0
옥산유통,1.0,1.0
위너셋,1.0,1.0
은평새길,1.0,1.0
이노폴리텍,1.0,1.0
인천종합에너지,1.0,1.0
자이에너지운영,1.0,1.0
자이에스앤디,1.0,1.0
자이에스텍,1.0,1.0
지베스코,1.0,1.0
지씨에스,1.0,1.0
지앤엠에스테이트,1.0,1.0
지에스,0.9837660962166459,0.9999999999999999
지에스건설,0.9765984595532732,1.0
지에스글로벌,0.9975967169024303,1.0
지에스네오텍,1.0,1.0
지에스네트웍스,1.0,1.0
지에스넷비전,1.0,1.0
지에스동해전력,1.0,1.0
지에스리테일,0.9997402597402597,1.0
지에스바이오,1.0,1.0
지에스스포츠,1.0,1.0
지에스에너지,1.0,1.0
지에스에코메탈,1.0,1.0
지에스엔텍,1.0,1.0
지에스엠비즈,1.0,1.0
지에스이앤알,1.0,1.0
지에스이피에스,1.0,1.0
지에스칼텍스,1.0,1.0
지에스텔레서비스,1.0,1.0
지에스파워,1.0,1.0
지에스파크이십사,1.0,1.0
지에스포천그린에너지,1.0,1.0
지에스풍력발전,1.0,1.0
지에스홈쇼핑,0.9084571428571429,1.0
지피씨,1.0,1.0
켐텍인터내셔날,1.0,1.0
텐바이텐,0.9499851968814763,1.0
파르나스호텔,1.0,1.0
포항영일만해양케이블카,1.0,1.0
프로케어,1.0,1.0
피앤에쓰,1.0,1.0
피엘에스,1.0,1.0
해프닝피플,0.8888888888888888,1.0
향산2도시개발,1.0,1.0
후레쉬서브,1.0,1.0
