firmname,own,own2
곤지암예원,0.9,1.0
그린누리,1.0,1.0
나눔누리,1.0,1.0
당진탱크터미널,1.0,1.0
더페이스샵,1.0,1.0
데이콤크로싱,1.0,1.0
드림누리,1.0,1.0
로보메디,1.0,1.0
로보스타,0.9702008205128205,1.0
루치펠로코리아,0.76,1.0
미디어로그,0.9978926226783292,1.0
미래엠,1.0,1.0
미젠스토리,1.0,1.0
밝은누리,1.0,1.0
비즈테크파트너스,1.0,1.0
살데비다코리아,1.0,1.0
세종그린파워,1.0,1.0
실리콘웍스,0.9998785069139158,1.0
씨앤피코스메틱스,1.0,1.0
씨에스리더,1.0,1.0
씨에스원파트너,1.0,1.0
씨텍,1.0,1.0
아인텔레서비스,1.0,1.0
에스앤아이씨엠,1.0,1.0
에스앤아이코퍼레이션,1.0,1.0
에이스냉동공조,1.0,1.0
에이치에스애드,1.0,1.0
에프엠지,0.7718631178707225,1.0
엘베스트,1.0,1.0
엘지,0.975121117763229,1.0
엘지경영개발원,1.0,1.0
엘지디스플레이,0.9998455741321579,1.0
엘지상사,0.9834432404540764,1.0
엘지생활건강,0.9451041980497231,1.0
엘지스포츠,1.0,1.0
엘지씨엔에스,0.9999303304539531,1.0
엘지엠엠에이,1.0,1.0
엘지유플러스,0.9998813338253927,1.0
엘지이노텍,0.9997938066532593,1.0
엘지전자,0.9955666309428891,1.0
엘지토스템비엠,1.0,1.0
엘지파루크,1.0,1.0
엘지하우시스,0.9975592,1.0
엘지헬로비전,1.0,1.0
엘지화학,0.9783490386695043,1.0
우지막코리아,1.0,1.0
울릉샘물,1.0,1.0
위드유,1.0,1.0
유플러스홈서비스,1.0,1.0
이노위드,1.0,1.0
지케이더블유라이팅시스템즈코리아,1.0,1.0
지투알,0.9781666523715327,1.0
캐이엔아이,1.0,1.0
코카콜라음료,1.0,1.0
크린소울(유),1.0,1.0
태극제약,0.9464374071288791,1.0
판토스,1.0,1.0
판토스부산신항물류센터,1.0,1.0
팜한농,1.0,1.0
하나방송,1.0,1.0
하누리,1.0,1.0
하이엠솔루텍,1.0,1.0
하이텔레서비스,1.0,1.0
하이프라자,1.0,1.0
한국음료,1.0,1.0
한울타리,1.0,1.0
해태에이치티비,1.0,1.0
행복누리,1.0,1.0
행복마루,1.0,1.0
헬리스타항공,1.0,1.0
