firmname,own,own2
E1,0.8348616618075801,1.0
E1물류,1.0,1.0
E1컨테이너터미널,1.0,1.0
JS전선,0.9999274957288394,1.0
KJ모터라드,1.0,1.0
LS,0.8417366770186335,1.0
LS네트웍스,0.9324778128937062,1.0
LS니꼬동제련,1.0,1.0
LS메카피온,1.0,1.0
LS메탈,1.0,1.0
LS빌드윈,1.0,1.0
LS사우타,1.0,1.0
LS아이앤디,0.9984027365255945,1.0
LS알스코,1.0,1.0
LS에이홀딩스,1.0,1.0
LS엠트론,1.0,1.0
LS오토모티브테크놀로지스,1.0,1.0
LS이브이코리아,1.0,1.0
LS전선,0.9971073679133301,1.0
LS전선아시아,0.9925684604337539,1.0
가온전선,0.9448848858039967,1.0
넥스포쏠라,1.0,1.0
넥스포에너지,1.0,1.0
농가온,1.0,1.0
대한가스기기,1.0,1.0
모보,1.0,1.0
바이클로,1.0,1.0
베스트토요타,1.0,1.0
빌드윈문경태양광발전,1.0,1.0
빌드윈인동태양광발전,1.0,1.0
선우,1.0,1.0
세종전선,1.0,1.0
스포츠모터사이클코리아,1.0,1.0
신대성전기,1.0,1.0
씨에스마린,1.0,1.0
엘에스글로벌인코퍼레이티드,1.0,1.0
엘에스일렉트릭,0.9774873333333334,1.0
엠비케이코퍼레이션,1.0,1.0
예스코,1.0,1.0
예스코이에스,0.9956810631229236,1.0
예스코컨설팅,1.0,1.0
예스코홀딩스,0.6877981666666666,1.0
온산탱크터미널,0.9040000672110764,1.0
이지전선,1.0,1.0
지알엠,1.0,1.0
지앤피,1.0,1.0
지엘마린,1.0,1.0
캐스코,1.0,1.0
토리컴,1.0,1.0
팜모아,1.0,1.0
한성,0.65,1.0
한성플랜지,1.0,1.0
한성피씨건설,1.0,1.0
흥업,1.0,1.0
