firmname,own,own2
강원도시가스,1.0,1.0
금호미쓰이화학,1.0,1.0
나노엔텍,0.9889703603155086,1.0
나래에너지서비스,1.0,1.0
내트럭,1.0,1.0
당진에코파워,1.0,1.0
대한송유관공사,1.0,1.0
드림어스컴퍼니 (舊 아이리버）,0.9996273833069764,1.0
디디아이에스씨1338 위탁관리부동산투자회사,1.0,1.0
디디아이에스씨1339위탁관리부동산투자회사,1.0,1.0
디디아이에스씨57 위탁관리부동산투자회사,1.0,1.0
디디아이에스에스280 위탁관리부동산투자회사,1.0,1.0
디앤디인베스트먼트,1.0,1.0
라이프앤시큐리티홀딩스,1.0,1.0
목감휴게소서비스,1.0,1.0
미쓰이케미칼앤드 에스케이씨폴리우레탄,1.0,1.0
보령엘엔지터미널,1.0,1.0
부산도시가스,0.9091818181818182,1.0
비앤엠개발,1.0,1.0
서비스에이스,1.0,1.0
서비스탑,1.0,1.0
십일번가,0.9999987313389722,1.0
아이디퀀티크（유）,1.0,1.0
에스엠코어,0.999500597635633,1.0
에스케이,0.7924180367623737,1.0
에스케이가스,0.9661581260806837,1.0
에스케이건설,0.9600059123638229,1.0
에스케이네트웍스,0.9657484831079919,1.0
에스케이네트웍스서비스,1.0,1.0
에스케이디스커버리,0.9933660059098925,0.9999999999999999
에스케이디앤디,0.9993063777648261,1.0
에스케이렌터카서비스,1.0,1.0
에스케이루브리컨츠,1.0,1.0
에스케이매직,1.0,1.0
에스케이매직서비스,1.0,1.0
에스케이머티리얼즈,0.8994090924130849,1.0
에스케이모바일에너지,1.0,1.0
에스케이바이오랜드,0.9550484666666667,1.0
에스케이바이오사이언스,1.0,1.0
에스케이바이오텍,1.0,1.0
에스케이바이오팜,1.0,1.0
에스케이브로드밴드,1.0,1.0
에스케이쇼와덴코,1.0,1.0
에스케이스토아,1.0,1.0
에스케이신텍,1.0,1.0
에스케이실트론,1.0,1.0
에스케이씨,0.9413815616037009,1.0
에스케이씨솔믹스,0.9990699911731283,1.0
에스케이씨에코솔루션즈 （舊 에스케이더블유）,1.0,1.0
에스케이씨인프라서비스,1.0,1.0
에스케이씨하이테크앤마케팅,1.0,1.0
에스케이아이이테크놀로지,1.0,1.0
에스케이어드밴스드,1.0,1.0
에스케이에너지,1.0,1.0
에스케이에어가스,1.0,1.0
에스케이엠앤서비스,1.0,1.0
에스케이오앤에스,1.0,1.0
에스케이와이번스,1.0,1.0
에스케이이노베이션,0.9412848284445043,1.0
에스케이이엔에스,1.0,1.0
에스케이인천석유화학,1.0,1.0
에스케이인포섹,1.0,1.0
에스케이임업,1.0,1.0
에스케이종합화학,1.0,1.0
에스케이커뮤니케이션즈,1.0,1.0
에스케이케미칼,0.9889637797903781,1.0
에스케이텔레시스,0.8589249001581902,1.0
에스케이텔레콤,0.8900618510870504,1.000001238455873
에스케이텔링크,1.0,1.0
에스케이트레이딩인터내셔널,1.0,1.0
에스케이트리켐,1.0,1.0
에스케이티엔에스,1.0,1.0
에스케이플라즈마,1.0,1.0
에스케이플래닛,0.9865889039498644,1.0
에스케이핀크스,1.0,1.0
에스케이하이닉스,0.9395582980008588,1.0
에스케이하이닉스 시스템아이씨,1.0,1.0
에스케이하이스텍,1.0,1.0
에스케이하이이엔지,1.0,1.0
에이디티시큐리티,1.0,1.0
에이디티캡스,1.0,1.0
에이앤티에스,0.5,1.0
에이제이렌터카,0.9959313293868501,1.0
에프앤유신용정보,1.0,1.0
에프에스케이엘앤에스,1.0,1.0
엔티스,1.0,1.0
여주에너지서비스,1.0,1.0
영남에너지서비스,1.0,1.0
울산아로마틱스,1.0,1.0
원스토어,1.0,1.0
위례에너지서비스,1.0,1.0
유베이스매뉴팩처링아시아,1.0,1.0
유빈스,1.0,1.0
유빈스홀딩스,1.0,1.0
이니츠,1.0,1.0
전남도시가스,1.0,1.0
전북에너지서비스,1.0,1.0
제이에스아이,1.0,1.0
제주유나이티드에프씨,1.0,1.0
충청에너지서비스,1.0,1.0
캡스텍,1.0,1.0
코원에너지서비스,1.0,1.0
파주에너지서비스,1.0,1.0
피아이유엔,1.0,1.0
피에스앤마케팅,1.0,1.0
한국넥슬렌（유）,1.0,1.0
행복나래,1.0,1.0
행복디딤,1.0,1.0
행복모아,1.0,1.0
행복키움,1.0,1.0
홈앤서비스,1.0,1.0
