firmname,own,own2
금호고속,0.8243204395183186,1.0
금호고속관광 [경기],1.0,1.0
금호고속관광 [서울],1.0,1.0
금호고속관광 [전남],1.0,1.0
금호리조트,0.9999999999999999,0.9999999999999999
금호산업,0.9699658155905064,1.0
금호속리산고속,1.0,1.0
금호티앤아이,0.9999999999999999,0.9999999999999999
아시아나개발,1.0,1.0
아시아나세이버,1.0,1.0
아시아나아이디티,1.0,1.0
아시아나에어포트,1.0,1.0
아시아나항공,0.9998792305664713,1.0
에스티엠,1.0,1.0
에어부산,0.9979258690224697,1.0
에어서울,1.0,1.0
에이에이치,1.0,1.0
에이오,1.0,1.0
에이큐,1.0,1.0
충주보라매,1.0,1.0
케이브이아이,1.0,1.0
케이아이,0.0,1.0
케이알,0.0,1.0
케이에이,0.0,1.0
케이에프,0.0,1.0
케이오,0.0,1.0
케이지,0.0,1.0
