firmname,own,own2
 두산에이치에프컨트롤스아시아,1.0,1.0
네오트랜스,1.0,1.0
네오플럭스,0.9968252829408607,1.0
네오플럭스제1호사모투자전문회사,1.0,1.0
네오플럭스제3호사모투자합자회사,1.0,1.0
두산,0.7551607771249427,1.0
두산건설,0.9904284752469439,0.9999999999999999
두산로보틱스,1.0,1.0
두산메카텍,1.0,1.0
두산모빌리티이노베이션,1.0,1.0
두산밥캣,0.999884288314179,1.0
두산밥캣코리아,1.0,1.0
두산베어스,1.0,1.0
두산인프라코어,0.9998893694345528,1.0
두산중공업,0.9997731506815187,1.0
두산큐벡스,0.9999999999999999,0.9999999999999999
디비씨,1.0,1.0
디엘아이,1.0,1.0
밸류웍스,1.0,1.0
오리콤,0.9451840417436679,1.0
오성파워 오엔엠,1.0,1.0
케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,1.0,1.0
한컴,1.0,1.0
