firmname,own,own2
거제피에프브이,1.0,1.0
그린카,1.0,1.0
내포그린에너지,1.0,1.0
대홍기획,0.9495818399044206,1.0
데크항공,1.0,1.0
롯데건설,1.0,1.0
롯데글로벌로지스,0.9998453997651,1.0
롯데김해개발,1.0,1.0
롯데네슬레코리아,1.0,1.0
롯데디에프리테일,1.0,1.0
롯데디엠씨개발,1.0,1.0
롯데렌탈,1.0,1.0
롯데멤버스,0.9999983754643126,1.0
롯데면세점제주,1.0,1.0
롯데물산,1.0,1.0
롯데미래전략연구소,1.0,1.0
롯데미쓰이화학,1.0,1.0
롯데베르살리스엘라스토머스,1.0,1.0
롯데상사,0.9158718323633933,1.0
롯데송도쇼핑타운,1.0,1.0
롯데쇼핑,0.9976551460111978,1.0
롯데쇼핑타운대구,1.0,1.0
롯데수원역쇼핑타운,1.0,1.0
롯데아사히주류,1.0,1.0
롯데알미늄,1.0,1.0
롯데액셀러레이터,1.0,1.0
롯데에이엠씨,1.0,1.0
롯데엠시시,1.0,1.0
롯데역사,0.9466666666666667,1.0
롯데오토리스,1.0,1.0
롯데오토케어,1.0,1.0
롯데울산개발,1.0,1.0
롯데위탁관리부동산투자회사,1.0,1.0
롯데인천개발,1.0,1.0
롯데인천타운,1.0,1.0
롯데자산개발,1.0,1.0
롯데자이언츠,1.0,1.0
롯데정밀화학,0.98720503875969,1.0
롯데정보통신,0.9819383592103859,1.0
롯데제과,0.9421737003517532,1.0
롯데제이티비,1.0,1.0
롯데지알에스,0.9999881024616006,1.0
롯데지에스화학,1.0,1.0
롯데지에프알,1.0,1.0
롯데지주,0.6410270049555766,1.0
롯데칠성음료,0.873295114366097,1.0
롯데캐피탈,0.9952428878169636,0.9999999999999999
롯데컬처웍스,1.0,1.0
롯데케미칼,0.9996568094470266,1.0
롯데코스코쉬핑로지스,1.0,1.0
롯데타운동탄,1.0,1.0
롯데푸드,0.7626070131728909,1.0
롯데하이마트,0.998716521109712,1.0
마곡지구피에프브이,1.0,1.0
모비쟆미디어,1.0,1.0
백학음료,1.0,1.0
부산롯데호텔,0.9999590180730299,1.0
산청음료,1.0,1.0
삼박엘에프티,0.9950807338387638,1.0
서울복합물류자산관리,1.0,1.0
서울복합물류프로젝트금융투자,1.0,1.0
스마일위드,1.0,1.0
스위트위드,1.0,1.0
씨에스유통,1.0,1.0
씨에이치음료,1.0,1.0
씨텍,1.0,1.0
에스디제이,1.0,1.0
에스앤에스인터내셔날,1.0,1.0
에프알엘코리아,1.0,1.0
엔젤위드,1.0,1.0
엠제이에이와인,1.0,1.0
엠허브,1.0,1.0
우리홈쇼핑,1.0,1.0
은평피에프브이,1.0,1.0
이지고,1.0,1.0
제이지산업,1.0,1.0
충북소주,1.0,1.0
캐논코리아비즈니스솔루션,1.0,1.0
케이피켐텍,1.0,1.0
코리아세븐,0.9540041723451639,0.9999999999999999
푸드위드,1.0,1.0
한국에스티엘,0.9999995833335069,1.0
한국후지필름,0.9997613820750215,1.0
한덕화학,1.0,1.0
호텔롯데,0.9983038153192901,1.0
