firmname,own,own2
동아스틸,1.0,1.0
디지투스,1.0,1.0
세아네트웍스,1.0,1.0
세아메탈,1.0,1.0
세아베스틸,0.9857322987523409,1.0
세아스틸인터내셔날,1.0,1.0
세아씨엠,1.0,1.0
세아알앤아이,1.0,1.0
세아에삽,1.0,1.0
세아에프에스,1.0,1.0
세아엔지니어링,1.0,1.0
세아엘앤에스,1.0,1.0
세아엠앤에스,1.0,1.0
세아제강,0.9499548707823573,1.0
세아제강지주,0.9373475398856062,0.9999999999999999
세아창원특수강,1.0,1.0
세아특수강,0.9796828471411902,1.0
세아항공방산소재,1.0,1.0
세아홀딩스,0.9489875,1.0
씨티씨,1.0,1.0
에스에스아이케이,1.0,1.0
에이치피피,1.0,1.0
에이팩인베스터스,1.0,1.0
우진정공,1.0,1.0
윈트러스트,1.0,1.0
이사야에이치피피,1.0,1.0
이앤비원,1.0,1.0
피앤아이,1.0,1.0
한국쿨러,1.0,1.0
