firmname,own,own2
 씨에스베스트,0.0,1.0
(유) 아이엠엠,0.5615110182654286,1.0
강동냉장,1.0,1.0
구엘(유),1.0,1.0
그린에너지,1.0,1.0
깜포,1.0,1.0
나진산업,1.0,1.0
나진코퍼레이션,0.376475,1.0
농업회사법인 수직,0.9,1.0
농업회사법인 팜에이트,0.9337633678492616,1.0
다나에너지솔루션,1.0,1.0
더랜드필,1.0,1.0
라로슈(유),1.0,1.0
라루미에,1.0,1.0
레트로원(유),1.0,1.0
롱샹(유),1.0,1.0
루오마(유),1.0,1.0
메티스원(유),1.0,1.0
미래원엘름,1.0,1.0
미래원티팜,1.0,1.0
바이슨(유),1.0,1.0
발레겐(유),1.0,1.0
베수비오(유),1.0,1.0
벨리즈원(유),1.0,1.0
벨리즈투(유),1.0,1.0
볼라레(유),1.0,1.0
브루넬,1.0,1.0
비노텍,1.0,1.0
서울국제전화,1.0,1.0
세고라디칼,0.02,1.0
솔트라이트아이엔씨,0.5,1.0
스쿼드원(유),1.0,1.0
신대한정유산업,1.0,1.0
신화,1.0,1.0
씨앤비인터내셔날,0.45030000000000003,1.0
아이엔티금융컨설팅,0.0,1.0
아이엠엠글로벌 사모투자합자회사,1.0000000000000002,1.0000000000000002
아이엠엠스페셜시츄에이션1의1호사모투자합자회사,1.0,1.0
아이엠엠스페셜시츄에이션1호 사모투자합자회사,0.9763305121216469,1.0
아이엠엠인베스트먼트,0.9896879356568364,1.0
아이엠엠인베스트먼트4호 사모투자합자회사,1.0,1.0
아이엠엠인프라제4호사모투자전문회사,0.9999999999999999,0.9999999999999999
아이엠엠인프라제5의1호사모투자합자회사,0.9904761904761904,0.9999999999999999
아이엠엠인프라제5호 사모투자전문회사,1.0,1.0
아이엠엠인프라제7호사모투자합자회사,1.0,1.0
아이엠엠인프라제8호사모투자합자회사,1.0,1.0
아이엠엠티이피(유),1.0,1.0
아폴로솔라5호,1.0,1.0
에끌레르(유),1.0,1.0
에끌레르투(유),1.0,1.0
에스메랄다,1.0,1.0
에스티에코,1.0,1.0
에코리아사모투자합자회사,0.9933431952662721,0.9999999999999999
에코매니지먼트코리아홀딩스,1.0,1.0
에트라 사모투자합자회사,1.0000000000000002,1.0000000000000002
에트라제2호 사모투자합자회사,1.0,1.0
에트라제3의1호 사모투자합자회사,1.0,1.0
에트루리(유),1.0,1.0
오하임아이엔티,0.9048800661703889,1.0
우그웨이(유),1.0,1.0
우그웨이투 (유),1.0,1.0
웨스트원(유),1.0,1.0
위게오(유),1.0,1.0
이미인,0.7447533183070373,1.0
이엠케이승경,1.0,1.0
이엠케이울산,1.0,1.0
이펫(유),1.0,1.0
제이콥헬스케어,0.090925,1.0
조반니(유),1.0,1.0
조반니투(유),1.0,1.0
카베자(유),1.0,1.0
카보드,1.0,1.0
케렌시아원(유),1.0,1.0
케이디환경,1.0,1.0
케이티씨유글로벌파트너쉽 사모투자합자회사,1.0,1.0
탑에코,1.0,1.0
팜양주,1.0,1.0
페트라6의1호 사모투자합자회사,1.0,1.0
페트라6의알파 사모투자합자회사,1.0,1.0
페트라6호 사모투자합자회사,1.0,1.0
페트라7의베타 사모투자합자회사,1.0,1.0
페트라7의알파 사모투자합자회사,0.9800796812749004,0.9820717131474104
페트라7호사모투자합자회사,1.0,1.0
하논사모투자합자회사,1.0,1.0
한국환경개발,1.0,1.0
