firmname,own,own2
굿앤파트너스,1.0,1.0
나눔로또,1.0,1.0
남부산업,1.0,1.0
농업회사법인 유진개발,0.9,1.0
당진기업,1.0,1.0
동양,0.8300701005173745,1.0
동양에너지,1.0,1.0
동화기업,1.0,1.0
비에이엠시스템(폐업),0.820952380952381,1.0
성인산업,1.0,1.0
씨아이에스,0.6304304898498891,1.0
에스비씨리니어,1.0,1.0
우진레미콘,1.0,1.0
유진기업,0.9180482954898588,1.0
유진로텍,1.0,1.0
유진스마트모빌리티사모투자합자회사,1.0,1.0
유진스타제이호사모투자합자회사,1.0,1.0
유진아이티서비스,1.0,1.0
유진에너팜,1.0,1.0
유진에버베스트턴어라운드기업재무안정사모투자전문회사,1.0,1.0
유진에스비홀딩스,1.0,1.0
유진에이엠씨(유),1.0,1.0
유진엠,1.0,1.0
유진엠플러스,1.0,1.0
유진자산운용,1.0,1.0
유진저축은행,1.0,1.0
유진제사호헤라클레스사모투자합자회사,1.0,1.0
유진투자선물,1.0,1.0
유진투자증권,0.9749719970031306,1.0
유진프라이빗에쿼티,1.0,1.0
유진홈데이,1.0,1.0
이순산업,1.0,1.0
이에이치씨,1.0,1.0
인프라이니셔티브제1호사모투자합자회사,1.0,1.0
지구레미콘,1.0,1.0
천안기업,1.0,1.0
케이비에프,0.9997860977590707,1.0
테크스퀘어,0.35974264705882353,1.0
한국로지스틱스,1.0,1.0
한국통운,1.0,1.0
한성레미콘,1.0,1.0
한일합섬,1.0,1.0
현대개발,1.0,1.0
호남아스콘,1.0,1.0
