firmname,own,own2
농업회사법인 맛누리,0.9,1.0
리드,1.0,1.0
리드온,1.0,1.0
애월국제문화복합단지,1.0,1.0
예지실업,0.7977987683957833,1.0
올리브스튜디오,0.9816851091470062,1.0
와인캐슬,1.0,1.0
와팝,1.0,1.0
이랜드건설,1.0,1.0
이랜드공덕,1.0,1.0
이랜드리테일,0.9907200720652699,1.0
이랜드서비스,1.0,1.0
이랜드스포츠,1.0,1.0
이랜드시스템스,1.0,1.0
이랜드월드,0.49012372076484245,1.0
이랜드위시디자인,1.0,1.0
이랜드인재원,1.0,1.0
이랜드제주리조트,1.0,1.0
이랜드중국패션디자인,1.0,1.0
이랜드크루즈,1.0,1.0
이랜드파크,0.9999373439661584,0.9999999999999999
이리츠코크렙기업구조조정부동산투자회사,0.9999691040278592,1.0
이앤씨월드,1.0,1.0
이에셋레저개발,1.0,1.0
이월드,0.9974911321397649,1.0
케이비와이즈스타제6호위탁관리부동산투자회사,1.0,1.0
투어몰,1.0,1.0
