firmname,own,own2
(자)중흥주택,1.0,1.0
나주관광개발,1.0,1.0
남도일보,1.0,1.0
다원개발,1.0,1.0
바이오타,1.0,1.0
부산글로벌빌리지,1.0,1.0
브레인시티프로젝트금융투자,1.0,1.0
새솔건설,1.0,1.0
세종건설산업,1.0,1.0
세종이엔지,1.0,1.0
세종중흥건설,1.0,1.0
세흥건설,0.9999999999999999,0.9999999999999999
세흥산업개발,1.0,1.0
순천에코밸리,1.0,1.0
신대웨딩홀,0.9,1.0
에스엠개발산업,1.0,1.0
영담,1.0,1.0
제이원산업개발,1.0,1.0
중봉건설,1.0,1.0
중봉산업개발,1.0,1.0
중흥개발,1.0,1.0
중흥건설,1.0,1.0
중흥건설산업,1.0,1.0
중흥산업개발,1.0,1.0
중흥에스클래스,1.0,1.0
중흥엔지니어링,1.0,1.0
중흥종합건설,1.0,1.0
중흥토건,1.0,1.0
중흥하나제1호위탁관리부동산투자회사,1.0,1.0
청원건설산업,1.0,1.0
최강병영,1.0,1.0
헤럴드,0.9558232911648082,1.0
헤럴드아트데이,1.0,1.0
헤럴드에듀,1.0,1.0
헤럴드팝,1.0,1.0
