firmname,own,own2
(유)매디슨카운티의다리,1.0,1.0
골프앤데이타시스템,0.5499954999549995,1.0
골프와친구,0.0,1.0
그라운드원,1.0,1.0
그레이고,1.0,1.0
네오바자르,0.9000956780842514,1.0
뉴런잉글리쉬,1.0,1.0
다온크리에이티브,0.7281457421268183,1.0
다음글로벌홀딩스,1.0,1.0
동고택시,1.0,1.0
디케이테크인,1.0,1.0
라이프엠엠오,1.0,1.0
레디엔터테인먼트,1.0,1.0
레프트라이트,0.40011997600479904,1.0
록앤올,1.0,1.0
링키지랩,1.0,1.0
메가몬스터,1.0,1.0
메종드바하,1.0,1.0
모빌,0.9249999999999999,0.9999999999999999
버즈피아,1.0,1.0
브이에이에스티,1.0,1.0
비미디어컴퍼니,1.0,1.0
비에이치엔터테인먼트,1.0,1.0
사나이픽처스,1.0,1.0
사운디스트엔터테인먼트,0.6999589871291481,1.0
삼양씨앤씨,1.0,1.0
손노리,0.7292613564228221,1.0
쇼노트,1.0,1.0
숲엔터테인먼트,1.0,1.0
슈퍼코믹스스튜디오,0.6799891201740772,1.0
스타쉽엔터테인먼트,0.2633147853736089,1.0
스테이지에셋,0.0,1.0
스테이지파이브,0.9167384074543838,1.0
씨엠엔피,1.0,1.0
아산카카오메디컬데이터,1.0,1.0
아씨오,0.559774464542496,0.9999999999999999
알에스미디어,0.8459713814826795,1.0
애드페이지,1.0,1.0
어썸이엔티,1.0,1.0
에이윈즈,0.8245150881824516,1.0
엑스엘게임즈,0.9151494764391253,1.0
엔글,0.802439024390244,1.0
엔플루토,0.546213217396008,1.0
엘케이엠에스리미티드,0.42342342342342343,1.0
엘케이엠에스리보험중개,0.4946236559139785,1.0
영화사월광,1.0,1.0
오닉스케이,1.0,1.0
유캠프,1.0,1.0
이담엔터테인먼트,0.7,1.0
이앤티스토리엔터테인먼트,0.6,1.0
인바이유,0.8324975736007765,1.0
제이와이드컴퍼니,1.0,1.0
진화,1.0,1.0
카카오,1.1328150492245272,1.1676827327391222
카카오게임즈,0.9351924056770758,0.9999999999999999
카카오모빌리티,1.0,1.0
카카오벤처스,1.0,1.0
카카오브레인,0.9867308595584782,1.0
카카오브이엑스,1.0,1.0
카카오아이엑스,1.0,1.0
카카오엔터프라이즈,1.0,1.0
카카오엠,0.9726960384669129,1.0
카카오인베스트먼트,1.0,1.0
카카오커머스,0.9983735465200786,1.0
카카오키즈,0.6085983206979161,1.0
카카오페이,1.0,1.0
카카오페이증권,1.0,1.0
카카오페이지,0.9824330804571997,1.0
케이벤처그룹,1.0,1.0
케이앤웍스,1.0,1.0
케이엠세븐,1.0,1.0
케이엠솔루션,1.0,1.0
케이엠식스,1.0,1.0
케이엠쓰리,1.0,1.0
케이엠원,1.0,1.0
케이엠투,1.0,1.0
케이엠파이브,1.0,1.0
케이엠포,1.0,1.0
케이큐브홀딩스,1.0,1.0
크래커엔터테인먼트,0.8,1.0
키위플러스,0.8977822137231001,1.0
키즈노트,1.0,1.0
툰노리,0.9352941176470588,1.0
티앤케이팩토리,1.0,1.0
티제이파트너스,1.0,1.0
티포인베스트,1.0,1.0
파킹스퀘어,1.0,1.0
파트너,1.0,1.0
포유키즈,1.0,1.0
프렌즈게임즈,1.0,1.0
플러스투퍼센트,0.0,1.0
플레이엠엔터테인먼트,1.0,1.0
플렉스엠,1.0,1.0
픽셀허브,0.8769669105743703,1.0
하시스,1.0,1.0
하이라인엔터테인먼트,0.77,1.0
한국카카오은행,1.0,1.0
