firmname,own,own2
(유)바넘문화산업전문회사,0.0,1.0
(유)스톤쉽문화산업전문회사,0.0,1.0
(유)팝뮤직문화산업전문회사,0.0,1.0
게티이미지코리아,1.0,1.0
글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,1.0,1.0
다우기술,0.9631705461546165,1.0
다우데이타,1.0,1.0
더트루메틱,1.0,1.0
동부고속,1.0,1.0
리노미디어,0.9158687527584806,1.0
리노시스템즈,0.14016666666666666,1.0
미래테크놀로지,0.8940809582034208,1.0
사람인에이치알,0.9427823418234353,0.9999974214161531
사람인에이치에스,1.0,1.0
스파드그레인,1.0,1.0
시네마게임음악문화산업전문회사(유),0.0,1.0
씨알디,1.0,1.0
아이디어랩스,0.0,1.0
알트탭,0.0,1.0
에스지서비스,1.0,1.0
엔비메디컬,1.0,1.0
예서,1.0,1.0
와이즈버즈,0.8429834999911194,1.0
은덕,1.0,1.0
이매진스,1.0,1.0
이머니,0.45180722891566266,1.0
인스엠앤알,1.0,1.0
인포인트기술,0.27,1.0
지비오,0.49267326732673267,1.0
지비오에프에스,0.475,1.0
지인21,0.95,1.0
코파칠레태양광(유),1.0,1.0
키다리스타,1.0,1.0
키다리스튜디오,0.9919785500111196,1.0
키다리이엔티,1.0,1.0
키움뉴마진글로벌파트너쉽사모투자합자회사,1.0,1.0
키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.9975062344139651,1.0
키움에셋플래너,1.0,1.0
키움예스저축은행,1.0,1.0
키움이앤에스,0.9727555807794174,1.0
키움인베스트먼트,0.9905355207911961,1.0
키움저축은행,1.0,1.0
키움증권,0.9997116124487174,1.0
키움캐피탈,1.0,1.0
키움케이아이피헬스케어플랫폼사모투자합자회사,0.9391304347826088,1.0
키움투자자산운용,1.0,1.0
키움프라이빗에쿼티,1.0,1.0
키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.8400000000000001,1.0
키움히어로제2호사모투자합자회사,1.0,1.0
포스코우리이아이지글로벌사모투자전문회사,0.9999999999999999,0.9999999999999999
한국전력우리스프랏글로벌사모투자전문회사,1.0,1.0
한국전력우리스프랏글로벌제1차(유),1.0,1.0
한국전력우리스프랏글로벌제2차(유),1.0,1.0
한국전력우리스프랏글로벌해외자원개발사모투자전문회사,1.0,1.0
한국전력우리스프랏글로벌해외자원개발제3차(유),1.0,1.0
한국정보인증,0.9998150810203754,1.0
