firmname,own,own2
경산에코에너지,1.0,1.0
군포복합개발피에프브이(주1),1.0,1.0
네오시티,1.0,1.0
대구남부에이엠씨,1.0,1.0
대동산업단지,1.0,1.0
동부권푸른물,0.9999999999999999,0.9999999999999999
디엠씨미디어,0.6263736263736264,1.0
리앤에스스포츠,0.7,1.0
문고리닷컴,0.802,1.0
부산바이오에너지,1.0005703422053231,1.0005703422053231
블렌딩,1.0,1.0
블루원,1.0,1.0
삼계개발,1.0,1.0
센트로,1.0,1.0
스마트미디어렙,1.0,1.0
스튜디오에스,1.0,1.0
신경주역세권공영개발,1.0,1.0
신경주지역개발,1.0,1.0
양산석계에이엠씨,1.0,1.0
양주동서도로,1.0,1.0
에스비에스,0.9691816752281951,1.0
에스비에스네오파트너스,1.0,1.0
에스비에스디지털뉴스랩,1.0,1.0
에스비에스미디어넷,0.9616603390033184,1.0
에스비에스미디어홀딩스,0.9201536653714444,1.0
에스비에스바이아컴(유),1.0,1.0
에스비에스아이앤엠,1.0,1.0
에스비에스아프리카티비,1.0,1.0
에스비에스에이앤티,1.0,1.0
에스비에스엠앤씨,1.0,1.0
에스비에스콘텐츠허브,0.9702824625277593,1.0
에스비에스플러스,1.0,1.0
에이엠피,1.0,1.0
에코시스템,1.0,1.0
에코시티,1.0,1.0
에코시티개발,1.0,1.0
엠시에타,1.0,1.0
엠시에타개발,1.0,1.0
여수엑스포환경,1.0,1.0
여천이피에스,1.0,1.0
유니시티,0.5846,0.5846
이너시티개발,1.0,1.0
인제스피디움,1.0,1.0
지에프앤엘,1.0,1.0
창원복합행정타운개발,1.0,1.0
천안풍세일반산업단지,1.0,1.0
태영건설,0.8241312919307962,1.0
태영그레인터미널,1.0,1.0
태영인더스트리,1.0,1.0
티에스케이그린에너지,1.0,1.0
티에스케이엔워터테크,1.0,1.0
티에스케이엠엔에스,1.0,1.0
티에스케이워터,1.0,1.0
티에스케이이앤피,1.0,1.0
티에스케이코퍼레이션,1.0,1.0
평택싸이로,1.0,1.0
포맷티스트,1.0,1.0
포천바이오에너지,1.0,1.0
휴비스워터,1.0,1.0
