firmname,own,own2
경남기업,0.9950519432526563,1.0
남선알미늄,0.9999797261179553,1.0
남선홀딩스,1.0,1.0
대림종합건설더블유,1.0,1.0
대한상선,1.0,1.0
대한해운,0.965437702840725,1.0
델라노체,1.0,1.0
동아건설산업,0.9128668941979522,0.9999999999999999
라도,1.0,1.0
바로코사,0.9966239654564146,1.0
바로코사유통사하,1.0,1.0
벡셀,1.0,1.0
삼라,0.8112859930406654,1.0
삼라농원,1.0,1.0
삼라마이다스,1.0,1.0
삼라산업개발,0.9199999999999999,1.0
삼환기업,0.9999999999999999,0.9999999999999999
서남바이오에너지,1.0,1.0
성우종합건설더블유,1.0,1.0
신촌역사,1.0,1.0
신촌역사개발,1.0,1.0
신화디앤디,1.0,1.0
에스씨파워텍,1.0,1.0
에스엠레저산업,1.0,1.0
에스엠상선,1.0,1.0
에스엠상선경인터미널,1.0,1.0
에스엠상선광양터미널,1.0,1.0
에스엠스틸,0.9435548178751195,1.0
에스엠신용정보,1.0,1.0
에스엠에이엠씨투자대부,1.0,1.0
에스엠인더스트리,0.9157420231393469,1.0
에스엠중공업,0.9978006404141826,1.0
에스엠하이플러스,1.0,1.0
우방,0.9934706786714782,1.0
우방토건,1.0,1.0
울산방송,1.0,1.0
이엔에이치,1.0,1.0
이코사주류,1.0,1.0
케이알티산업,1.0,1.0
케이엘씨에스엠,0.7721846371642869,1.0
케이엘홀딩스,1.0,1.0
코리코엔터프라이스,0.7107166666666667,1.0
탑스텐동강시스타,1.0,1.0
태길종합건설,1.0,1.0
태초이앤씨,1.0,1.0
티케이케미칼,0.9483912690267808,1.0
판교에스디쓰리,1.0,1.0
플러스매니지먼트,1.0,1.0
한국선박금융,1.0,1.0
한국인프라개발,1.0,1.0
한덕철광산업,1.0,1.0
한울코퍼레이션,0.7,1.0
한통엔지니어링,1.0,1.0
