firmname,own,own2
게일인터내셔널코리아(유),1.0,1.0
부산이앤이,1.0,1.0
삼척블루파워,1.0,1.0
송도개발피엠씨(유),1.0,1.0
순천에코트랜스,1.0,1.0
에스엔엔씨,1.0,1.0
에스피에이치,1.0,1.0
엔투비,0.98125,1.0
우이신설경전철,1.0,1.0
탄천이앤이,1.0,1.0
포스코,0.8909119364179237,1.0
포스코강판,0.9950646666666667,1.0
포스코건설,0.9791740528442646,1.0
포스코경영연구원,1.0,1.0
포스코기술투자,0.950000004822335,1.0
포스코아이씨티,0.9904061591085547,1.0000000000000002
포스코알텍,1.0,1.0
포스코에너지,0.8902462818404399,1.0
포스코에스피에스,1.0,1.0
포스코에이앤씨건축사사무소,1.0,1.0
포스코엠텍,0.9811976182237738,1.0
포스코오앤엠,1.0,1.0
포스코인재창조원,1.0,1.0
포스코인터내셔널,0.9983130152085977,1.0
포스코케미칼,0.9581786285941776,0.9999999999999998
포스코터미날,1.0,1.0
포스코플랜텍,0.9985577677004975,1.0
포스코휴먼스,1.0,1.0
포항에스알디씨,1.0,1.0
포항특수용접봉,1.0,1.0
피에스씨에너지글로벌,1.0,1.0
피엔알,1.0,1.0
피엠씨텍,1.0,1.0
한국퓨얼셀,1.0,1.0
