firmname,own,own2
글로벌다이너스티해외자원개발사모투자전문회사,1.0,1.0
도시환경,1.0,1.0
드림라인,0.9999660069393522,1.0
드림라인쏠라파워2호,1.0,1.0
드림마크원,1.0,1.0
우리성장파트너십신기술사모투자전문회사,1.0,1.0
이메디원,1.0,1.0
이큐그린제삼차(유),1.0,1.0
이큐그린제이차(유),1.0,1.0
이큐그린제일차(유),1.0,1.0
이큐파트너스,1.0,1.0
이큐파트너스그린사모투자합자회사,1.0,1.0
이큐파트너스아시아인프라사모투자전문회사,1.0,1.0
이큐파트너스제1호글로벌사모투자전문회사,1.0,1.0
이큐파트너스제1호환경서비스사모투자합자회사,0.9999999999999999,0.9999999999999999
이큐파트너스제2호기업재무안정사모투자전문회사,1.0,1.0
이큐파트너스제2호의1기업재무안정(유),1.0,1.0
이큐피포스코글로벌제1호해외자원개발사모투자전문회사,1.0,1.0
일성,1.0,1.0
케이아이피그로쓰(유),1.0,1.0
케이아이피플러스(유),1.0,1.0
한국카카오은행,1.0,1.0
한국투자글로벌제약산업육성사모투자전문회사,0.9999999999999999,0.9999999999999999
한국투자금융지주,0.9480795923723541,1.0
한국투자밸류자산운용,1.0,1.0
한국투자신탁운용,1.0,1.0
한국투자저축은행,1.0,1.0
한국투자증권,1.0,1.0
한국투자캐피탈,1.0,1.0
한국투자파트너스,1.0,1.0
