firmname,own,own2
바르질라현대엔진(유),1.0,1.0
아산카카오메디컬데이터,0.95,1.0
에이치이에이,1.0,1.0
창죽풍력발전,1.0,1.0
코마스,1.0,1.0
태백귀네미풍력발전,1.0,1.0
태백풍력발전,0.9999999999999999,0.9999999999999999
한국조선해양,0.9688126915310611,1.0
현대건설기계,0.9350617003082059,1.0
현대글로벌서비스,1.0,1.0
현대미래파트너스,1.0,1.0
현대미포조선,0.9937150852849705,1.0
현대삼호중공업,0.9985253423647718,1.0
현대쉘베이스오일,1.0,1.0
현대신텍,1.0,1.0
현대에너지솔루션,0.9990833928571429,1.0
현대엘앤에스,1.0,1.0
현대오씨아이,1.0,1.0
현대오일뱅크,0.9975245062658962,1.0
현대오일터미널,1.0,1.0
현대이엔티,1.0,1.0
현대일렉트릭앤에너지시스템,0.9692521194818949,1.0
현대중공업,1.0,1.0
현대중공업모스,1.0,1.0
현대중공업스포츠,1.0,1.0
현대중공업지주,0.8446564439993891,1.0
현대중공업파워시스템,1.0,1.0
현대케미칼,1.0,1.0
현대코스모,1.0,1.0
현대코어모션,1.0,1.0
