firmname,own,own2
광주방송,0.9,1.0
그린산업,1.0,1.0
대아청과,1.0,1.0
대전용산개발,1.0,1.0
리솜리조트,1.0,1.0
리솜웨이하이골프리조트,1.0,1.0
마륵파크,1.0,1.0
배곧랜드마크피에프브이,1.0,1.0
삼성금거래소,0.845360824742268,1.0
상방공원피에프브이,1.0,1.0
세기상사,0.8159924630512865,1.0
스카이리빙,1.0,1.0
아브뉴프랑,1.0,1.0
에이치비리솜,1.0,1.0
연희파크,1.0,1.0
중앙파크,1.0,1.0
케이비씨플러스,1.0,1.0
코너스톤투자파트너스,1.0,1.0
티에스개발,1.0,1.0
티에스건설,1.0,1.0
티에스리빙,1.0,1.0
티에스자산개발,1.0,1.0
티에스주택,1.0,1.0
퍼시픽마리나,1.0,1.0
플랜에이치벤처스,1.0,1.0
호반건설,0.8407080893923266,1.0
호반산업,0.5801439826235589,0.9999999999999999
호반서서울,0.9999999999999999,0.9999999999999999
호반스카이밸리,1.0,1.0
호반써밋,1.0,1.0
호반자산개발,1.0,1.0
호반주택,1.0,1.0
호반티비엠,1.0,1.0
호반프라퍼티,0.5161290322580645,1.0
호반호텔앤리조트,1.0,1.0
화랑관사비티엘,1.0,1.0
