기업집단,대표회사,그룹코드,그룹명,주력기업,소속계열사 수,그룹구분,grpcode_cv
삼성,삼성전자,511,삼성,삼성전자(주),59,"상호출자제한,공시대상,주채무",511
현대자동차,현대자동차,BH1,현대자동차,현대자동차(주),55,"상호출자제한,공시대상,주채무",1201801
에스케이,SK,535,SK,SK(주),120,"상호출자제한,공시대상,주채무",535
엘지,LG,282,LG,(주)LG,67,"상호출자제한,공시대상,주채무",282
롯데,롯데지주,283,롯데,롯데지주(주),82,"상호출자제한,공시대상,주채무",283
포스코,포스코,853,포스코,(주)포스코,34,"상호출자제한,공시대상,주채무",853
한화,한화,913,한화,(주)한화,87,"상호출자제한,공시대상,주채무",913
지에스,GS,PV8,GS,(주)GS,72,"상호출자제한,공시대상,주채무",2703408
현대중공업,한국조선해양,IC5,현대중공업,한국조선해양(주),30,"상호출자제한,공시대상,주채무",1901305
농협,농협경제지주,E56,농협,농협금융지주(주),57,"상호출자제한,공시대상",15056
신세계,신세계,577,신세계,(주)신세계,44,"상호출자제한,공시대상,주채무",577
케이티,케이티,905,케이티,(주)케이티,45,"상호출자제한,공시대상,주채무",905
씨제이,CJ,720,씨제이,CJ(주),78,"상호출자제한,공시대상,주채무",720
한진,대한항공,926,한진,(주)대한항공,31,"상호출자제한,공시대상,주채무",926
두산,두산,391,두산,(주)두산,27,"상호출자제한,공시대상,주채무",391
엘에스,LS,MK4,엘에스,(주)LS,57,"상호출자제한,공시대상,주채무",2402204
부영,부영,F32,부영,(주)부영,23,"상호출자제한,공시대상",16032
대림,대림산업,321,대림,대림산업(주),29,"상호출자제한,공시대상,주채무",321
미래에셋,미래에셋캐피탈,OJ5,미래에셋,미래에셋대우(주),37,"상호출자제한,공시대상",2602105
금호아시아나,금호산업,183,금호아시아나,아시아나항공(주),27,"상호출자제한,공시대상,주채무",183
에쓰-오일,S-Oil,AU7,에쓰-오일,S-OIL(주),3,"상호출자제한,공시대상,주채무",1103307
현대백화점,현대백화점,Z35,현대백화점,(주)현대그린푸드,24,"상호출자제한,공시대상",38035
카카오,카카오,X27,카카오,(주)카카오,104,"상호출자제한,공시대상",36027
한국투자금융,한국금융지주,PN4,한국투자금융,한국투자금융지주(주),25,"상호출자제한,공시대상",2702504
교보생명보험,교보생명보험,145,교보생명보험,교보생명보험(주),12,"상호출자제한,공시대상",145
효성,효성,971,효성,(주)효성,52,"상호출자제한,공시대상,주채무",971
하림,하림지주,M62,하림,제일홀딩스(주),56,"상호출자제한,공시대상,주채무",24062
영풍,영풍,632,영풍,(주)영풍,27,"상호출자제한,공시대상",632
대우조선해양,대우조선해양,DA2,대우조선해양,대우조선해양(주),5,"상호출자제한,공시대상,주채무",1401102
케이티앤지,케이티앤지,B79,케이티앤지,(주)케이티앤지,9,"상호출자제한,공시대상",12079
에이치디씨,HDC,AI7,에이치디씨,에이치디씨(주),26,"상호출자제한,공시대상",1101907
케이씨씨,케이씨씨,184,케이씨씨,(주)케이씨씨,16,"상호출자제한,공시대상,주채무",184
코오롱,코오롱,811,코오롱,(주)코오롱,35,"상호출자제한,공시대상,주채무",811
대우건설,대우건설,CZ5,대우건설,(주)대우건설,15,"상호출자제한,공시대상,주채무",1303805
오씨아이,OCI,378,오씨아이,오씨아이(주),19,"공시대상,주채무",378
이랜드,이랜드월드,652,이랜드,(주)이랜드월드,32,공시대상,652
태영,태영건설,844,태영,(주)태영건설,61,공시대상,844
SM,티케이케미칼,192,SM,(주)삼라,59,공시대상,192
DB,DB,365,DB,(주)디비아이엔씨,20,공시대상,365
세아,세아홀딩스,474,세아,(주)세아홀딩스,31,"공시대상,주채무",474
네이버,NAVER,EJ1,네이버,네이버(주),45,공시대상,1502101
넥슨,엔엑스씨,IK5,넥슨,(주)엔엑스씨,19,공시대상,1902205
한국타이어,한국앤컴퍼니,912,한국타이어,한국타이어앤테크놀로지(주),24,공시대상,912
호반건설,호반건설,O23,호반건설,(주)호반건설,39,공시대상,26023
셀트리온,셀트리온홀딩스,HT9,셀트리온,(주)셀트리온홀딩스,8,공시대상,1803209
중흥건설,중흥건설,743,중흥건설,중흥건설(주),35,공시대상,743
넷마블,넷마블,0XQ,넷마블,넷마블(주),23,공시대상,0360280
아모레퍼시픽,아모레퍼시픽그룹,842,아모레퍼시픽,(주)아모레퍼시픽그룹,15,공시대상,842
태광,태광산업,841,태광,태광산업(주),19,공시대상,841
동원,동원엔터프라이즈,113,경동원,(주)경동원,25,기타,113
한라,한라홀딩스,920,한라,(주)한라,13,공시대상,920
삼천리,삼천리,521,삼천리,(주)삼천리,31,공시대상,521
한국지엠,한국지엠,MZ3,한국지엠,한국지엠(주),3,공시대상,2403803
동국제강,동국제강,364,동국제강,동국제강(주),11,"공시대상,주채무",364
다우키움,키움증권,291,다우키움,(주)다우데이타,46,공시대상,291
금호석유화학,금호석유화학,11D,금호석유화학,금호석유화학(주),12,공시대상,11140
애경,AK홀딩스,615,애경,에이케이아이에스(주),38,공시대상,615
하이트진로,하이트진로홀딩스,732,하이트진로,하이트진로홀딩스(주),18,공시대상,732
유진,유진기업,653,유진,유진기업(주),47,공시대상,653
