,Unnamed: 0,firm,kiscode,kiscode_tf
0,0,유진투자증권(주),860034,860034
1,1,(주)동양,360228,360228
2,2,한국특수형강(주),370843,370843
3,3,유진기업(주),982300,982300
4,4,(주)유진저축은행,881988,881988
5,5,한국자산평가(주),136297,136297
6,6,유진로지스틱스(주),165401,165401
7,7,(주)에스비씨리니어,654027,654027
8,8,(주)유진홈센터,F39277,16039277
9,9,(주)한국초저온,L60776,23060776
10,10,(주)유진한일합섬,IX7679,1903607679
11,11,유진자산운용(주),813222,813222
12,12,유진투자선물(주),202487,202487
13,13,미래개발(주),990086,990086
14,14,케이비에프(주),005086,5086
15,15,(주)유진디랩,HD4064,1801404064
16,16,우진레미콘(주),J77664,21077664
17,17,이순산업(주),G39164,17039164
18,18,현대개발(주),854576,854576
19,19,동화기업(주),296762,296762
20,20,바이오코엔(주),IN1830,1902501830
21,21,(주)씨아이에스,I04303,19004303
22,22,유진레저(주),F75079,16075079
23,23,(주)한성레미콘,102640,102640
24,24,당진기업(주),782068,782068
25,25,남부산업(주),166364,166364
26,26,(주)지구레미콘,783743,783743
27,27,성인산업(주),I17052,19017052
28,28,오성연료전지(주),IW9327,1903509327
29,29,유진에스비홀딩스(주),IR9737,1902909737
30,30,천안기업(주),C12158,13012158
31,31,한국로지스틱스(주),HQ4796,1802804796
32,32,제일에쿼티파트너스(주),IQ0767,1902800767
33,33,유진엠(주),372582,372582
34,34,유진에이엠씨(유),L29938,23029938
35,35,유진아이티서비스(주),M38008,24038008
36,36,(주)유진에너팜,I86655,19086655
37,37,(주)호남아스콘,333018,333018
38,38,유진프라이빗에쿼티(주),CR4046,1302904046
39,39,(주)나눔로또,691588,691588
40,40,(주)동양에너지,H99910,18099910
41,41,굿앤파트너스(주),IX9273,1903609273
42,42,유진스타제이호사모투자(자),HT0394,1803200394
43,43,유진에버베스트턴어라운드기업재무안정사모투자전문회사(자),HI4792,1801904792
44,44,유진엠플러스(주),J87511,21087511
45,45,유진제사호헤라클레스사모투자(자),IR5702,1902905702
46,46,인프라이니셔티브1호사모투자(자),JJ2736,2102102736
47,47,케이에스에스홀딩스(주),JG9157,2101709157
