,Unnamed: 0,firm,kiscode,kiscode_tf
0,0,미래에셋대우(주),860085,860085
1,1,미래에셋생명보험(주),821241,821241
2,2,미래에셋벤처투자(주),130777,130777
3,3,미래에셋컨설팅(주),C45914,13045914
4,4,미래에셋자산운용(주),490050,490050
5,5,서울공항리무진(주),L41967,23041967
6,6,와이케이디벨롭먼트(주),HS9050,1803109050
7,7,미래에셋캐피탈(주),965251,965251
8,8,멀티에셋자산운용(주),105600,105600
9,9,미래에셋펀드서비스(주),376149,376149
10,10,미래에셋금융서비스(주),L63715,23063715
11,11,수원학교사랑(주),C14830,13014830
12,12,브랜드무브(주),C12030,13012030
13,13,그로쓰파트너(주),GD6356,1701406356
14,14,시니안(유),C82070,13082070
15,15,오딘제5차(유),H33308,18033308
16,16,오딘제8차(유),JE0252,2101500252
17,17,미래에셋글로벌유니콘사모투자(자),JA9548,2101109548
18,18,미래에셋네이버아시아그로쓰사모투자(자),JF1820,2101601820
19,19,미래에셋대우글로벌제일호사모투자(자),JH0160,2101800160
20,20,미래에셋대우글로벌케이그로쓰사모투자(자),HH5510,1801805510
21,21,미래에셋대우코리아제이호사모투자(자),JJ5509,2102105509
22,22,미래에셋대우코리아제일호사모투자(자),HK3162,1802203162
23,23,미래에셋큐리어스구조혁신기업재무안정사모투자(자),JO4684,2102604684
24,24,미래에셋파트너스사호사모투자전문회사,C12101,13012101
25,25,미래에셋파트너스오호사모투자전문회사,C98472,13098472
26,26,미래에셋파트너스제9호사모투자(자),HQ9331,1802809331
27,27,신성장동력그린퓨처사모투자전문회사,F03603,16003603
28,28,에너지인프라자산운용(주),HV5156,1803405156
29,29,에스케이에스미래에셋기업재무안정사모투자(자),JV1024,2103401024
30,30,에스케이에스미래에셋콘텐츠(유),JV1519,2103401519
31,31,오딘2(유),H31280,18031280
32,32,오딘제10차(유),JA4243,2101104243
33,33,오딘제7차(유),IQ2521,1902802521
34,34,오딘제9차(유),IW4465,1903504465
35,35,자스민제일호(유),JZ9348,2103809348
36,36,코에프씨미래에셋그로쓰챔프2010의4호사모투자전문회,F39284,16039284
0,0,두산중공업(주),382647,382647
1,1,(주)두산,310425,310425
2,2,두산인프라코어(주),152018,152018
3,3,두산퓨얼셀(주),JU0606,2103300606
4,4,솔루스첨단소재(주),JU2570,2103302570
5,5,두산밥캣(주),L74201,23074201
6,6,(주)오리콤,820024,820024
7,7,(주)신한벤처투자,IT9021,1903209021
8,8,두산건설(주),360171,360171
9,9,두산큐벡스(주),480952,480952
10,10,네오트랜스(주),388949,388949
11,11,두산메카텍(주),HQ7187,1802807187
12,12,두산로보틱스(주),HH7744,1801807744
13,13,(주)한컴,820628,820628
14,14,(주)두산베어스,990159,990159
15,15,두산밥캣코리아(주),HD4472,1801404472
16,16,(주)두산모빌리티이노베이션,IG0390,1901700390
17,17,두산경영연구원(주),HN5387,1802505387
18,18,디비씨(주),IQ5569,1902805569
19,19,(주)두산에이치에프컨트롤스아시아,HH9279,1801809279
20,20,네오플럭스제3호사모투자(자),JC5421,2101305421
