,firm,kiscode,kiscode_tf
0,지에스건설(주),500143,500143
1,(주)지에스리테일,810045,810045
2,자이에스앤디(주),154698,154698
3,삼양통상(주),320510,320510
4,(주)지에스글로벌,610283,610283
5,(주)GS,243139,243139
6,(주)지에스홈쇼핑,023707,023707
7,(주)지에스엔텍,751260,751260
8,지에스칼텍스(주),352705,352705
9,(주)지에스네트웍스,IX8268,1903608268
10,파르나스호텔(주),900818,900818
11,자이에너지운영(주),C43324,13043324
12,(주)지씨에스,486764,486764
13,(주)삼양인터내셔날,613533,613533
14,(주)지에스이앤알,194721,194721
15,지에스파워(주),145222,145222
16,(주)텐바이텐,208564,208564
17,지에스이피에스(주),103160,103160
18,지에스네오텍(주),502065,502065
19,지에스엠비즈(주),029824,029824
20,(주)피엘에스,F00290,16000290
21,지에스파크이십사(주),484754,484754
22,(주)승산,790125,790125
23,지에스에너지(주),H79512,18079512
24,센트럴모터스(주),245846,245846
25,(주)지에스동해전력,H76297,18076297
26,보령엘엔지터미널(주),I99714,19099714
27,경원건설(주),990167,990167
28,(주)후레쉬서브,486770,486770
29,지에스에코메탈(주),F30842,16030842
30,인천종합에너지(주),375106,375106
31,(주)지에스포천그린에너지,M29924,24029924
32,(주)지에스넷비전,C13939,13013939
33,(주)지에스스포츠,246258,246258
34,지에스바이오(주),F14819,16014819
35,(주)지에스풍력발전,I67177,19067177
36,(주)삼정건업,I69264,19069264
37,(주)위너셋,614114,614114
38,옥산오창고속도로(주),C89691,13089691
39,(주)지에스텔레서비스,370935,370935
40,이노폴리텍(주),135862,135862
41,상지해운(주),027842,027842
42,(주)피앤에쓰,I71404,19071404
43,(주)켐텍인터내셔날,137619,137619
44,(주)옥산유통,108350,108350
45,은평새길(주),C92904,13092904
46,지베스코(주),JS8136,2103108136
47,(주)동해그린에너지,686635,686635
48,(주)삼척그린에너지파크,JL6037,2102306037
49,(주)영덕제1풍력발전,IV6901,1903406901
50,(주)보헌개발,100319,100319
51,(주)프로케어,M31667,24031667
52,자이에스텍(주),377675,377675
53,(유)가승개발,HM8099,1802408099
54,(주)경기평택글로벌,LE5890,2301505890
55,(주)구미그린에너지,IP2257,1902702257
56,(주)영양제2풍력발전,H20408,18020408
57,(주)케이세이프새먼어업회사,LG4702,2301704702
58,(주)해프닝피플,JL3819,2102303819
59,구미맑은물(주),HU8801,1803308801
60,동해국제자원터미널(주),JT0232,2103200232
61,부산동서고속화도로(주),HO9878,1802609878
62,비에스엠(주),C07414,13007414
63,자이가이스트(주),LS4661,2303104661
64,자이메카닉스(주),LJ7658,2302107658
65,지앤엠에스테이트(주),J88286,21088286
66,지피씨(주),LA1510,2301101510
67,케이클라비스전문투자형사모부동산투자유한회사제19호,LB7227,2301207227
68,팬코텍(유),LT8356,2303208356
69,포항영일만해양케이블카(주),IZ8296,1903808296
70,향산2도시개발(주),IT2804,1903202804
71,(주)에피스,H55875,18055875
