,firm,kiscode,kiscode_tf
0,LG전자(주),196275,196275
1,엘지디스플레이(주),384267,384267
2,(주)LG화학,162209,162209
3,(주)LG유플러스,064847,064847
4,엘지이노텍(주),380687,380687
5,(주)LG생활건강,162210,162210
6,(주)엘지하우시스,C81396,13081396
7,(주)엘지헬로비전,048971,048971
8,(주)LG상사,610224,610224
9,(주)LG,350079,350079
10,(주)지투알,820393,820393
11,(주)실리콘웍스,187803,187803
12,(주)로보스타,186153,186153
13,(주)엘지씨엔에스,812536,812536
14,(주)하이프라자,137881,137881
15,(주)판토스,027952,027952
16,코카콜라음료(주),540633,540633
17,(주)에스앤아이코퍼레이션,189859,189859
18,(주)씨에스원파트너,C46191,13046191
19,(주)아인텔레서비스,265419,265419
20,하이엠솔루텍(주),B98015,12098015
21,(주)팜한농,F17294,16017294
22,(주)씨에스리더,189465,189465
23,(주)하이텔레서비스,F06277,16006277
24,해태에이치티비(주),134366,134366
25,(주)비즈테크파트너스,222130,222130
26,(주)에이치에스애드,295569,295569
27,(주)미디어로그,134382,134382
28,엘지엠엠에이(주),356778,356778
29,태극제약(주),148750,148750
30,(주)엘지경영개발원,812650,812650
31,우지막코리아(주),466839,466839
32,에이스냉동공조(주),132937,132937
33,(주)씨텍,351288,351288
34,(주)미래엠,IQ5980,1902805980
35,(주)에프엠지,236442,236442
36,(주)한국음료,C16505,13016505
37,(주)엘베스트,C49889,13049889
38,(주)엘지스포츠,990094,990094
39,(주)데이콤크로싱,167990,167990
40,세종그린파워(주),M40722,24040722
41,당진탱크터미널(주),B97276,12097276
42,(주)에스앤아이씨엠,JM4204,2102404204
43,(주)위드유,J22169,21022169
44,(주)행복누리,J03838,21003838
45,이노위드(주),I09557,19009557
46,(주)행복마루,HS8350,1803108350
47,(주)밝은누리,HH4790,1801804790
48,(주)루치펠로코리아,J04150,21004150
49,(주)판토스부산신항물류센터,C99457,13099457
50,(주)헬리스타항공,I23549,19023549
51,(주)그린누리,IX1909,1903601909
52,(주)나눔누리,H83624,18083624
53,(주)한울타리,IY2849,1903702849
54,(주)드림누리,IV9073,1903409073
55,(주)로보메디,HC9988,1801309988
56,(주)미젠스토리,IJ2012,1902102012
57,(주)울릉샘물,JL0200,2102300200
58,(주)유플러스홈서비스,JX8378,2103608378
59,(주)하누리,I91088,19091088
60,농업회사법인(주)곤지암예원,F20468,16020468
61,엘지파루크(주),HV1143,1803401143
62,지케이더블유라이팅시스템즈코리아(주),JR6236,2102906236
63,크린소울(유),I63625,19063625
64,(주)더페이스샵,011681,011681
65,(주)씨앤피코스메틱스,087545,087545
66,캐이엔아이(주),762325,762325
