,firm,kiscode,kiscode_tf
0,에스케이하이닉스(주),383511,383511
1,SK텔레콤(주),810185,810185
2,SK(주),814261,814261
3,SK이노베이션(주),490896,490896
4,SK네트웍스(주),610259,610259
5,에스케이케미칼(주),IW7328,1903507328
6,SKC(주),350885,350885
7,에스케이렌터카(주),214507,214507
8,SK가스(주),400122,400122
9,(주)부산도시가스,400041,400041
10,에스케이디앤디(주),372663,372663
11,에스케이바이오팜(주),H32455,18032455
12,에스케이디스커버리(주),320706,320706
13,에스케이머티리얼즈(주),093025,093025
14,(주)에스엠코어,382159,382159
15,(주)드림어스컴퍼니,141084,141084
16,인크로스(주),C13968,13013968
17,(주)나노엔텍,009380,009380
18,에스케이건설(주),500283,500283
19,(주)에이디티캡스,812579,812579
20,홈앤서비스(주),IQ8535,1902808535
21,(주)캡스텍,368945,368945
22,서비스탑(주),F22369,16022369
23,서비스에이스(주),F22362,16022362
24,에스케이실트론(주),360651,360651
25,에스케이에너지(주),F39728,16039728
26,피에스앤마케팅(주),C83530,13083530
27,에스케이브로드밴드(주),624810,624810
28,에스케이오앤에스(주),F22361,16022361
29,에스케이엠앤서비스(주),129466,129466
30,에스케이인포섹(주),146718,146718
31,에프앤유신용정보(주),102426,102426
32,에스케이매직(주),J14603,21014603
33,십일번가(주),JG5430,2101705430
34,에스케이종합화학(주),F79581,16079581
35,에스케이플래닛(주),H77772,18077772
36,에스케이하이닉스시스템아이씨(주),IQ1002,1902801002
37,에스케이네트웍스서비스(주),494218,494218
38,에스케이인천석유화학(주),J75118,21075118
39,에스케이하이이엔지(주),201399,201399
40,유빈스(주),C64097,13064097
41,에스케이바이오사이언스(주),JE3749,2101503749
42,(주)대한송유관공사,981117,981117
43,에스케이이엔에스(주),992089,992089
44,에스케이매직서비스(주),117570,117570
45,에스케이바이오텍(주),FO1359,1602601359
46,나래에너지서비스(주),I67171,19067171
47,에스케이씨하이테크앤마케팅(주),497396,497396
48,코원에너지서비스(주),400106,400106
49,에스케이티엔에스(주),HI9093,1801909093
50,에스케이루브리컨츠(주),C92193,13092193
51,에스케이넥실리스(주),IS8723,1903108723
52,에스케이하이스텍(주),C12162,13012162
53,에스케이커뮤니케이션즈(주),831760,831760
54,에스케이모바일에너지(주),380157,380157
55,영남에너지서비스(주),400076,400076
56,에스케이텔링크(주),831689,831689
57,행복나래(주),146672,146672
58,에스케이플라즈마(주),CR4695,1302904695
59,미쓰이케미칼앤드에스케이씨폴리우레탄(주),CC8744,1301308744
60,에스케이스토아(주),IW7486,1903507486
61,내트럭(주),381534,381534
62,에스케이트레이딩인터내셔널(주),J66815,21066815
63,행복모아(주),HU6854,1803306854
64,충청에너지서비스(주),400270,400270
65,에스케이핀크스(주),084869,084869
66,원스토어(주),HN8999,1802508999
67,에스케이아이이테크놀로지(주),JN5387,2102505387
68,에스케이어드밴스드(주),M17750,24017750
69,에스케이텔레시스(주),570117,570117
70,(주)에이앤티에스,487817,487817
71,에스케이머티리얼즈에어플러스(주),492783,492783
72,에스케이트리켐(주),HS5424,1803105424
73,에스케이임업(주),C85548,13085548
74,강원도시가스(주),400092,400092
75,전남도시가스(주),400149,400149
76,에프에스케이엘앤에스(주),HV0440,1803400440
77,전북에너지서비스(주),400297,400297
78,에스케이씨에코솔루션즈(주),F20462,16020462
79,에스케이와이번스(주),136740,136740
80,에스케이씨인프라서비스(주),HG4088,1801704088
81,한국넥슬렌(유),HC6247,1801306247
82,콘텐츠웨이브(주),I09023,19009023
83,엔티스(주),001821,001821
84,파주에너지서비스(주),H36259,18036259
85,(주)에스케이머티리얼즈리뉴텍,210665,210665
86,울산지피에스(주),H36264,18036264
87,(주)제이에스아이,184006,184006
88,울산아로마틱스(주),G42242,17042242
89,(주)휘찬,H35328,18035328
90,제주유나이티드에프씨(주),C52368,13052368
91,브로드밴드노원방송(주),370370,370370
92,에스케이쇼와덴코(주),IQ8099,1902808099
93,여주에너지서비스(주),JH6949,2101806949
94,유베이스매뉴팩처링아시아(주),F30780,16030780
95,당진에코파워(주),JT6405,2103206405
96,에스케이씨솔믹스(주),103322,103322
97,에스케이렌터카서비스(주),H76862,18076862
98,디앤디프라퍼티매니지먼트(주),C68765,13068765
99,민팃(주),380493,380493
100,행복동행(주),JQ4106,2102804106
101,행복모음(주),JU0398,2103300398
102,(주)신안증도태양광,JC2423,2101302423
103,디앤디인베스트먼트(주),IY0469,1903700469
104,마인드노크(주),IY6482,1903706482
105,아이디퀀티크(유),JF3024,2101603024
106,에스케이머티리얼즈퍼포먼스(주),JZ9818,2103809818
107,에스케이씨에프티홀딩스(주),JW9605,2103509605
108,에스케이케미칼대정(주),LD8368,2301408368
109,에스케이텔레콤씨에스티원(주),JR3073,2102903073
110,에스케이피아이씨글로벌(주),JZ5381,2103805381
111,인프라커뮤니케이션즈(주),IS8497,1903108497
112,전남해상풍력(주),LA7756,2301107756
113,해쌀태양광(주),LP4237,2302704237
114,행복디딤(주),JK7189,2102207189
115,행복채움(주),JO6135,2102606135
116,행복키움(주),JK7188,2102207188
117,행복한울(주),JS3341,2103103341
118,유빈스홀딩스(주),L44662,23044662
119,라이프앤시큐리티홀딩스(주),L63717,23063717
