,firm,kiscode,kiscode_tf
0,엔에이치투자증권(주),860301,860301
1,남해화학(주),350052,350052
2,농업회사법인(주)농우바이오,454958,454958
3,농협은행(주),H80827,18080827
4,(주)농협파트너스,203952,203952
5,(주)농협하나로유통,CR3759,1302903759
6,농협경제지주(주),H82143,18082143
7,(주)농협유통,057701,057701
8,농협생명보험(주),H80828,18080828
9,농협손해보험(주),H82144,18082144
10,(주)농협사료,091975,091975
11,(주)농협목우촌,485219,485219
12,(주)농협정보시스템,493000,493000
13,엔에이치농협캐피탈(주),495653,495653
14,(주)농협충북유통,133578,133578
15,(주)농협부산경남유통,133644,133644
16,(주)농협케미컬,351857,351857
17,(주)농협물류,483242,483242
18,(주)농협네트웍스,207098,207098
19,(주)농협대전유통,133629,133629
20,(주)지엔앰퍼포먼스,I05248,19005248
21,(주)농협홍삼,212098,212098
22,엔에이치아문디자산운용(주),210741,210741
23,엔에이치저축은행(주),H03692,18003692
24,농협금융지주(주),H81975,18081975
25,농업회사법인농협양곡(주),CR3907,1302903907
26,엔에이치선물(주),223913,223913
27,(주)엔에이치농협무역,261980,261980
28,그랑몬스터(주),F96645,16096645
29,농업회사법인오리온농협(주),HU2786,1803302786
30,농업회사법인농협식품(주),IR8348,1902908348
31,(주)농협아그로,046476,046476
32,농업회사법인농협티엠알(주),I69299,19069299
33,엔에이치농협리츠운용(주),JE3100,2101503100
34,(주)그랑플레이스,IW7172,1903507172
35,(주)공영홈쇼핑,CR5150,1302905150
36,농업협동조합자산관리회사,213822,213822
37,(주)상림농업회사법인,149781,149781
38,농협흙사랑(주),151044,151044
39,(주)더블트리인터랙티브,I78025,19078025
40,엔에이치공동투자사모투자(자),JS9694,2103109694
41,엔에이치나우농식품1호사모투자(자),JS8194,2103108194
42,엔에이치헤지자산운용(주),JQ6552,2102806552
43,(자)엔에이치아주아이비중소중견그로쓰2013사모투자전문회사,L89463,23089463
44,(자)코에프씨우리그로쓰챔프2010의3호사모투자전문회사,F34104,16034104
45,(주)알지에이치브이엘사모해외자원개발특별자산투자회사일호,L24282,23024282
46,(주)에이마케팅,L49029,23049029
47,(주)엔에이치김해아이앤디,JJ1119,2102101119
48,엔에이치나우농식품2호사모투자(자),LV4281,2303404281
49,엔에이치뉴그로쓰사모투자(자),JK2283,2102202283
50,엔에이치벤처투자(주),JW3740,2103503740
51,엔에이치애그리비즈밸류크리에이티브제일호사모투자(자),HO1935,1802601935
52,엔에이치큐씨피중소중견글로벌투자파트너쉽사모투자전문회사,L56739,23056739
53,이니어스엔에이치사모투자(자),IO7905,1902607905
54,지엔엠홀딩스(주),JO2433,2102602433
55,(주)햇살유통,J36175,21036175
56,(주)라이크앤클릭,HU2657,1803302657
