,firm,kiscode,kiscode_tf
0,디엘(주),500070,500070
1,대림건설(주),500739,500739
2,(주)대림,023705,023705
3,글래드호텔앤리조트(주),903043,903043
4,디엘모터스(주),381586,381586
5,(주)대림피앤피,JQ9232,2102809232
6,포천파워(주),C43222,13043222
7,디엘에너지(주),L40345,23040345
8,포승그린파워(주),M33400,24033400
9,(주)켐텍,F22384,16022384
10,밀머란에스피씨(주),L19845,23019845
11,송도파워(주),C38956,13038956
12,덕송내각고속화도로(주),F98513,16098513
13,청진이삼프로젝트(주),F34899,16034899
14,하이웨이솔라(주),L39441,23039441
15,험프리에스엘큐원(주),F16947,16016947
16,에이플러스디(주),F22386,16022386
17,에코술이홀(주),372696,372696
18,제주항공우주호텔(주),I71408,19071408
19,김해동서터널(주),C15424,13015424
20,청진이삼자산관리(주),H30184,18030184
21,(주)대림제5호천안원성동기업형임대위탁관리부동산투자회사,IL7761,1902307761
22,(주)대림제6호부산우암동기업형임대위탁관리부동산투자회사,IR3602,1902903602
23,(주)대림제7호마산회원기업형임대위탁관리부동산투자회사,JV4663,2103404663
24,(주)삼호시트론시티,LB4087,2301204087
25,대림에이엠씨(주),HS6245,1803106245
26,디엘에프엔씨(주),LD8371,2301408371
27,영주에코파워(주),JW2258,2103502258
28,코크레인에스피씨(주),LC0688,2301300688
