,firm,kiscode,kiscode_tf
0,미래에셋대우(주),860085,860085
1,미래에셋생명보험(주),821241,821241
2,미래에셋벤처투자(주),130777,130777
3,미래에셋컨설팅(주),C45914,13045914
4,미래에셋자산운용(주),490050,490050
5,서울공항리무진(주),L41967,23041967
6,와이케이디벨롭먼트(주),HS9050,1803109050
7,미래에셋캐피탈(주),965251,965251
8,멀티에셋자산운용(주),105600,105600
9,미래에셋펀드서비스(주),376149,376149
10,미래에셋금융서비스(주),L63715,23063715
11,수원학교사랑(주),C14830,13014830
12,브랜드무브(주),C12030,13012030
13,그로쓰파트너(주),GD6356,1701406356
14,시니안(유),C82070,13082070
15,오딘제5차(유),H33308,18033308
16,오딘제8차(유),JE0252,2101500252
17,미래에셋글로벌유니콘사모투자(자),JA9548,2101109548
18,미래에셋네이버아시아그로쓰사모투자(자),JF1820,2101601820
19,미래에셋대우글로벌제일호사모투자(자),JH0160,2101800160
20,미래에셋대우글로벌케이그로쓰사모투자(자),HH5510,1801805510
21,미래에셋대우코리아제이호사모투자(자),JJ5509,2102105509
22,미래에셋대우코리아제일호사모투자(자),HK3162,1802203162
23,미래에셋큐리어스구조혁신기업재무안정사모투자(자),JO4684,2102604684
24,미래에셋파트너스사호사모투자전문회사,C12101,13012101
25,미래에셋파트너스오호사모투자전문회사,C98472,13098472
26,미래에셋파트너스제9호사모투자(자),HQ9331,1802809331
27,신성장동력그린퓨처사모투자전문회사,F03603,16003603
28,에너지인프라자산운용(주),HV5156,1803405156
29,에스케이에스미래에셋기업재무안정사모투자(자),JV1024,2103401024
30,에스케이에스미래에셋콘텐츠(유),JV1519,2103401519
31,오딘2(유),H31280,18031280
32,오딘제10차(유),JA4243,2101104243
33,오딘제7차(유),IQ2521,1902802521
34,오딘제9차(유),IW4465,1903504465
35,자스민제일호(유),JZ9348,2103809348
36,코에프씨미래에셋그로쓰챔프2010의4호사모투자전문회,F39284,16039284
