,firm,kiscode,kiscode_tf
0,삼성전자(주),380725,380725
1,삼성에스디에스(주),820717,820717
2,삼성전기(주),380733,380733
3,삼성SDI(주),380458,380458
4,삼성중공업(주),380180,380180
5,삼성물산(주),810053,810053
6,(주)에스원,820482,820482
7,삼성화재해상보험(주),870056,870056
8,삼성엔지니어링(주),820040,820040
9,삼성생명보험(주),870021,870021
10,삼성바이오로직스(주),H33268,18033268
11,삼성증권(주),821616,821616
12,(주)호텔신라,630039,630039
13,삼성카드(주),990345,990345
14,(주)제일기획,820032,820032
15,(주)멀티캠퍼스,145888,145888
16,세메스(주),314528,314528
17,(주)미라콤아이앤씨,173255,173255
18,삼성메디슨(주),387533,387533
19,에스코어(주),C39492,13039492
20,(주)시큐아이,131940,131940
21,(주)씨브이네트,136979,136979
22,삼성디스플레이(주),H82126,18082126
23,삼성전자서비스(주),952133,952133
24,삼성웰스토리(주),L24796,23024796
25,삼성전자판매(주),102357,102357
26,(주)휴먼티에스에스,F07990,16007990
27,삼성생명서비스손해사정(주),168139,168139
28,삼성화재서비스손해사정(주),876224,876224
29,삼성카드고객서비스(주),L29682,23029682
30,삼성화재애니카손해사정(주),955671,955671
31,삼성바이오에피스(주),H82125,18082125
32,(주)삼우종합건축사사무소,M09094,24009094
33,스테코(주),039224,039224
34,신라스테이(주),L85333,23085333
35,삼성코닝어드밴스드글라스(주),I10413,19010413
36,삼성자산운용(주),952222,952222
37,(주)삼성경제연구소,814130,814130
38,(주)서울레이크사이드,910333,910333
39,에이치디씨신라면세점(주),HD4399,1801404399
40,에스비티엠(주),IV1459,1903401459
41,(주)삼성생명금융서비스보험대리점,HD0212,1801400212
42,삼성선물(주),607240,607240
43,(주)하만인터내셔널코리아,478917,478917
44,(주)삼성화재금융서비스보험대리점,HO3818,1802603818
45,에스티엠(주),H33271,18033271
46,삼성에스알에이자산운용(주),I71403,19071403
47,삼성벤처투자(주),122088,122088
48,에스디플렉스(주),372670,372670
49,(주)삼성라이온즈,990230,990230
50,삼성액티브자산운용(주),IM3580,1902403580
51,에스유머티리얼스(주),H76861,18076861
52,삼성헤지자산운용(주),IM4018,1902404018
53,삼성전자로지텍(주),125346,125346
54,제일패션리테일(주),H79395,18079395
55,에스원씨알엠(주),F39138,16039138
56,수원삼성축구단(주),C72637,13072637
57,삼성전자서비스씨에스(주),JH7192,2101807192
58,오픈핸즈(주),F35864,16035864
