,firm,kiscode,kiscode_tf
0,(주)이마트,H32072,18032072
1,(주)신세계푸드,040807,040807
2,(주)신세계,620084,620084
3,(주)신세계인터내셔날,040877,040877
4,(주)신세계아이앤씨,538787,538787
5,신세계건설(주),100960,100960
6,(주)광주신세계,074370,074370
7,(주)이마트에브리데이,620351,620351
8,(주)신세계톰보이,321311,321311
9,(주)스타벅스커피코리아,827461,827461
10,(주)에스에스지닷컴,JK1331,2102201331
11,(주)조선호텔앤리조트,630306,630306
12,(주)이마트24,F53525,16053525
13,(주)신세계센트럴시티,711268,711268
14,(주)신세계디에프,HC4970,1801304970
15,(주)까사미아,274224,274224
16,(주)신세계엘앤비,C72689,13072689
17,(주)신세계티비쇼핑,L08726,23008726
18,(주)신세계동대구복합환승센터,I05993,19005993
19,(주)신세계프라퍼티,L27429,23027429
20,서울고속버스터미널(주),810070,810070
21,(주)신세계디에프글로벌,JA2382,2101102382
22,(주)신세계사이먼,380527,380527
23,(주)제주소주,E41023,15041023
24,세린식품(주),248863,248863
25,스무디킹코리아(주),HL2358,1802302358
26,(주)신세계영랑호리조트,494258,494258
27,(주)스타필드하남,F88201,16088201
28,(주)스타필드고양,IC9508,1901309508
29,(주)인천신세계,CC5705,1301305705
30,신세계의정부역사(주),092732,092732
31,(주)대전신세계,HP5038,1802705038
32,(주)스타필드수원,JG7649,2101707649
33,(주)스타필드안성,JD0109,2101400109
34,(주)스타필드청라,I79913,19079913
35,(주)스튜디오329,HR8538,1802908538
36,실크우드(주),CD4268,1301404268
37,(주)마인드마크,LF0669,2301600669
38,(주)스타필드창원,JU5361,2103305361
39,(주)시그나이트파트너스,LJ1032,2302101032
40,(주)신세계동서울피에프브이,JU5049,2103305049
41,(주)신세계화성,LV1687,2303401687
42,(주)에스피청주전문투자형사모부동산투자회사,IV1484,1903401484
43,일렉트로맨문화산업전문회사(유),JF0504,2101600504
