,firm,kiscode,kiscode_tf,business
0,DB손해보험(주),870099,870099,2018145593
1,(주)DB하이텍,350354,350354,2118110771
2,DB금융투자(주),821640,821640,1168159557
3,(주)디비아이엔씨,352098,352098,2118119938
4,(주)디비메탈,B97776,12097776,1208724194
5,디비자동차보험손해사정(주),820466,820466,2018145614
6,디비씨앤에스자동차손해사정(주),H04172,18004172,2018620049
7,디비씨에이에스손해사정(주),H31283,18031283,1048634107
8,디비생명보험(주),821420,821420,2028118158
9,디비에프아이에스(주),M38019,24038019,1208821855
10,(주)디비저축은행,881562,881562,1018105267
11,디비자산운용(주),607142,607142,1168162902
12,(주)디비월드,910813,910813,2148112142
13,디비캐피탈(주),056018,056018,2028152893
14,디비씨에스아이손해사정(주),H31282,18031282,2208814649
15,디비인베스트(주),F03715,16003715,1208746859
16,디비금융서비스(주),L44292,23044292,1048653216
17,디비엠앤에스(주),I98370,19098370,1048647015
18,동부철구(주),065122,065122,1268113844
19,디비스탁인베스트(주),I71407,19071407,1208789751
