,firm,kiscode,kiscode_tf,business
0,(주)대우건설,158130,158130,1048158180
1,대우송도호텔(주),688866,688866,1318605808
2,(주)대우에스티,373004,373004,3018179942
3,한국인프라관리(주),F24550,16024550,6068624594
4,포천민자발전(주),J23524,21023524,2318100355
5,대우파워(주),HH4913,1801804913,5068192119
6,천마산터널(주),H27041,18027041,1018656567
7,(주)창원혁신산단개발자산관리,HM8096,1802408096,4118800213
8,(주)고촌복합개발자산관리,LA1163,2301101163,1638801652
9,(주)푸르웰,H31284,18031284,1018662400
10,강화조력발전(주),F12987,16012987,1318619258
11,동서울지하도로(주),LV2890,2303402890,2188801966
12,투게더투자운용(주),JX7198,2103607198,4768601699
13,평성인더스트리아자산관리(주),HL5822,1802305822,5658700304
14,풍무역세권개발자산관리(주),IQ2139,1902802139,8918100763
