,firm,kiscode,kiscode_tf,business
0,에이치디씨현대산업개발(주),JC3042,2101303042,3348600815
1,에이치디씨현대이피(주),133416,133416,3118113651
2,에이치디씨아이콘트롤스(주),119266,119266,1208193646
3,에이치디씨(주),500526,500526,1148158853
4,에이치디씨영창(주),390046,390046,1378100558
5,에이치디씨아이서비스(주),273880,273880,1148171782
6,호텔에이치디씨(주),372796,372796,1208679275
7,에이치디씨리조트(주),769568,769568,2248106308
8,에이치디씨아이파크몰(주),197239,197239,1208185957
9,에이치디씨아이앤콘스(주),129414,129414,1208600273
10,부동산일일사(주),142143,142143,2118653421
11,에이치디씨자산운용(주),145627,145627,2118661178
12,서울-춘천고속도로(주),370009,370009,2218122181
13,부산컨테이너터미널(주),I81274,19081274,1208792066
14,북항아이브리지(주),390953,390953,6058178302
15,(주)에이치디씨민간임대주택제1호위탁관리부동산투자회사,IS3504,1903103504,6678600734
16,미래비아이(주),C12029,13012029,1298603184
17,통영에코파워(주),J21262,21021262,6128144421
18,에이치디씨현대피씨이(주),L76690,23076690,1268676524
19,에이치디씨스포츠(주),372694,372694,6078163616
20,아이파크마리나(주),L74041,23074041,6178617507
21,(주)광명문화복합단지자산관리,LC5203,2301305203,-
22,시흥서울연결도로(주),JW5301,2103505301,1088801499
23,엠엔큐투자파트너스(유),IV2588,1903402588,8768100901
24,인천신항배후단지(주),JX6420,2103606420,1178193373
25,아이시어스(주),H36266,18036266,1208770024
