,firm,kiscode,kiscode_tf,business
0,고려아연(주),370380,370380,2118111260
1,(주)코리아써키트,380849,380849,1348107528
2,(주)영풍,370274,370274,2118111275
3,(주)인터플렉스,781088,781088,1348121874
4,영풍정밀(주),388947,388947,2118115683
5,시그네틱스(주),383686,383686,1098100780
6,영풍전자(주),451754,451754,1348109623
7,(주)테라닉스,625507,625507,1348121888
8,(주)영풍문고홀딩스,007158,007158,1028130788
9,서린상사(주),371530,371530,2118119597
10,(주)징크옥사이드코퍼레이션,G61232,17061232,1208749569
11,(주)케이지엑스,392090,392090,6108114498
12,(주)클린코리아,058231,058231,1258108085
13,켐코(주),IM7047,1902407047,5818100551
14,코리아니켈(주),023884,023884,2118136261
15,(주)알란텀,C42374,13042374,1298624379
16,유미개발(주),028088,028088,1068108162
17,영풍개발(주),187305,187305,2118147055
18,서린정보기술(주),051536,051536,2118613749
19,(주)엑스메텍,F12880,16012880,1298636875
20,(주)영풍문고,LS2070,2303102070,7738601800
21,(주)와이투북스,J29149,21029149,1018666731
22,농업회사법인에스피팜랜드(유),HQ6720,1802806720,5628700417
23,씨케이(유),I68026,19068026,1348701021
24,에스아이앤엘(주),LD2113,2301402113,5278601793
25,케이잼(주),LC4812,2301304812,2728101786
26,케이지그린텍(주),F14874,16014874,6108601998
