,firm,kiscode,kiscode_tf,business
0,OCI(주),350184,350184,5068100069
1,(주)유니드,350214,350214,1048124846
2,SGC에너지(주),360066,360066,2148189700
3,에스지씨이테크건설(주),501913,501913,2148189369
4,오씨아이에스이(주),I66468,19066468,4018147852
5,(주)유니드글로벌상사,041409,041409,1048129104
6,오씨아이파워(주),I71409,19071409,1048644532
7,오씨아이페로(주),197845,197845,1048167850
8,(주)디씨알이,C13114,13013114,1218190282
9,오씨아이스페셜티(주),C89695,13089695,3128608587
10,에스지씨디벨롭먼트(주),H78735,18078735,4018144627
11,에스지씨그린파워(주),M38690,24038690,4018156346
12,에스지씨솔루션(주),LX4402,2303604402,4308701929
13,오씨아이정보통신(주),720992,720992,1048141995
14,(주)유니드엘이디,H33122,18033122,1048634922
15,비앤오바이오(주),JF0888,2101600888,2098601051
16,오씨아이드림(주),JS3289,2103103289,5488601432
17,행복도시태양광발전소(주),J00949,21000949,1448111053
18,군장에너지(주),197844,197844,4018120998
