,firm,kiscode,kiscode_tf,business
0,(주)케이씨씨,500062,500062,2148170045
1,(주)케이씨씨글라스,JX9294,2103609294,4018701412
2,(주)케이씨씨건설,513644,513644,2148169965
3,(주)동주,341460,341460,1348102047
4,모멘티브퍼포먼스머티리얼스코리아(주),478370,478370,2208667860
5,세우실업(주),763217,763217,3128114667
6,(주)금강레저,910783,910783,1268107997
7,(주)동주피앤지,492406,492406,5058148702
8,대산컴플렉스개발(주),J00148,21000148,3168121419
9,미래(주),F16984,16016984,1148680947
10,(주)티앤케이정보,C17644,13017644,2208761903
11,대호포장(주),007080,007080,1348104308
12,(주)동주상사,HU6175,1803306175,4938600507
13,(주)실바톤어쿠스틱스,F69335,16069335,1068653662
14,주령금속(주),J04165,21004165,1448111164
15,코리아오토글라스(주),149589,149589,3078115780
