,firm,kiscode,kiscode_tf,business
0,한국투자금융지주(주),097600,097600,2148726478
1,한국투자증권(주),091255,091255,1168104504
2,(주)한국투자저축은행,880728,880728,4178101720
3,한국투자신탁운용(주),137885,137885,1078185653
4,한국투자파트너스(주),820849,820849,1168115980
5,한국투자캐피탈(주),M30080,24030080,1078833339
6,한국투자밸류자산운용(주),388938,388938,1078674734
7,(주)그린환경기술,133446,133446,1328130703
8,한국투자프라이빗에쿼티(주),G54063,17054063,1078742845
9,(주)이메디원,C88415,13088415,4088176794
10,도시환경(주),285163,285163,1278178632
11,(주)케이아이피오르비텍홀딩스,LX0676,2303600676,3148801997
12,에스케이에스한국투자제1호사모투자(자),LV2001,2303402001,3298601715
13,우리성장파트너십신기술사모투자전문회사(자),HC6953,1801306953,2428100073
14,이큐그린제이차(유),JD5196,2101405196,7108701238
15,이큐파트너스그린사모투자(자),IX2953,1903602953,6538101059
16,이큐파트너스제1호글로벌사모투자전문회사,H42297,18042297,2208813863
17,이큐파트너스제1호환경서비스사모투자(자),IO9352,1902609352,2098600635
18,이큐피포스코글로벌제1호해외자원개발사모투자전문회사,I88626,19088626,2208852487
19,케이아이피그로쓰(유),IR5802,1902905802,8948700750
20,프라이싱사모투자(자),JS6263,2103106263,2718601395
21,한국투자글로벌제약산업육성사모투자전문회사,CC0667,1301300667,1208823514
22,한국투자부동산신탁(주),JP6575,2102706575,2338601262
23,한국투자성장소부장사모투자(자),LG8996,2301708996,5078115736
24,한국투자혁신성장스케일업사모투자(자),LE2951,2301502951,7298101623
