,firm,kiscode,kiscode_tf,business
0,효성아이티엑스(주),157533,157533,1208173505
1,효성중공업(주),JD2262,2101402262,5788700896
2,효성티앤씨(주),JD2232,2101402232,8808701070
3,효성화학(주),JD2253,2101402253,1758801164
4,효성첨단소재(주),JD2230,2101402230,1988700929
5,(주)효성,320218,320218,1058159519
6,진흥기업(주),500704,500704,1068132769
7,(주)갤럭시아에스엠,320358,320358,1348102367
8,신화인터텍(주),006687,006687,1248135935
9,갤럭시아머니트리(주),053527,053527,1208160844
10,효성캐피탈(주),155675,155675,1058187072
11,효성티앤에스(주),820806,820806,1208130675
12,더클래스효성(주),224250,224250,2148742196
13,효성굿스프링스(주),451231,451231,1058161015
14,(주)엔에이치테크,215712,215712,2118730541
15,효성인포메이션시스템(주),384240,384240,1208102941
16,(주)에프엠케이,C34606,13034606,2118797896
17,(주)광주일보사,HG4720,1801704720,1168800109
18,신성자동차(주),147009,147009,4108157276
19,효성프리미어모터스(주),HT9658,1803209658,1728600556
20,더프리미엄효성(주),239973,239973,4088155391
21,갤럭시아일렉트로닉스(주),479687,479687,2118787777
22,효성토요타(주),F00309,16000309,1148676287
23,효성트랜스월드(주),178691,178691,1108137083
24,효성에프엠에스(주),490595,490595,2118798181
25,갤럭시아디바이스(주),057142,057142,1248135065
26,(주)신동진,040724,040724,1148143438
27,평창풍력발전(주),F22392,16022392,2258121355
28,동륭실업(주),072150,072150,2088100210
29,트리니티에셋매니지먼트(주),901091,901091,1208100813
30,(주)세빛섬,C81224,13081224,1078712870
31,공덕경우개발(주),F91363,16091363,2148866268
32,효성투자개발(주),320978,320978,1058164098
33,공덕개발(주),205834,205834,1058155702
34,(주)에이에스씨,396714,396714,2208180873
35,엔에이치씨엠에스(주),H34890,18034890,2148878385
36,(주)에이티엠플러스,166844,166844,1078180094
37,(주)아승오토모티브그룹,J14956,21014956,2208860008
38,그랜드제오차(유),J18342,21018342,1788101373
39,그랜드제육차(유),J76247,21076247,4108710026
40,그랜드제칠차(유),J76084,21076084,2028701251
41,태안솔라팜(주),C12072,13012072,3168110760
42,프로베스트킹덤제일차(유),M17662,24017662,5318601545
43,(주)에브리쇼,C06918,13006918,2118808459
44,갤럭시아마이크로페이먼트(주),HF9085,1801609085,1478700052
45,그린파워제오차(유),H81893,18081893,1078768660
46,그린파워제팔차(유),J00984,21000984,1078788953
47,베스트레드(유),J07848,21007848,1078791424
48,베스트블루(유),J07521,21007521,1078791521
49,베스트퍼플(유),J07851,21007851,1078791462
50,행복두드리미(주),J87526,21087526,1078800288
51,(주)가비,CD0270,1301400270,2818600016
