,firmname,own,own2,type,ownername
0,에이케이홀딩스,0.4596430241008137,0.4754214756965451,0,
26,에이케이홀딩스,0.1036685922789863,0.1036685922789863,1,에이케이아이에스
27,에이케이홀딩스,0.08547346941825744,0.08547346941825744,1,애경개발
28,에이케이홀딩스,,,-1,
30,에이케이홀딩스,0.33543646260621107,0.33543646260621107,99,
33,애경유화,0.0,0.015007802746566792,0,
48,애경유화,0.4941561173533084,0.4941561173533084,1,에이케이홀딩스
49,애경유화,,,1,-
50,애경유화,,,-1,
52,애경유화,0.49083607990012484,0.49083607990012484,99,
55,에이케이앤엠엔바이오팜,0.054131286830809235,0.0549039129095884,0,
78,에이케이앤엠엔바이오팜,0.4,0.4,1,애경유화
79,에이케이앤엠엔바이오팜,,,1,-
80,에이케이앤엠엔바이오팜,,,-1,
82,에이케이앤엠엔바이오팜,0.5450960870904116,0.5450960870904116,99,
85,에이케이켐텍,0.16982049591568593,0.16982049591568593,0,
102,에이케이켐텍,0.8135745580197038,0.8135745580197038,1,에이케이홀딩스
103,에이케이켐텍,,,1,-
104,에이케이켐텍,,,-1,
106,에이케이켐텍,0.01660494606461025,0.01660494606461025,99,
109,에이케이에셋,0.0,0.0,0,
124,에이케이에셋,1.0,1.0,1,에이케이켐텍
125,에이케이에셋,,,1,-
126,에이케이에셋,,,-1,
128,에이케이에셋,0.0,0.0,99,
131,애경화학,0.0,0.0,0,
146,애경화학,1.0,1.0,1,에이케이홀딩스
147,애경화학,,,1,
148,애경화학,,,-1,
150,애경화학,0.0,0.0,99,
153,애경산업,0.0012116652312851206,0.010090710181604007,0,
169,애경산업,0.4507702120433087,0.4507702120433087,1,AK홀딩스
170,애경산업,0.18052925915947918,0.18052925915947918,1,에이케이아이에스
171,애경산업,0.0008330198465085203,0.0008330198465085203,-1,
172,애경산업,0.0007841745918723389,0.0007841745918723389,-1,
173,애경산업,3.298001301404188e-05,3.298001301404188e-05,-1,
175,애경산업,0.3586635483957079,0.3586635483957079,99,
178,애경에스티,0.0,0.0,0,
193,애경에스티,0.51,0.51,1,애경산업
194,애경에스티,,,1,
195,애경에스티,,,-1,
197,애경에스티,0.49,0.49,99,
200,모두락애경산업,0.0,0.0,0,
215,모두락애경산업,1.0,1.0,1,애경산업
216,모두락애경산업,,,1,-
217,모두락애경산업,,,-1,
219,모두락애경산업,0.0,0.0,99,
222,에이제이피,0.0,0.0,0,
237,에이제이피,1.0,1.0,1,애경산업
238,에이제이피,,,1,-
239,에이제이피,,,-1,
241,에이제이피,0.0,0.0,99,
244,제주항공,0.005918785610885831,0.010334047912873049,0,
259,제주항공,0.5693882001724188,0.5693882001724188,1,에이케이홀딩스
260,제주항공,0.01736867637514447,0.01736867637514447,1,에이케이아이에스
261,제주항공,,,-1,
263,제주항공,0.40290907553956373,0.40290907553956373,99,
266,모두락,0.0,0.0,0,
281,모두락,1.0,1.0,1,제주항공
282,모두락,,,1,-
283,모두락,,,-1,
285,모두락,0.0,0.0,99,
288,퍼시픽제3호전문사모부동산투자유한회사,0.0,0.0,0,
303,퍼시픽제3호전문사모부동산투자유한회사,0.998586142082674,0.998586142082674,1,제주항공
304,퍼시픽제3호전문사모부동산투자유한회사,,,1,-
305,퍼시픽제3호전문사모부동산투자유한회사,,,-1,
307,퍼시픽제3호전문사모부동산투자유한회사,0.0014138579173259569,0.0014138579173259569,99,
310,제이에이에스,0.0,0.0,0,
325,제이에이에스,1.0,1.0,1,제주항공
326,제이에이에스,,,1,-
327,제이에이에스,,,-1,
329,제이에이에스,0.0,0.0,99,
332,에이케이에스앤디,0.018349785361479326,0.018349785361479326,0,
349,에이케이에스앤디,0.7574482986666314,0.7574482986666314,1,에이케이홀딩스
350,에이케이에스앤디,0.20040640124345824,0.20040640124345824,1,에이케이아이에스
351,에이케이에스앤디,0.010423301313611572,0.010423301313611572,1,코스파
352,에이케이에스앤디,0.006095483232379244,0.006095483232379244,1,애경피앤티
353,에이케이에스앤디,,,-1,
355,에이케이에스앤디,0.007228542427956965,0.007228542427956965,99,
359,수원애경역사,0.0,0.0,0,
374,수원애경역사,0.8419938181818182,0.8419938181818182,1,에이케이에스앤디
375,수원애경역사,,,1,
376,수원애경역사,,,-1,
378,수원애경역사,0.1580061818181818,0.1580061818181818,99,
388,평택역사,0.0,0.0,0,
403,평택역사,0.9348827999328346,0.9348827999328346,1,에이케이에스앤디
404,평택역사,,,1,
405,평택역사,,,-1,
407,평택역사,0.06511720006716538,0.06511720006716538,99,
414,마포애경타운,0.0,0.0,0,
429,마포애경타운,0.8902564102564102,0.8902564102564102,1,에이케이에스앤디
430,마포애경타운,,,1,
431,마포애경타운,,,-1,
433,마포애경타운,0.10974358974358975,0.10974358974358975,99,
438,에이케이네트워크,0.0,0.0,0,
453,에이케이네트워크,1.0,1.0,1,에이케이에스앤디
454,에이케이네트워크,,,1,-
455,에이케이네트워크,,,-1,
457,에이케이네트워크,0.0,0.0,99,
460,에이엠플러스자산개발,0.0,0.0,0,
475,에이엠플러스자산개발,0.5714285714285714,0.5714285714285714,1,에이케이홀딩스
476,에이엠플러스자산개발,,,1,
477,에이엠플러스자산개발,,,-1,
479,에이엠플러스자산개발,0.42857142857142855,0.42857142857142855,99,
482,에이엠플러스피에프브이강남,0.0,0.0,0,
