,firmname,own,own2,type,ownername
0,씨제이,0.4252177415078786,0.49452279715081987,0,
16,씨제이,,,1,
17,씨제이,,,-1,
19,씨제이,0.5054561730820495,0.5054561730820495,99,
22,씨제이제일제당,0.006344733081632531,0.030574694723396995,0,
38,씨제이제일제당,0.4094232688478471,0.4094232688478471,1,씨제이
39,씨제이제일제당,,,-1,
41,씨제이제일제당,0.5600020364287559,0.5600020364287559,99,
44,원지,0.0,0.0,0,
60,원지,1.0,1.0,1,씨제이제일제당
61,원지,,,-1,
63,원지,0.0,0.0,99,
66,돈돈팜,0.0,0.39142594845828604,0,
82,돈돈팜,0.6085571680548194,0.6085571680548194,1,씨제이제일제당
83,돈돈팜,,,-1,
85,돈돈팜,1.688348689459915e-05,1.688348689459915e-05,99,
88,씨제이씨푸드,0.0,0.0,0,
104,씨제이씨푸드,0.46259984528977555,0.46259984528977555,1,씨제이제일제당
105,씨제이씨푸드,,,-1,
107,씨제이씨푸드,0.5374001547102244,0.5374001547102244,99,
110,씨제이엠디원,0.0,0.0,0,
126,씨제이엠디원,1.0,1.0,1,씨제이제일제당
127,씨제이엠디원,,,-1,
129,씨제이엠디원,0.0,0.0,99,
132,어업회사법인신의도천일염,0.0,0.0057692307692307696,0,
148,어업회사법인신의도천일염,0.8802884615384615,0.8802884615384615,1,씨제이제일제당
149,어업회사법인신의도천일염,,,-1,
151,어업회사법인신의도천일염,0.11394230769230769,0.11394230769230769,99,
154,씨제이브리딩,0.0,0.0,0,
170,씨제이브리딩,0.94875,0.94875,1,씨제이제일제당
171,씨제이브리딩,,,-1,
173,씨제이브리딩,0.05125,0.05125,99,
176,코휘드,0.0,0.0,0,
192,코휘드,1.0,1.0,1,씨제이제일제당
193,코휘드,,,-1,
195,코휘드,0.0,0.0,99,
198,삼해상사,0.0,0.2,0,
214,삼해상사,0.8,0.8,1,씨제이제일제당
215,삼해상사,,,-1,
217,삼해상사,0.0,0.0,99,
220,씨제이생물자원,0.0,0.0,0,
236,씨제이생물자원,1.0,1.0,1,씨제이제일제당
237,씨제이생물자원,,,-1,
239,씨제이생물자원,0.0,0.0,99,
242,씨제이대한통운,0.0,0.20426655849131506,0,
259,씨제이대한통운,0.4016475466089763,0.4016475466089763,1,씨제이제일제당
260,씨제이대한통운,,,-1,
262,씨제이대한통운,0.39408313323698785,0.39408313323698785,99,
265,한국복합물류,0.0,0.0,0,
281,한국복합물류,1.0,1.0,1,씨제이대한통운
282,한국복합물류,,,-1,
284,한국복합물류,0.0,0.0,99,
287,씨제이대한통운비엔디,0.0,0.0,0,
303,씨제이대한통운비엔디,0.8436057292665772,0.8436057292665772,1,씨제이제일제당
304,씨제이대한통운비엔디,,,-1,
306,씨제이대한통운비엔디,0.15639427073342285,0.15639427073342285,99,
309,인천남항부두운영,0.0,0.0,0,
325,인천남항부두운영,0.4,0.4,1,씨제이제일제당
326,인천남항부두운영,,,-1,
328,인천남항부두운영,0.6,0.6,99,
331,동석물류,0.0,0.0,0,
347,동석물류,0.5,0.5,1,씨제이제일제당
348,동석물류,,,-1,
350,동석물류,0.5,0.5,99,
353,울산항만운영,0.0,0.0,0,
369,울산항만운영,0.5154,0.5154,1,씨제이제일제당
370,울산항만운영,,,-1,
372,울산항만운영,0.4846,0.4846,99,
375,마산항제4부두운영,0.0,0.0,0,
391,마산항제4부두운영,0.4596,0.4596,1,씨제이제일제당
392,마산항제4부두운영,,,-1,
394,마산항제4부두운영,0.5404,0.5404,99,
397,대한통운에스비,0.0,0.0,0,
413,대한통운에스비,0.7,0.7,1,씨제이제일제당
414,대한통운에스비,,,-1,
416,대한통운에스비,0.3,0.3,99,
419,이앤씨인프라,0.0,0.0,0,
435,이앤씨인프라,1.0,1.0,1,씨제이대한통운
436,이앤씨인프라,,,-1,
438,이앤씨인프라,0.0,0.0,99,
441,씨제이프레시웨이,0.005896432035281554,0.006025985070571026,0,
457,씨제이프레시웨이,0.47105921651917443,0.47105921651917443,1,씨제이
458,씨제이프레시웨이,0.10950516636951457,0.10950516636951457,-1,
460,씨제이프레시웨이,0.41340963204073994,0.41340963204073994,99,
463,프레시원미트,0.0,0.49,0,
479,프레시원미트,0.51,0.51,1,씨제이프레시웨이
480,프레시원미트,,,-1,
482,프레시원미트,0.0,0.0,99,
485,프레시원광주,0.0,0.01545959204750839,0,
501,프레시원광주,0.94676284533953,0.94676284533953,1,씨제이프레시웨이
502,프레시원광주,,,-1,
504,프레시원광주,0.03777756261296153,0.03777756261296153,99,
507,프레시원남서울,0.0,0.17340963855421687,0,
523,프레시원남서울,0.8265903614457831,0.8265903614457831,1,씨제이프레시웨이
524,프레시원남서울,,,-1,
526,프레시원남서울,0.0,0.0,99,
529,프레시원중부,0.0,0.2553,0,
545,프레시원중부,0.7447,0.7447,1,씨제이프레시웨이
546,프레시원중부,,,-1,
548,프레시원중부,0.0,0.0,99,
551,프레시원강남,0.0,0.4317943759568125,0,
570,프레시원강남,0.518153251148175,0.518153251148175,1,씨제이프레시웨이
571,프레시원강남,,,-1,
573,프레시원강남,0.050052372895012485,0.050052372895012485,99,
576,프레시원동서울,0.0,0.04417504341038345,0,
592,프레시원동서울,0.6327879820942125,0.6327879820942125,1,씨제이프레시웨이
593,프레시원동서울,,,-1,
595,프레시원동서울,0.3230369744954041,0.3230369744954041,99,
598,프레시원대구경북,0.0,0.0,0,
614,프레시원대구경북,0.95955,0.95955,1,씨제이프레시웨이
615,프레시원대구경북,,,-1,
617,프레시원대구경북,0.04045,0.04045,99,
620,프레시원부산,0.0,0.1368400545489967,0,
636,프레시원부산,0.8631599454510033,0.8631599454510033,1,씨제이프레시웨이
637,프레시원부산,,,-1,
639,프레시원부산,0.0,0.0,99,
642,에프앤디인프라,0.0,0.0,0,
658,에프앤디인프라,1.0,1.0,1,씨제이프레시웨이
659,에프앤디인프라,,,-1,
661,에프앤디인프라,0.0,0.0,99,
664,송림푸드,0.0,0.1441,0,
680,송림푸드,0.8559,0.8559,1,씨제이프레시웨이
681,송림푸드,,,-1,
683,송림푸드,0.0,0.0,99,
686,송림에프에스,0.0,0.0,0,
702,송림에프에스,1.0,1.0,1,송림푸드
703,송림에프에스,,,-1,
705,송림에프에스,0.0,0.0,99,
708,형제푸드,0.0,0.2,0,
724,형제푸드,0.8,0.8,1,씨제이프레시웨이
725,형제푸드,,,-1,
727,형제푸드,0.0,0.0,99,
730,농업회사법인제이팜스,0.0,0.0,0,
746,농업회사법인제이팜스,0.7000046841332792,0.7000046841332792,1,씨제이프레시웨이
747,농업회사법인제이팜스,,,-1,
749,농업회사법인제이팜스,0.2999953158667208,0.2999953158667208,99,
752,씨제이푸드빌,0.025644026706039796,0.025644026706039796,0,
768,씨제이푸드빌,0.9601504083152012,0.9601504083152012,1,씨제이
769,씨제이푸드빌,,,-1,
771,씨제이푸드빌,0.014205564978759053,0.014205564978759053,99,
774,씨제이씨지브이,0.0,0.00017484737360106152,0,
790,씨제이씨지브이,0.3901931794118824,0.3901931794118824,1,씨제이
791,씨제이씨지브이,,,-1,
793,씨제이씨지브이,0.6096319732145166,0.6096319732145166,99,
796,씨제이포디플렉스,0.04957463160798076,0.04957463160798076,0,
812,씨제이포디플렉스,0.9048168965402846,0.9048168965402846,1,씨제이씨지브이
813,씨제이포디플렉스,0.04125065286518743,0.04125065286518743,1,씨앤아이레저산업
814,씨제이포디플렉스,,,-1,
816,씨제이포디플렉스,0.004357818986547235,0.004357818986547235,99,
819,보스포러스인베스트먼트,0.0,0.0,0,
835,보스포러스인베스트먼트,0.5222828212869589,0.5222828212869589,1,씨제이씨지브이
836,보스포러스인베스트먼트,,,-1,
