,firmname,own,own2,type,ownername
0,에이치디씨,0.3536202447197663,0.4359019720908275,0,
14,에이치디씨,0.025269727331758654,0.025269727331758654,1,엠엔큐투자파트너스(유)
15,에이치디씨,,,-1,
17,에이치디씨,0.5388283005774139,0.5388283005774139,99,
20,광명문화관광복합단지자산관리,0.0,0.0,0,
29,광명문화관광복합단지자산관리,0.6,0.6,1,에이치디씨현대산업개발
30,광명문화관광복합단지자산관리,,,-1,
32,광명문화관광복합단지자산관리,0.4,0.4,99,
35,에이치디씨민간임대주택제1호위탁관리부동산투자회사,0.0,0.0,0,
44,에이치디씨민간임대주택제1호위탁관리부동산투자회사,0.5769230769230769,0.5769230769230769,1,에이치디씨
45,에이치디씨민간임대주택제1호위탁관리부동산투자회사,0.038461538461538464,0.038461538461538464,1,에이치디씨자산운용
46,에이치디씨민간임대주택제1호위탁관리부동산투자회사,,,-1,
48,에이치디씨민간임대주택제1호위탁관리부동산투자회사,0.38461538461538464,0.38461538461538464,99,
51,미래비아이,0.0,0.0,0,
60,미래비아이,0.6444939449850211,0.6444939449850211,1,부동산일일사
61,미래비아이,,,-1,
63,미래비아이,0.35550605501497884,0.35550605501497884,99,
66,부동산일일사,0.0,0.0,0,
75,부동산일일사,1.0,1.0,1,에이치디씨
76,부동산일일사,,,-1,
78,부동산일일사,0.0,0.0,99,
81,부산컨테이너터미널,0.0,0.0,0,
90,부산컨테이너터미널,0.4,0.4,1,에이치디씨
91,부산컨테이너터미널,,,-1,
93,부산컨테이너터미널,0.6000000000000001,0.6000000000000001,99,
96,북항아이브리지,0.0,0.0,0,
105,북항아이브리지,0.66,0.66,1,에이치디씨
106,북항아이브리지,,,-1,
108,북항아이브리지,0.34,0.34,99,
111,서울-춘천고속도로,0.0,0.0,0,
120,서울-춘천고속도로,0.40000005060728744,0.40000005060728744,1,에이치디씨
121,서울-춘천고속도로,,,-1,
123,서울-춘천고속도로,0.5999999493927125,0.5999999493927125,99,
126,시흥서울연결도로,0.0,0.0,0,
135,시흥서울연결도로,1.0,1.0,1,에이치디씨현대산업개발
136,시흥서울연결도로,,,-1,
138,시흥서울연결도로,0.0,0.0,99,
141,아이파크마리나,0.0,0.0,0,
150,아이파크마리나,0.875,0.875,1,에이치디씨
151,아이파크마리나,,,-1,
153,아이파크마리나,0.125,0.125,99,
156,에이치디씨리조트,0.0,1.2917595728857255e-07,0,
165,에이치디씨리조트,0.4994803681824805,0.4994803681824805,1,에이치디씨현대산업개발
166,에이치디씨리조트,,,-1,
168,에이치디씨리조트,0.5005195026415622,0.5005195026415622,99,
171,에이치디씨스포츠,0.0,0.0,0,
180,에이치디씨스포츠,1.0,1.0,1,에이치디씨
181,에이치디씨스포츠,,,-1,
183,에이치디씨스포츠,0.0,0.0,99,
186,에이치디씨신라면세점,0.0,0.0,0,
195,에이치디씨신라면세점,0.5,0.5,1,에이치디씨
196,에이치디씨신라면세점,,,-1,
198,에이치디씨신라면세점,0.5,0.5,99,
201,에이치디씨아이서비스,0.0,0.0,0,
210,에이치디씨아이서비스,0.5655586987270156,0.5655586987270156,1,에이치디씨
211,에이치디씨아이서비스,0.10608203677510608,0.10608203677510608,1,엠엔큐투자파트너스(유)
212,에이치디씨아이서비스,,,-1,
214,에이치디씨아이서비스,0.32835926449787833,0.32835926449787833,99,
217,에이치디씨아이앤콘스,0.0,0.0,0,
226,에이치디씨아이앤콘스,0.952101430011807,0.952101430011807,1,에이치디씨
227,에이치디씨아이앤콘스,0.047898569988193,0.047898569988193,1,엠엔큐투자파트너스(유)
228,에이치디씨아이앤콘스,,,-1,
230,에이치디씨아이앤콘스,0.0,0.0,99,
233,에이치디씨아이콘트롤스,0.28890643985419195,0.35044526123936814,0,
242,에이치디씨아이콘트롤스,0.28946537059538274,0.28946537059538274,1,에이치디씨
243,에이치디씨아이콘트롤스,,,-1,
