,firmname,own,own2,type,ownername
0,엘지,0.31906464508512933,0.34386613003944333,0,
36,엘지,0.0,0.0,1,
38,엘지,0.6561338699605568,0.6561338699605568,99,
41,엘지화학,0.0,0.021809607455527315,0,
76,엘지화학,0.3006370384755368,0.3006370384755368,1,엘지
78,엘지화학,0.6775533540689359,0.6775533540689359,99,
81,씨텍,0.0,0.0,0,
90,씨텍,0.5,0.5,1,엘지화학
92,씨텍,0.5,0.5,99,
95,행복누리,0.0,0.0,0,
104,행복누리,1.0,1.0,1,LG화학
106,행복누리,0.0,0.0,99,
109,팜한농,0.0,0.0,0,
118,팜한농,1.0,1.0,1,LG화학
120,팜한농,0.0,0.0,99,
123,우지막코리아,0.0,0.0,0,
132,우지막코리아,1.0,1.0,1,엘지화학
134,우지막코리아,0.0,0.0,99,
137,엘지하우시스,0.0,0.0022202000000000003,0,
150,엘지하우시스,0.3006673,0.3006673,1,엘지
152,엘지하우시스,0.6971125,0.6971125,99,
155,엘지토스템비엠,0.0,0.0,0,
164,엘지토스템비엠,0.0,0.0,1,
165,엘지토스템비엠,0.5,0.5,1,엘지하우시스
167,엘지토스템비엠,0.5,0.5,99,
170,그린누리,0.0,0.0,0,
179,그린누리,1.0,1.0,1,엘지하우시스
181,그린누리,0.0,0.0,99,
184,엘지생활건강,0.0,0.05491070214101066,0,
202,엘지생활건강,0.3000074388073436,0.3000074388073436,1,엘지
204,엘지생활건강,0.6450818590516457,0.6450818590516457,99,
207,코카콜라음료,0.0,0.0,0,
216,코카콜라음료,0.9,0.9,1,엘지생활건강
218,코카콜라음료,0.1,0.1,99,
221,한국음료,0.0,0.0,0,
230,한국음료,1.0,1.0,1,코카콜라음료
232,한국음료,0.0,0.0,99,
235,해태에이치티비,0.0,0.0,0,
244,해태에이치티비,1.0,1.0,1,엘지생활건강
246,해태에이치티비,0.0,0.0,99,
249,더페이스샵,0.0,0.0,0,
258,더페이스샵,1.0,1.0,1,엘지생활건강
260,더페이스샵,0.0,0.0,99,
263,크린소울(유),0.0,0.0,0,
272,크린소울(유),0.5,0.5,1,엘지생활건강
274,크린소울(유),0.5,0.5,99,
277,씨앤피코스메틱스,0.0,0.0,0,
286,씨앤피코스메틱스,1.0,1.0,1,엘지생활건강
288,씨앤피코스메틱스,0.0,0.0,99,
291,캐이엔아이,0.0,0.0,0,
300,캐이엔아이,1.0,1.0,1,엘지생활건강
302,캐이엔아이,0.0,0.0,99,
305,에프엠지,0.0,0.3,0,
314,에프엠지,0.7,0.7,1,엘지생활건강
316,에프엠지,0.0,0.0,99,
319,엘지파루크,0.0,0.0,0,
328,엘지파루크,0.5,0.5,1,엘지생활건강
330,엘지파루크,0.5,0.5,99,
333,미젠스토리,0.0,0.0,0,
342,미젠스토리,0.6,0.6,1,LG생활건강
344,미젠스토리,0.4,0.4,99,
347,밝은누리,0.0,0.0,0,
356,밝은누리,1.0,1.0,1,엘지생활건강
358,밝은누리,0.0,0.0,99,
361,태극제약,0.0,0.053562592871120925,0,
370,태극제약,0.9184299030033479,0.9184299030033479,1,엘지생활건강
372,태극제약,0.028007504125531203,0.028007504125531203,99,
375,제이에스제약,0.0,0.0,0,
384,제이에스제약,1.0,1.0,1,태극제약
386,제이에스제약,0.0,0.0,99,
389,울릉추산용천수먹는샘물개발추진,0.0,0.0,0,
398,울릉추산용천수먹는샘물개발추진,1.0,1.0,1,엘지생활건강
400,울릉추산용천수먹는샘물개발추진,0.0,0.0,99,
403,루치펠로코리아,0.0,0.24,0,
412,루치펠로코리아,0.76,0.76,1,엘지생활건강
414,루치펠로코리아,0.0,0.0,99,
417,울릉샘물,0.0,0.0,0,
426,울릉샘물,0.8702883208932025,0.8702883208932025,1,LG생활건강
428,울릉샘물,0.1297116791067975,0.1297116791067975,99,
431,엘지엠엠에이,0.0,0.0,0,
440,엘지엠엠에이,0.5,0.5,1,엘지
442,엘지엠엠에이,0.5,0.5,99,
445,엘지전자,0.0,0.004829412261554679,0,
486,엘지전자,0.3046697031859187,0.3046697031859187,1,엘지
488,엘지전자,0.6905008845525267,0.6905008845525267,99,
491,엘지디스플레이,0.0,0.0002138363408872221,0,
516,엘지디스플레이,0.3790359115041626,0.3790359115041626,1,LG전자
518,엘지디스플레이,0.6207502521549502,0.6207502521549502,99,
521,나눔누리,0.0,0.0,0,
530,나눔누리,1.0,1.0,1,엘지디스플레이
532,나눔누리,0.0,0.0,99,
535,엘지이노텍,0.0,0.0005068215561792153,0,
549,엘지이노텍,0.40787329858271226,0.40787329858271226,1,엘지전자
551,엘지이노텍,0.5916198798611085,0.5916198798611085,99,
554,이노위드,0.0,0.0,0,
563,이노위드,1.0,1.0,1,엘지이노텍
565,이노위드,0.0,0.0,99,
568,하이프라자,0.0,0.0,0,
577,하이프라자,1.0,1.0,1,엘지전자
579,하이프라자,0.0,0.0,99,
582,하이엠솔루텍,0.0,0.0,0,
591,하이엠솔루텍,1.0,1.0,1,엘지전자
593,하이엠솔루텍,0.0,0.0,99,
596,하이텔레서비스,0.0,0.0,0,
605,하이텔레서비스,1.0,1.0,1,엘지전자
607,하이텔레서비스,0.0,0.0,99,
610,에이스냉동공조,0.0,0.0,0,
619,에이스냉동공조,1.0,1.0,1,엘지전자
621,에이스냉동공조,0.0,0.0,99,
624,하이엔텍,0.0,0.0,0,
633,하이엔텍,1.0,1.0,1,엘지전자
635,하이엔텍,0.0,0.0,99,
638,엘지히타치워터솔루션,0.0,0.0,0,
647,엘지히타치워터솔루션,0.51,0.51,1,LG전자
649,엘지히타치워터솔루션,0.49,0.49,99,
652,하누리,0.0,0.0,0,
661,하누리,1.0,1.0,1,엘지전자
663,하누리,0.0,0.0,99,
666,엘지퓨얼셀시스템즈코리아,0.0,0.0,0,
675,엘지퓨얼셀시스템즈코리아,1.0,1.0,1,LG Fuel Cell Systems Inc.
677,엘지퓨얼셀시스템즈코리아,0.0,0.0,99,
680,로보스타,0.0,0.053055179487179485,0,
689,로보스타,0.3002805128205128,0.3002805128205128,1,엘지전자
691,로보스타,0.6466643076923076,0.6466643076923076,99,
694,로보메디,0.0,0.0,0,
703,로보메디,1.0,1.0,1,로보스타
705,로보메디,0.0,0.0,99,
708,실리콘웍스,0.0,0.0001791039270057734,0,
721,실리콘웍스,0.33081804934734355,0.33081804934734355,1,엘지
723,실리콘웍스,0.6690028467256507,0.6690028467256507,99,
726,엘지유플러스,0.0,6.871099261203146e-09,0,
733,엘지유플러스,3.950882075191809e-06,3.950882075191809e-06,-1,
734,엘지유플러스,4.580732840802097e-09,4.580732840802097e-09,-1,
735,엘지유플러스,6.871099261203145e-07,6.871099261203145e-07,-1,
736,엘지유플러스,1.0512781869640813e-06,1.0512781869640813e-06,-1,
737,엘지유플러스,8.268222777647785e-07,8.268222777647785e-07,-1,
738,엘지유플러스,4.944901101645864e-06,4.944901101645864e-06,-1,
739,엘지유플러스,4.901384139658244e-07,4.901384139658244e-07,-1,
740,엘지유플러스,9.138562017400185e-06,9.138562017400185e-06,-1,
741,엘지유플러스,9.69741142397804e-06,9.69741142397804e-06,-1,
742,엘지유플러스,1.3742198522406291e-05,1.3742198522406291e-05,-1,
743,엘지유플러스,2.496499398237143e-07,2.496499398237143e-07,-1,
744,엘지유플러스,9.166046414444997e-06,9.166046414444997e-06,-1,
745,엘지유플러스,1.832293136320839e-08,1.832293136320839e-08,-1,
746,엘지유플러스,9.161465681604194e-08,9.161465681604194e-08,-1,
748,엘지유플러스,0.36045048539174407,0.36045048539174407,1,엘지
750,엘지유플러스,0.639495448218536,0.639495448218536,99,
753,씨에스리더,0.0,0.0,0,
762,씨에스리더,1.0,1.0,1,엘지유플러스
764,씨에스리더,0.0,0.0,99,
767,아인텔레서비스,0.0,0.0,0,
776,아인텔레서비스,1.0,1.0,1,엘지유플러스
778,아인텔레서비스,0.0,0.0,99,
781,미디어로그,0.0,0.0021073773216708333,0,
790,미디어로그,0.9957777962805453,0.9957777962805453,1,엘지유플러스
792,미디어로그,0.0021148263977838837,0.0021148263977838837,99,
795,데이콤크로싱,0.0,0.0,0,
804,데이콤크로싱,0.51,0.51,1,엘지유플러스
806,데이콤크로싱,0.49,0.49,99,
809,씨에스원파트너,0.0,0.0,0,
818,씨에스원파트너,1.0,1.0,1,엘지유플러스
820,씨에스원파트너,0.0,0.0,99,
823,위드유,0.0,0.0,0,
832,위드유,1.0,1.0,1,엘지유플러스
834,위드유,0.0,0.0,99,
837,엘지씨엔에스,0.013943083799802958,0.014097377474290991,0,
853,엘지씨엔에스,0.8495245492142405,0.8495245492142405,1,엘지
855,엘지씨엔에스,0.13637807331146853,0.13637807331146853,99,
858,비즈테크파트너스,0.0,0.0,0,
867,비즈테크파트너스,0.9608711593638853,0.9608711593638853,1,엘지씨엔에스
869,비즈테크파트너스,0.039128840636114645,0.039128840636114645,99,
872,코리아일레콤,0.0,0.0,0,
881,코리아일레콤,0.9392589498806683,0.9392589498806683,1,엘지씨엔에스
883,코리아일레콤,0.060741050119331744,0.060741050119331744,99,
886,행복마루,0.0,0.0,0,
895,행복마루,1.0,1.0,1,엘지씨엔에스
897,행복마루,0.0,0.0,99,
900,세종그린파워,0.0,0.0,0,
909,세종그린파워,1.0,1.0,1,엘지씨엔에스
911,세종그린파워,0.0,0.0,99,
914,에스앤아이코퍼레이션,0.0,0.0,0,
923,에스앤아이코퍼레이션,1.0,1.0,1,엘지
925,에스앤아이코퍼레이션,0.0,0.0,99,
928,곤지암예원,0.0,0.1,0,
937,곤지암예원,0.9,0.9,1,에스앤아이코퍼레이션
939,곤지암예원,0.0,0.0,99,
