,firmname,own,own2,type,ownername
0,디씨알이,0.0,0.0,0,
10,디씨알이,1.0,1.0,1,오씨아이
11,디씨알이,,,-1,
13,디씨알이,0.0,0.0,99,
16,유니드 글로벌 상사,1.0,1.0,0,
27,유니드 글로벌 상사,,,1,
28,유니드 글로벌 상사,,,-1,
30,유니드 글로벌 상사,0.0,0.0,99,
33,유니드,0.20869288692724947,0.20894036036406943,0,
49,유니드,0.2505667422922992,0.2505667422922992,1,유니드글로벌상사
50,유니드,,,1,
51,유니드,,,-1,
53,유니드,0.5404928973436314,0.5404928973436314,99,
56,유니드 엘이디,0.10697134024871348,0.11114876596233528,0,
71,유니드 엘이디,0.6900071277326238,0.6900071277326238,1,유니드
72,유니드 엘이디,0.17043896911576953,0.17043896911576953,1,유니드글로벌상사
73,유니드 엘이디,,,-1,
75,유니드 엘이디,0.028405137189271325,0.028405137189271325,99,
78,이테크 건설,0.10847428571428572,0.1728907142857143,0,
89,이테크 건설,0.30714285714285716,0.30714285714285716,1,삼광글라스
90,이테크 건설,0.0731725,0.0731725,1,유니드
91,이테크 건설,,,-1,
93,이테크 건설,0.4467939285714286,0.4467939285714286,99,
96,쿼츠테크,0.0,0.0,0,
107,쿼츠테크,0.9761530619127834,0.9761530619127834,1,군장에너지
108,쿼츠테크,,,1,
109,쿼츠테크,,,-1,
111,쿼츠테크,0.023846938087216656,0.023846938087216656,99,
114,군장에너지,0.2437924111431316,0.2437924111431316,0,
127,군장에너지,0.4767435158501441,0.4767435158501441,1,이테크건설
128,군장에너지,0.2504418828049952,0.2504418828049952,1,삼광글라스
129,군장에너지,,,-1,
131,군장에너지,0.029022190201729105,0.029022190201729105,99,
134,삼광글라스,0.37117776013520054,0.37943868863373525,0,
146,삼광글라스,0.06035738990750281,0.06035738990750281,1,유니드
147,삼광글라스,,,-1,
149,삼광글라스,0.5602039214587619,0.5602039214587619,99,
152,에스지개발,0.0,0.0,0,
162,에스지개발,0.2982456140350877,0.2982456140350877,1,군장에너지
163,에스지개발,0.3429824561403509,0.3429824561403509,1,삼광글라스
164,에스지개발,0.3587719298245614,0.3587719298245614,1,이테크건설
165,에스지개발,,,-1,
167,에스지개발,0.0,0.0,99,
170,에스엠지 에너지,0.0,0.0,0,
180,에스엠지 에너지,0.8187361419068736,0.8187361419068736,1,군장에너지
181,에스엠지 에너지,0.1812638580931264,0.1812638580931264,1,이테크건설
182,에스엠지 에너지,,,-1,
184,에스엠지 에너지,0.0,0.0,99,
187,오씨아이 스페셜티,0.0,5.781797132667205e-07,0,
199,오씨아이 스페셜티,0.7807036385646307,0.7807036385646307,1,오씨아이
200,오씨아이 스페셜티,,,-1,
202,오씨아이 스페셜티,0.2192957832556561,0.2192957832556561,99,
205,오씨아이 정보통신,0.0,0.0,0,
214,오씨아이 정보통신,1.0,1.0,1,오씨아이
215,오씨아이 정보통신,,,-1,
217,오씨아이 정보통신,0.0,0.0,99,
220,오씨아이 에스이,0.0,0.0,0,
229,오씨아이 에스이,1.0,1.0,1,오씨아이
230,오씨아이 에스이,,,1,
231,오씨아이 에스이,,,-1,
233,오씨아이 에스이,0.0,0.0,99,
236,오씨아이 파워,0.0,0.0,0,
245,오씨아이 파워,1.0,1.0,1,오씨아이
246,오씨아이 파워,,,-1,
248,오씨아이 파워,0.0,0.0,99,
251,시민햇빛 발전소,0.0,0.0,0,
260,시민햇빛 발전소,1.0,1.0,1,오씨아이파워
261,시민햇빛 발전소,,,-1,
263,시민햇빛 발전소,0.0,0.0,99,
266,행복도시 태양광발전소,0.0,0.0,0,
275,행복도시 태양광발전소,0.4,0.4,1,오씨아이
276,행복도시 태양광발전소,,,-1,
278,행복도시 태양광발전소,0.6000000000000001,0.6000000000000001,99,
283,비앤오바이오,0.0,0.0,0,
292,비앤오바이오,0.5,0.5,1,오씨아이
293,비앤오바이오,,,-1,
295,비앤오바이오,0.5,0.5,99,
298,오씨아이,0.2017540001369428,0.2180155610812545,0,
334,오씨아이,0.004192982699627592,0.004192982699627592,1,유니드
335,오씨아이,,,-1,
337,오씨아이,0.7777914562191179,0.7777914562191179,99,
340,오씨아이 페로,0.0,0.0,0,
349,오씨아이 페로,0.5,0.5,1,오씨아이
350,오씨아이 페로,,,-1,
352,오씨아이 페로,0.5,0.5,99,
